NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
11,11,Valley Regional Transit,VRT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2017,1/31/2018,700 N East 2nd St.,Suite 100,,Meridian,ID,83642,,10,http://www.valleyregionaltransit.org/,1736,139758973,66,"338,759",108,"Boise City, ID",,"349,684","2,613",134,63,,63,,
12,12,Municipality of Anchorage - Public Transportation Department,People Mover,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,"3600 Dr Martin Luther King, Jr Avenue",,196650,Anchorage,AK,99519,6650,10,http://www.peoplemover.org/,1707,76667013,77,"291,826",149,"Anchorage, AK",,"251,243","2,956",85,43,127,170,,
14,0T14,Sitka Tribe of Alaska,STA,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,456 Katlian Street,,,Sitka,AK,99835,,10,www.sitkatribe.org,6669,67348383,0,0,0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0,0,3,,3,,
15,0T15,Snoqualmie Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,9571 Ethan Wade Way SE,PO Box 969,969,Snoqualmie,WA,98065,,10,http://www.svtbus.org/,6685,963676044,,,0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0,0,3,,3,,
16,16,RiverCities Transit,RCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,P.O. Box 128,254 Oregon Way,128,Longview,WA,98632,,10,http://www.rctransit.org/,1747,612643619,31,"61,598",431,"Longview, WA-OR",,"63,952","1,946",33,10,15,25,,
17,0T17,Stillaguamish Tribe of Indians,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,3322 236th Street NE,,277,Arlington,WA,98223,277,10,http://www.stillaguamish.com/,6801,34340406,,,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0,0,22,,22,,
18,18,Ben Franklin Transit,BFT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,1000 Columbia Park Trail,,,Richland,WA,99352,,10,http://www.bft.org/,1742,61038006,616,"283,830",171,"Kennewick-Pasco, WA",,"210,975","2,059",102,379,52,431,,
19,19,Intercity Transit,I.T.,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,526 Southeast Pattison Street,,659,Olympia,WA,98507,659,10,http://www.intercitytransit.com/,1745,50154525,101,"178,328",195,"Olympia-Lacey, WA",,"176,617","1,673",106,276,,276,,
20,20,Kitsap Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,60 Washington Ave. Suite 200,,,Bremerton,WA,98337,,10,http://www.kitsaptransit.com/,1746,803857184,396,"254,183",180,"Bremerton, WA",,"198,979","1,458",136,259,3,262,,
21,21,Whatcom Transportation Authority,WTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,4111 Bakerview Spur ,,,Bellingham,WA,98226,8056,10,http://www.ridewta.com/,5092,155747561,776,"216,108",275,"Bellingham, WA",,"114,473","2,379",48,110,3,113,,
22,22,City of Pocatello,PRT,Pocatello Regional Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2017,1/31/2018,911 North Seventh,,4169,Pocatello,ID,83205,4169,10,http://www.pocatellotransit.com/,1737,73112690,27,"81,730",395,"Pocatello, ID",,"69,809","2,251",31,28,,28,,
23,23,City of Seattle - Seattle Center Monorail Transit,SMS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,305 Harrison Street,,,Seattle,WA,98109,4695,10,http://www.seattlemonorail.com/,1749,832190248,83,"704,352",14,"Seattle, WA",,"3,059,393","3,028","1,010",,8,8,,
24,24,Clark County Public Transportation Benefit Area Authority,C-Tran,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,,,2529,Vancouver,WA,98668,2529,10,http://www.c-tran.com/,1729,44938447,142,"405,800",24,"Portland, OR-WA",,"1,849,898","3,528",524,181,,181,,
25,25,Salem Area Mass Transit District,Cherriots,Salem-Keizer Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,555 Court St. NE,Suite 5230,,Salem,OR,97301,3980,10,http://www.cherriots.org/,1740,46259230,68,"230,118",156,"Salem, OR",,"236,632","3,117",76,53,235,288,,
26,0T26,Bristol Bay Native Association,BBNA,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,1500 Kanakanak Road,,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,67639807,63,"2,539",0,Alaska Non-UZA,"Dillingham ANVSA, AK",0,0,0,,,,,
27,0T27,Confederated Tribes of Siletz Indians,CTSI,,Active,Reduced Reporter,Tribe,Tribe,,,,6/30/2017,10/31/2017,,,549,Siletz,OR,97380,549,10,http://www.ctsi.nsn.us/,7043,114787062,,,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,
28,28,Pierce County Ferry Operations,Pierce County Ferry,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,"2702 S 42nd ST, Ste 201",,,Tacoma,WA,98409,,10,http://www.co.pierce.wa.us/,5013,71850887,233,"844,295",14,"Seattle, WA",,"3,059,393","3,028","1,010",,2,2,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,7100 Hardeson Road,,,Everett,WA,98203,5834,10,https://www.communitytransit.org/,2578,37420460,265,"774,498",14,"Seattle, WA",,"3,059,393","3,028","1,010",526,95,621,,
30,0T30,Chickaloon Native Village,CATs,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,P.O. Box 1105,,,Chickaloon,AK,99674,,10,http://www.chickaloontransit.com,6666,37410123,,,0,Alaska Non-UZA,"Chickaloon ANVSA, AK",0,0,0,3,,3,,
31,0T31,Shoshone-Bannock Tribes ,SBTDOT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,,,306,Fort Hall,ID,83203,,10,http://www.sbtribes.com/,6976,793139684,,0,0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",0,0,0,12,,12,,
34,34,Rogue Valley Transportation District,RVTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,3200 Crater Lake Avenue,,,Medford,OR,97504,9075,10,http://www.rvtd.org/,1739,91288639,50,"132,022",213,"Medford, OR",,"154,081","2,381",65,20,20,40,,
35,35,Washington State Ferries,WSF,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2017,10/31/2017,2901 Third Avenue,,,Seattle,WA,98121,1081,10,http://www.wsdot.wa.gov/ferries/index.cfm/,1724,808883995,"1,945","3,919,300",14,"Seattle, WA",,"3,059,393","3,028","1,010",19,,19,,
36,0T36,Makah Tribal Council,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,P.O. Box 115,,,Neah Bay ,WA,98357,115,10,http://www.makah.com/,6907,71845952,,,0,Washington Non-UZA,"Makah Indian Reservation, WA",0,0,0,1,,1,,
40,40,Central Puget Sound Regional Transit Authority,ST,Sound Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,401 South Jackson Street,,,Seattle,WA,98104,2826,10,http://www.soundtransit.org/,5656,958427239,"1,087","3,054,000",14,"Seattle, WA",,"3,059,393","3,028","1,010",260,118,378,,
41,41,Alaska Railroad Corporation,ARRC,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,12/31/2017,4/30/2018,327 West Ship Creek Avenue,,107500,Anchorage,AK,99510,7500,10,http://www.akrr.com/,5806,9487042,266,"352,701",149,"Anchorage, AK",,"251,243","2,956",85,40,,40,,
42,42,Targhee Regional Public Transit Authority,TRPTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2017,1/31/2018,1810 W.  Broadway  #7,, ,Idaho Falls,ID,83402,,10,http://www.trpta.org/,5575,137202094,552,"127,290",321,"Idaho Falls, ID",,"90,733","2,039",45,21,,21,,
43,43,Link Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,2700 Euclid Avenue,,,Wenatchee,WA,98801,,10,http://www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA",,"67,227","2,143",31,42,1,43,,
44,44,Skagit Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,600 County Shop Lane,,,Burlington,WA,98233,9772,10,http://www.skagittransit.org/,5816,840017672,760,"109,198",435,"Mount Vernon, WA",,"62,966","1,827",34,85,,85,,
45,45,Fairbanks North Star Borough Transit,MACS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,3175 Peger Road,,,Fairbanks,AK,99709,,10,http://www.co.fairbanks.ak.us/transportation/,1734,76637651,"7,444","97,581",425,"Fairbanks, AK",,"64,513","1,170",55,18,,18,,
46,46,South Metro Area Regional Transit,SMART,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,29799 SW Town Center Loop E,,,Wilsonville,OR,97070,,10,http://www.ridesmart.com/,5706,37600215,80,"23,740",24,"Portland, OR-WA",,"1,849,898","3,528",524,18,,18,,
47,47,City of Corvallis,CTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,Corvallis Transit System,,1083,Corvallis,OR,97339,1083,10,http://www.CorvallisTransit.com/,5664,30796783,14,"59,046",436,"Corvallis, OR",,"62,433","2,957",21,,11,11,,
48,48,Lewiston Transit System,LTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2017,1/31/2018,PO Box 617,,617,Lewiston,ID,83501,,10,http://www.ridethevalley.org,5981,40197261,17,"50,058",483,"Lewiston, ID-WA",,"51,924","1,840",28,4,,4,,
51,51,Asotin County PTBA,PTBA,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,1494 Poplar St,,,Clarkston,WA,99403,,10,http://www.asotincoptba.com,6450,830295015,20,"21,888",483,"Lewiston, ID-WA",,"51,924","1,840",28,12,,12,,
53,53,Coeur d'Alene Tribe dba Citylink Transit,Citylink,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,37914 South Nukwalqw Street,,236,Worley,ID,83876,236,10,http://www.idahocitylink.com/,6807,808783844,388,"21,188",304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID","98,378","2,083",47,7,,7,,
55,55,Kootenai County,KC,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2017,1/31/2018,451 North Government Way,,9000,Coeur d'Alene,ID,83816,9000,10,http://www.kcgov.us/,6283,78207404,32,"75,423",304,"Coeur d'Alene, ID",,"98,378","2,083",47,,5,5,,
57,57,Central Oregon Intergovernmental Council,Cascades East Transit,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2017,10/31/2017,334 NE Hawthorne Avenue,,,Bend,OR,97701,,10,http://www.coic.org/,7112,137128062,75,"127,940",344,"Bend, OR",,"83,794","2,110",40,22,22,44,,
58,58,City of Portland,PBOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1120 SW 5th Street,Room 800,,Portland,OR,97204,,10,http://www.portlandoregon.gov/,1728,54971197,11,"72,832",24,"Portland, OR-WA",,"1,849,898","3,528",524,,16,16,,
59,59,Josephine County,JCT,Josephine Community Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,201 River Heights Way,,,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/,6746,18742572,80,"48,000",494,"Grants Pass, OR",,"50,520","1,858",27,14,,14,,
60,60,The Tulalip Tribes of Washington,TTT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,6406 Marine Drive NW,,,Tulalip,WA,98271,,10,http://www.tulaliptribes-nsn.gov/,6977,40182198,19,"5,303",225,"Marysville, WA","Tulalip Reservation and Off-Reservation Trust Land, WA","145,140","1,774",82,1,,1,,
61,61,City of Albany,ATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,333 Broadalbin,,490,Albany,OR,97321,,10,http://www.cityofalbany.net/,5676,93478899,20,"50,724",459,"Albany, OR",,"56,997","2,379",24,13,,13,,
63,63,City of Milton-Freewater,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,722 S. Main Street,,6,MiltonFreewater,OR,97862,,10,http://www.mfcity.com/,7213,51941763,5,"7,500",464,"Walla Walla, WA-OR",,"55,805","2,017",28,,2,2,,
64,64,Valley Transit,VT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,1401 West Rose Street,,,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,102891322,25,"47,948",464,"Walla Walla, WA-OR",,"55,805","2,017",28,21,,21,,
65,65,Benton County,BCSTF,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,STF Program,,1083,Corvallis,OR,97333,1083,10,https://www.co.benton.or.us/publicworks/page/county-public-transportation-services,1723,81966004,676,"86,591",436,"Corvallis, OR",,"62,433","2,957",21,,22,22,,
75,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,161155346,0,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",0,0,0,,,,,
85,0T08,Gulkana Village Council,SET,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,4/30/2018,254,,,Gakona,AK,99586,254,10,soaringeagletransit.com,6667,1142814,,,0,Alaska Non-UZA,"Gulkana ANVSA, AK",0,0,0,5,,5,,
95,0T11,Lummi Nation,LIBC,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,2828 Kwina Rd,,,Bellingham,WA,98226,,10,http://lummi-nsn.gov/,6684,20245247,,,0,Washington Non-UZA,"Lummi Reservation, WA",0,0,0,3,,3,,
103,0T16,Squaxin Island Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,10 SE Squaxin,,,Shelton,WA,98584,,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,606460475,,,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",0,0,0,3,,3,,
111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,401 Fort  Road,,151,Toppenish,WA,98948,,10,http://www.pahtotransit.com,1724,803886399,0,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",0,0,0,5,,5,,
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,46411 Timine Way,,,Pendleton,OR,97801,,10,www.ctuir.org/,6800,131973919,,,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR",0,0,0,8,,8,,
127,0T07,Cowlitz Indian Tribe,CITDOT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,PO Box 2547,Suite B,2547,Longview,WA,98632,9200,10,http://www.cowlitz.org/,6808,607700478,0,0,0,Washington Non-UZA,,0,0,0,4,,4,,
135,0T12,Nez Perce Tribe,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,365,120 Bever Grade,,Lapwai,ID,83540,365,10,http://www.nezperce.org/,1722,78208303,,,0,Idaho Non-UZA,"Nez Perce Reservation, ID",0,0,0,4,,4,,
159,0T18,Tetlin Village Council,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,PO Box 797,,,Tok,AK,99780,,10,http://www.tetlindot.com/,6812,168820348,,,0,Alaska Non-UZA,"Tetlin ANVSA, AK",0,0,0,1,,1,,
175,0T20,Manley Village Council,MVC,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,149 mile Elliott Highway,,105,Manley Hot Springs,AK,99756,105,10,,6804,926387804,,,0,Alaska Non-UZA,"Manley Hot Springs ANVSA, AK",0,0,0,1,,1,,
183,0T21,Quinault Tribe of the Quinault Reservation,QIN,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,1214 Aalis Drive,,189,Taholah,WA,98587,189,10,quinaultindiannation.com,6677,605668524,,,0,Washington Non-UZA,"Quinault Reservation, WA",0,0,0,2,,2,,
199,0T23,Seldovia Village Tribe,SVT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,Drawer L,,,Seldovia,AK,99663,,10,http://www.svt.org/,6744,789480548,,,0,Alaska Non-UZA,"Seldovia ANVSA, AK",0,0,0,1,,1,,
207,0T24,Spokane Tribe of Indians,TME,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,The Moccasin Express,6195 Ford Wellpinit Rd,100,Wellpinit,WA,99040,,10,http://www.spokanetribe.com/,6937,54658232,,,0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA",0,0,0,9,,9,,
223,0T28,Jamestown S'Klallam Tribe,JST,,Active,Reduced Reporter,Tribe,Tribe,,,,3/31/2017,10/31/2017,1033 Old Blyn Highway,,,Sequim,WA,98382,,10,http://www.jamestowntribe.org/,6986,103364097,,,0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,
231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,1233 Veterans Street,,C,Warm Springs,OR,97761,,10,https://warmsprings-nsn.gov/,6978,41266073,,,0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,
239,0T34,Ketchikan Indian Community,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,615 Stedman,,,Ketchikan,AK,99901,,10,www.kictribe.org,7287,936814010,,,0,Alaska Non-UZA,"Ketchikan ANVSA, AK",0,0,0,5,,5,,
247,0T29,Native Village of Noatak,NNV,,Active,Reduced Reporter,Tribe,Tribe,,,,6/30/2017,10/31/2017,#5 Swamp Street,,24,Noatak,AK,99761,,10,http://www.maniilaq.org/,7186,907801,,,0,Alaska Non-UZA,"Noatak ANVSA, AK",0,0,0,1,,1,,
263,0T38,Nooksack Indian Tribe,NIT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,NIT Planning Department , 4975 Deming Road,,Deming,WA,98244,157,10,http://www.nooksacktribe.org/,7176,39515234,,,0,Washington Non-UZA,"Nooksack Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,
271,0T41,Nome Eskimo Community,NEC,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,200 W. 5th Avenue,,1090,Nome,AK,99762,,10,www.necalaska.org,6985,534862050,,,0,Alaska Non-UZA,"Nome ANVSA, AK",0,0,0,1,,1,,
279,0T40,Hydaburg Cooperative Association,,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,,,349,Hydaburg,AK,99922,,10,www.hydatribe.org/transportation.hotmail,7246,134291116,,,0,Alaska Non-UZA,"Hydaburg ANVSA, AK",0,0,0,2,,2,,
376,0R02-022,"Ride Connection, Inc.",,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2017,10/31/2017,9955 NE Glisan Street,,,Portland,OR,97220,,10,http://www.rideconnection.org,1728,180729410,"1,192","1,364,620",24,"Portland, OR-WA",,"1,849,898","3,528",524,35,45,80,,
400,,Gwichyaa Zhee Tribal Transit Service,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,3rd & Alder Street,,126,Fort Yukon,AK,99740,,10,,6983,607347754,,,0,Alaska Non-UZA,"Fort Yukon ANVSA, AK",0,0,0,1,,1,,
401,,Lower Elwha Klallam Tribe,LEKT,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,2851 Lower Elwha Road,,,Port Angeles,WA,98363,,10,www.elwha.org,6869,910838085,,,0,Washington Non-UZA,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",0,0,0,1,,1,,
407,,Muckleshoot Indian Tribe,MIT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,390156 172nd Ave SE,,,Auburn,WA,98092,,10,http://www.muckleshoot.nsn.us/,1010,76655851,,,14,"Seattle, WA","Muckleshoot Reservation and Off-Reservation Trust Land, WA","3,059,393","3,028","1,010",7,,7,,
414,,Ninilchik Village,NTC,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,,,39070,Ninilchik,AK,99639,,10,www.ninilchiktribe-nsn.gov,414,614159697,,,0,Alaska Non-UZA,"Ninilchik ANVSA, AK",0,0,0,2,,2,,
415,,Ada County Highway District Commuteride,ACHD CR,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2017,1/31/2018,5714 Fairview Avenue,,,Boise,ID,83706,,10,www.commuteride.com,1736,557547288,"15,134","814,966",108,"Boise City, ID",,"349,684","2,613",134,83,,83,,
416,,Boise State University,BSU,,Active,Reduced Reporter,Urban,University,,,,6/30/2017,10/31/2017,1910 University Drive,,,Boise,ID,83725,,10,www.boisestate.edu,416,72995848,5,"19,623",108,"Boise City, ID",,"349,684","2,613",134,7,,7,,
417,,Quileute Tribe Community Shuttle,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,,,279,La Push,WA,98350,,10,www.quileutenation.org,,78202728,,,0,Washington Non-UZA,"Quileute Reservation, WA",0,0,0,1,,1,,
0R01,0R01,Idaho Transportation Department,,,,State Reporter,Rural,,,,,6/30/2017,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
0R01-00288,0R01-024,City of Moscow,MOSC,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R01,Idaho Transportation Department,Rural General Public Transit,6/30/2017,10/31/2017,,,9203,Moscow,ID,83843,,10,http://www.ci.moscow.id.us/,,958856338,,,,,,,,,2,,2,6,0
