Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Non_Uza_Served_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,operate_fgw_mbdo_fl,operate_fgw_mbpt_fl,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
18,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Ben Franklin Transit,1000 Columbia Park Trail,,Richland,WA,99352,,www.bft.org,1742,BFT,80,150000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
19,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Intercity Transit,526 Southeast Pattison Street,,Olympia,WA,98507,659,www.intercitytransit.com,1745,I.T.,94,139480,N,N,,,,659,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
20,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2005,Kitsap Transit,60 Washington Ave. Suite 200,,Bremerton,WA,98337,,kitsaptransit.org,1746,,396,237000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
21,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,Whatcom Transportation Authority,4111 Bakerview Spur Road,,Bellingham,WA,98226,8056,www.ridewta.com,5092,WTA,776,177130,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
22,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,9,30,2005,City of Pocatello - Pocatello Regional Transit,911 North Seventh,,Pocatello,ID,83205,4169,http://www.pocatellotransit.com/,1737,PRT,27,61166,N,,,,,4169,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
23,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,City of Seattle - Seattle Center Monorail Transit,305 Harrison Street,,Seattle,WA,98109,4695,www.seattlemonorail.com,,,83,495500,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
24,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Clark County Public Transportation Benefit Area Authority,,,Vancouver,WA,98668,2529,www.c-tran.com,1729,C-Tran,162,312854,N,,,,,2529,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
25,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2005,Salem Area Mass Transit District,"555 Court Street, N.E.",Suite 5230,Salem,OR,97301,3736,cherriots.org,1740,Cherriots,65,206500,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
28,2. Public agency or authority that contracts for some or all transit service (not a State DOT),5. Unit of County Government,,12,31,2005,Pierce County Ferry Operations,"2702 South 42nd Street, Suite 201",,Tacoma,WA,98409,7322,www.co.pierce.wa.us,,Pierce County Ferry,233,725000,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
29,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Snohomish County Transportation Benefit Area Corporation,7100 Hardeson Road,,Everett,WA,98203,,www.commtrans.org,2578,Community Transit,281,685869,N,N,,,,,,,Y,Y,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
33,6. Other(Describe),2. Independent Agency with an appointed Board of Directors,Private non-profit seller providing ADA service,12,31,2005,Senior Services of Snohomish County,"8225 44th Avenue, West ",Suite O,Mukilteo,WA,98275,2851,www.sssc.org,,Senior Services,220,460551,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
34,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2005,Rogue Valley Transportation District,3200 Crater Lake Avenue,,Medford,OR,97504,9075,www.rvtd.org,1739,RVTD,58,128779,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
35,3. State Department of Transportation,6. Unit of State Government,,6,30,2005,Washington State Ferries,2911 Second Avenue,,Seattle,WA,98121,1081,www.wsdot.wa.gov/ferries/index.cfm,1724,WSF,1945,2872138,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
40,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Central Puget Sound Regional Transit Authority,401 South Jackson Street,,Seattle,WA,98104,2826,www.soundtransit.org,5656,ST,1086,2653000,N,,,,,,,,Y,,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
41,1. Public agency or authority that directly operates all transit service (not a State DOT),6. Unit of State Government,,12,31,2005,Alaska Railroad Corporation,327 West Ship Creek Avenue,,Anchorage,AK,99510,7500,www.akrr.com,5806,ARRC,46,225744,N,N,,,,107500,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
42,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,9,30,2005,Targhee Regional Public Transit Authority,P. O. Box 50375,,Idaho Falls,ID,83405,,NONE,5575,TRPTA,70,70932,Y,N,,,,50375,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
43,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Link Transit,2700 Euclid Avenue,,Wenatchee,WA,98801,,linktransit.com,5606,,1600,90000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
44,1. Public agency or authority that directly operates all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2005,Skagit Transit,600 County Shop Lane,,Burlington,WA,98233,9772,www.skat.org,5816,SKAT,1735,102979,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
45,1. Public agency or authority that directly operates all transit service (not a State DOT),5. Unit of County Government,,6,30,2005,Fairbanks North Star Borough Transit,3175 Peger Road,,Fairbanks,AK,99709,,www.co.fairbanks.ak.us,1734,MACS,7361,84791,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
46,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2005,South Metro Area Rapid Transit,"30000 Southwest Town Center, Loop E",,Wilsonville,OR,97070,,www.ridesmart.com,5706,SMART,80,19170,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
47,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2005,City of Corvallis,Corvallis Transit System,,Corvallis,OR,97339,1083,www.ci.corvallis.or.us/pw/cts,5664,CTS,14,52950,Y,N,,,,1083,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
48,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,9,30,2005,City of Lewiston,,,Lewiston,ID,83501,,www.cityoflewiston.org/comdev,5981,,17,31000,Y,N,,,,617,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1001,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Rhode Island Public Transit Authority,265 Melrose Street,,Providence,RI,2907,,www.RIPTA.com,1388,RIPTA,299,846293,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1002,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Manchester Transit Authority,110 Elm Street,,Manchester,NH,3101,2799,www.mtabus.org,1387,MTA,47,143500,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1003,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Massachusetts Bay Transportation Authority,10 Park Plaza,,Boston,MA,2116,3974,WWW.MBTA.COM,1369,MBTA,3244,4510400,N,N,,,,,,,Y,Y,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1004,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Brockton Area Transit Authority,70 School Street,,Brockton,MA,2301,,www.ridebat.com/,1370,BAT,71,221475,N,,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1005,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Lowell Regional Transit Authority,145 Thorndike Street,,Lowell,MA,1852,3308,www.lrta.com,1375,LRTA,282,320301,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1006,2. Public agency or authority that contracts for some or all transit service (not a State DOT),6. Unit of State Government,,6,30,2005,Southeastern Regional Transit Authority,"700 Pleasabt Street, 1st Floor",,New Bedford,MA,2740,6263,www.srtabus.com,5002,SRTA,47,186731,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1007,2. Public agency or authority that contracts for some or all transit service (not a State DOT),3. Subsidiary Operating Unit of Regional Agency,,6,30,2005,Berkshire Regional Transit Authority,"One Columbus Avenue, Suite 201",,Pittsfield,MA,1201,,berkshireplanning.org/3/2/4/,1378,BRTA,384,127500,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1008,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2005,Pioneer Valley Transit Authority,2808 Main Street,,Springfield,MA,1107,,www.pvta.com,1379,PVTA,302,551543,N,N,,PVTA is a state-political subdivision of the Commonwealth of Massachusetts.,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1013,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2005,Merrimack Valley Regional Transit Authority,85 Railroad Avenue,,Haverhill,MA,1835,7295,www.mvrta.com,1374,MVRTA,225,306339,N,,,Regional Transit Authority enabled under State Law to provide public transportation services,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1014,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Worcester Regional Transit Authority,287 Grove Street,,Worcester,MA,1605,,www.therta.com/,1380,WRTA,869,524725,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
1016,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Greater Portland Transit District,114 Valley Street,,Portland,ME,4102,,www.gpmetrobus.com,1348,Metro,32,80391,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1017,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2005,Greater Hartford Transit District,One Union Place,,Hartford,CT,6103,,www.Hartfordtransit.org,1335,GHTD,543,1078000,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
1040,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2005,Southeast Area Transit,21 Route 12,,Preston,CT,6365,,www.seatbus.com,,SEAT,325,313301,N,N,,Southeast Area Transit is considered a multi-municipality.,,,,,N,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1045,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),8. Other(Describe),,6,30,2005,"Dattco, Inc.",583 South Street,,New Britain,CT,6051,,www.dattco.com,,,13,73941,Y,,,Corporation,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1048,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),8. Other(Describe),,6,30,2005,Connecticut Transit - Hartford Division,100 Leibert Road,,Hartford,CT,6141,66,www.cttransit.com,5152,CTTransit,664,851535,N,N,,"CTTRANSIT is wholly owned and funded by the St of CT, DOT. CTTRANSIT, under management contract with the State of Connecicut, is responsible for the operation of NTD agency #'s 1048, 1055 and 1056.",,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
