Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number,Small_Systems_Waiver_Fl,Operate_FGW_CBDO_Fl,Operate_FGW_CBPT_Fl
3009,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Petersburg Area Transit                                                                             ,100 W Washington Street                                                                             ,                                                                                                    ,Petersburg                         ,VA                  ,23803,    ,www.petersburg-va.org                                                                               ,1457,PAT                      ,7,"31,300",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,066004375,Y,N,N
3010,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Lehigh and Northampton Transportation Authority                                                     ,1060 Lehigh Street                                                                                  ,                                                                                                    ,Allentown                          ,PA                  ,18103,    ,www.lantabus.com                                                                                    ,1419,LANTA                    ,106,"389,000",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,068571777,N,N,N
3011,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Altoona Metro Transit                                                                               ,3301 Fifth Avenue                                                                                   ,                                                                                                    ,Altoona                            ,PA                  ,16602,1801,www.amtran.org                                                                                      ,1420,AMTRAN                   ,25,"69,608",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,059297549,N,N,N
3012,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Cambria County Transit Authority                                                                    ,726 Central Avenue                                                                                  ,                                                                                                    ,Johnstown                          ,PA                  ,15902,2996,www.camtranbus.com                                                                                  ,1431,CamTran                  ,60,"80,508",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,083959171,N,N,N
3013,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Erie Metropolitan Transit Authority                                                                 ,127 East 14th Street                                                                                ,                                                                                                    ,Erie                               ,PA                  ,16503,1062,www.ride-the-e.com                                                                                  ,1425,the e                    ,77,"189,872",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,077774289,N,N,N
3014,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit)                        ,901 North Cameron Street                                                                            ,                                                                                                    ,Harrisburg                         ,PA                  ,17105,    ,www.cattransit.com                                                                                  ,1427,CAT                      ,137,"414,621",                                                                                                                                                                                                        ,                                                                                                    ,1571      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,071195879,N,N,N
3015,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Luzerne County Transportation Authority                                                             ,315 Northampton Street                                                                              ,                                                                                                    ,Kingston                           ,PA                  ,18704,5489,www.lctabus.com                                                                                     ,1432,LCTA                     ,56,"202,500",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,069594646,N,N,N
3018,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Red Rose Transit Authority                                                                          ,45 Erick Road                                                                                       ,                                                                                                    ,Lancaster                          ,PA                  ,17601,    ,www.redrosetransit.com                                                                              ,1434,RRTA                     ,952,"420,920",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,010584282,N,N,N
3019,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Southeastern Pennsylvania Transportation Authority                                                  ,1234 Market Street                                                                                  ,                                                                                                    ,Philadelphia                       ,PA                  ,19107,3780,www.septa.org                                                                                       ,1947,SEPTA                    ,868,"3,331,558",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y, ,044543841,N,N,N
3022,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Port Authority of Allegheny County                                                                  ,345 Sixth Avenue                                                                                    ,3rd Floor                                                                                           ,Pittsburgh                         ,PA                  ,15222,2527,www.portauthority.org                                                                               ,1441,Port Authority           ,775,"1,415,244",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,072158041,N,N,N
3023,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Beaver County Transit Authority                                                                     ,200 West Washington Street                                                                          ,                                                                                                    ,Rochester                          ,PA                  ,15074,2235,www.bcta.com                                                                                        ,1422,BCTA                     ,440,"171,673",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y, ,153757042,N,N,N
3024,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Berks Area Reading Transportation Authority                                                         ,1700 North 11th Street                                                                              ,                                                                                                    ,Reading                            ,PA                  ,19604,1599,www.bartabus.com                                                                                    ,1442,BARTA                    ,864,"373,638",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,063881858,N,N,N
3025,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,County of Lackawanna Transit System                                                                 ,North South Road                                                                                    ,                                                                                                    ,Scranton                           ,PA                  ,18504,1410,www.coltsbus.com                                                                                    ,1443,COLTS                    ,140,"339,009",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155883184,N,N,N
3026,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Williamsport Bureau of Transportation                                                               ,1500 West Third Street                                                                              ,                                                                                                    ,Williamsport                       ,PA                  ,17701,    ,www.rideRVT.com                                                                                     ,1446,RVT                      ,89,"69,764",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,796356863,N,N,N
3027,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,York County Transportation Authority                                                                ,1230 Roosevelt Avenue                                                                               ,                                                                                                    ,York                               ,PA                  ,17404,    ,www.rabbittransit.org                                                                               ,1447,rabbittransit            ,911,"381,751",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,082439001,N,N,N
3030,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Washington Metropolitan Area Transit Authority                                                      ,"600 Fifth Street, N.W.                                                                              ",                                                                                                    ,Washington                         ,DC                  ,20001,    ,www.WMATA.com                                                                                       ,1398,WMATA                    ,950,"3,719,567",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,520847040,N,N,N
3034,4. State government unit or department of                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Maryland Transit Administration                                                                     ,6 St. Paul Street                                                                                   ,                                                                                                    ,Baltimore                          ,MD                  ,21202,1614,www.mta.maryland.gov                                                                                ,1401,MTA                      ,"1,795","2,203,663",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,615962909,N,N,Y
3035,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2011,Ohio Valley Regional Transportation Authority                                                       ,21 South Huron Street                                                                               ,                                                                                                    ,Wheeling                           ,WV                  ,26003,    ,www.ovrta.org                                                                                       ,1470,OVRTA / EORTA            ,27,"61,725",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,087571733,N,N,N
3036,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Charlottesville Area Transit                                                                        ,1545 Avon Street Extended                                                                           ,                                                                                                    ,Charlottesville                    ,VA                  ,22902,    ,www.catchthecat.org                                                                                 ,1448,CAT                      ,38,"81,449",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,021351726,Y,N,N
