5 digit NTDID,4 digit NTDID,Reporter Name,Reporter Acronym,Reporter Status,Reporter Type,Organization Type,Fy End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,Po Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Mi,Service Area Pop,Primary UZA,UZA Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,VOMS
00020,0020,Kitsap Transit,,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,60 Washington Ave. Suite 200,,Bremerton,WA,98337,,,10,http://kitsaptransit.org/,1746,803857184,396,"252,687",180,"Bremerton, WA","198,979","1,458",136,Y,266,4,270
00021,0021,Whatcom Transportation Authority,WTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,4111 Bakerview Spur ,,Bellingham,WA,98226,8056,,10,http://www.ridewta.com/,5092,155747561,776,"207,416",275,"Bellingham, WA","114,473","2,379",48,Y,106,2,108
00022,0022,City of Pocatello - Pocatello Regional Transit,PRT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",9/30/2014,1/31/2015,911 North Seventh,,Pocatello,ID,83205,4169,4169,10,http://www.pocatellotransit.com/,1737,073112690,27,"81,730",395,"Pocatello, ID","69,809","2,251",31,Y,28,,28
00023,0023,City of Seattle - Seattle Center Monorail Transit,SMS,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,305 Harrison Street,,Seattle,WA,98109,4695,,10,http://www.seattlemonorail.com/,1749,832190248,83,"495,500",14,"Seattle, WA","3,059,393","3,028","1,010",Y,,8,8
00024,0024,Clark County Public Transportation Benefit Area Authority,C-Tran,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,,,Vancouver,WA,98668,2529,2529,10,http://www.c-tran.com/,1729,044938447,142,"376,366",24,"Portland, OR-WA","1,849,898","3,528",524,Y,174,,174
00025,0025,Salem Area Mass Transit District,Cherriots,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,555 Court St. NE,Suite 5230,Salem,OR,97301,3980,,10,http://www.cherriots.org/,1740,046259230,76,"236,632",156,"Salem, OR","236,632","3,117",76,Y,54,193,247
00028,0028,Pierce County Ferry Operations,Pierce County Ferry,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,9850 - 64th Street West,,University Place,WA,98467,,,10,http://www.co.pierce.wa.us/,5013,071850887,233,"800,000",14,"Seattle, WA","3,059,393","3,028","1,010",Y,,2,2
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,7100 Hardeson Road,,Everett,WA,98203,5834,,10,http://www.commtrans.org/,2578,037420460,260,"705,977",14,"Seattle, WA","3,059,393","3,028","1,010",Y,510,97,607
00034,0034,Rogue Valley Transportation District,RVTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,3200 Crater Lake Avenue,,Medford,OR,97504,9075,,10,http://www.rvtd.org/,1739,091288639,50,"132,022",213,"Medford, OR","154,081","2,381",65,Y,19,21,40
00035,0035,Washington State Ferries,WSF,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,2901 Third Avenue,,Seattle,WA,98121,1081,,10,http://www.wsdot.wa.gov/ferries/index.cfm/,1724,808883995,"1,945","3,919,300",14,"Seattle, WA","3,059,393","3,028","1,010",Y,19,,19
00040,0040,Central Puget Sound Regional Transit Authority,ST,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,401 South Jackson Street,,Seattle,WA,98104,2826,,10,http://www.soundtransit.org/,5656,958427239,"1,087","2,873,505",14,"Seattle, WA","3,059,393","3,028","1,010",Y,211,100,311
00041,0041,Alaska Railroad Corporation,ARRC,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,12/31/2014,4/30/2015,327 West Ship Creek Avenue,,Anchorage,AK,99510,7500,107500,10,http://www.akrr.com/,5806,009487042,85,"251,243",149,"Anchorage, AK","251,243","2,956",85,Y,32,,32
00042,0042,Targhee Regional Public Transit Authority,TRPTA,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,9/30/2014,1/31/2015,1810 W.  Broadway  #7,,Idaho Falls,ID,83402,, ,10,http://www.trpta.org/,5575,137202094,70,"90,733",321,"Idaho Falls, ID","90,733","2,039",45,Y,21,,21
00043,0043,Link Transit,,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,2700 Euclid Avenue,,Wenatchee,WA,98801,,,10,http://www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA","67,227","2,143",31,Y,42,1,43
00044,0044,Skagit Transit,,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,600 County Shop Lane,,Burlington,WA,98233,9772,,10,http://www.skagittransit.org/,5816,840017672,760,"109,198",435,"Mount Vernon, WA","62,966","1,827",34,Y,85,,85
00045,0045,Fairbanks North Star Borough Transit,MACS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,3175 Peger Road,,Fairbanks,AK,99709,,,10,http://www.co.fairbanks.ak.us/transportation/,1734,076637651,"7,444","97,581",425,"Fairbanks, AK","64,513","1,170",55,Y,16,,16
00046,0046,South Metro Area Regional Transit,SMART,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,29799 SW Town Center Loop E,,Wilsonville,OR,97070,,,10,http://www.ridesmart.com/,5706,037600215,80,"20,515",24,"Portland, OR-WA","1,849,898","3,528",524,Y,18,,18
00047,0047,City of Corvallis,CTS,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,Corvallis Transit System,,Corvallis,OR,97339,1083,1083,10,http://www.CorvallisTransit.com/,5664,030796783,14,"55,298",436,"Corvallis, OR","62,433","2,957",21,Y,,11,11
00048,0048,Lewiston Transit System,LTS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",9/30/2014,1/31/2015,PO Box 617,,Lewiston,ID,83501,,617,10,http://www.cityoflewiston.org/transit/,5981,040197261,17,"31,000",483,"Lewiston, ID-WA","51,924","1,840",28,Y,4,,4
00049,0049,"vRide, Inc. - Anchorage",,Active,Full Reporter: Operating,Private Provider Reporting on Behalf of a Public Entity,12/31/2014,4/30/2015,310 K Street,Suite 200,Anchorage,AK,99501,2604,,10,http://www.vride.com/,,098675887,77,"218,145",149,"Anchorage, AK","251,243","2,956",85,Y,66,,66
00051,0051,Asotin County PTBA,PTBA,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,1494 Poplar St,,Clarkston,WA,99403,,,10,http://asotincoptba.com/,6450,830295015,20,"21,888",483,"Lewiston, ID-WA","51,924","1,840",28,Y,12,,12
00053,0053,Coeur d'Alene Tribe dba Citylink Transit,Citylink,Active,Small Systems Reporter,Tribe,9/30/2014,1/31/2015,37914 South Nukwalqw Street,,Worley,ID,83876,0236,0236,10,http://www.idahocitylink.com/,6807,808783844,388,"21,188",304,"Coeur d'Alene, ID","98,378","2,083",47,N,4,,4
00054,0054,King County Ferry District,KCFD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,516 Third Avenue,Room 1200,Seattle,WA,98104,,,10,http://www.kingcountyferries.org/,6934,830213117,"2,116","1,931,249",14,"Seattle, WA","3,059,393","3,028","1,010",Y,2,,2
00055,0055,Kootenai County,KC,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",9/30/2014,1/31/2015,451 North Government Way,,Coeur d'Alene,ID,83816,9000,9000,10,http://www.kcgov.us/,6283,078207404,38,"78,696",304,"Coeur d'Alene, ID","98,378","2,083",47,Y,,11,11
00057,0057,Central Oregon Intergovernmental Council,Cascades East Transit,Active,Full Reporter: Operating,"MPO, COG or Other Planning Agency",6/30/2014,1/31/2015,334 NE Hawthorne Avenue,,Bend,OR,97701,,,10,http://www.coic.org/,7112,137128062,75,"127,940",344,"Bend, OR","83,794","2,110",40,Y,23,19,42
00058,0058,City of Portland,PBOT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,1120 SW 5th Street,Room 800,Portland,OR,97204,,,10,http://www.portlandoregon.gov/,,054971197,11,"72,832",24,"Portland, OR-WA","1,849,898","3,528",524,Y,,13,13
00059,0059,Josephine County,JCT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,201 River Heights Way,,Grants Pass,OR,97527,5432,,10,http://www.co.josephine.or.us/,6746,018742572,80,"65,000",494,"Grants Pass, OR","50,520","1,858",27,Y,17,,17
00060,0060,The Tulalip Tribes of Washington,TTT,Active,Small Systems Reporter,Tribe,12/31/2014,4/30/2015,6406 Marine Drive NW,,Tulalip,WA,98271,,,10,http://www.tulaliptribes-nsn.gov/,6977,040182198,19,"5,303",225,"Marysville, WA","145,140","1,774",82,Y,2,,2
00061,0061,City of Albany,ATS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,333 Broadalbin,,Albany,OR,97321,,490,10,http://www.cityofalbany.net/,5676,093478899,20,"50,724",459,"Albany, OR","56,997","2,379",24,Y,12,,12
00063,0063,City of Milton-Freewater,,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,722 S. Main Street,,MiltonFreewater,OR,97862,,6,10,http://www.mfcity.com/,,051941763,5,"7,500",464,"Walla Walla, WA-OR","55,805","2,017",28,Y,,3,3
00064,0064,Valley Transit,VT,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,1401 West Rose Street,,Walla Walla,WA,99362,1687,,10,http://www.valleytransit.com/,5607,102891322,25,"46,010",464,"Walla Walla, WA-OR","55,805","2,017",28,Y,22,,22
00065,0065,Benton County,BCSTF,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,STF Program,,Corvallis,OR,97333,1083,1083,10,http://www.co.benton.or.us/pw/stf/index.php/,1723,081966004,676,"86,591",436,"Corvallis, OR","62,433","2,957",21,N,,18,18
10001,1001,Rhode Island Public Transit Authority,RIPTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,705 Elmwood Ave,,Providence,RI,02907,,,1,http://www.RIPTA.com/,1388,041275652,"1,436","1,048,319",39,"Providence, RI-MA","1,190,956","2,185",545,Y,277,31,308
10002,1002,Manchester Transit Authority,MTA,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,110 Elm Street,,Manchester,NH,03101,2799,,1,http://www.mtabus.org/,1387,136155533,63,"135,366",209,"Manchester, NH","158,377","1,838",86,Y,19,,19
10003,1003,Massachusetts Bay Transportation Authority,MBTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,10 Park Plaza,,Boston,MA,02116,3974,,1,http://www.mbta.com/,1369,122872260,"3,244","4,181,019",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",Y,"1,286","1,086","2,372"
10004,1004,Brockton Area Transit Authority,BAT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,155 Court Street,,Brockton,MA,02302,4608,,1,http://www.ridebat.com/,1370,097450936,86,"254,648",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",Y,,85,85
10005,1005,Lowell Regional Transit Authority,LRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,145 Thorndike Street,,Lowell,MA,01852,3308,,1,http://www.lrta.com/,1375,081578775,282,"338,186",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",Y,13,58,71
10006,1006,Southeastern Regional Transit Authority,SRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,"700 Pleasant Street, 3rdFloor",,New Bedford,MA,02740,6263,,1,http://www.srtabus.com/,5002,097442461,47,"186,731",219,"New Bedford, MA","149,443","2,712",55,Y,,74,74
10007,1007,Berkshire Regional Transit Authority,BRTA,Active,Full Reporter: Operating,"Subsidiary Unit of a Transit Agency, Reporting Separately",6/30/2014,1/31/2015,"One Columbus Avenue, Suite 201",,Pittsfield,MA,01201,,,1,http://www.berkshirerta.com/,1378,879333219,384,"127,500",448,"Pittsfield, MA","59,124","1,765",34,Y,,23,23
10008,1008,Pioneer Valley Transit Authority,PVTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,2808 Main Street,,Springfield,MA,01107,,,1,http://www.pvta.com/,1379,079225835,302,"551,543",65,"Springfield, MA-CT","621,300","1,783",349,Y,,247,247
10013,1013,Merrimack Valley Regional Transit Authority,MVRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,85 Railroad Avenue,,Haverhill,MA,01835,7295,,1,http://www.mvrta.com/,1374,090159711,225,"306,339",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",Y,,62,62
10014,1014,Worcester Regional Transit Authority,WRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,60 Foster Street,,Worcester,MA,01608,,,1,http://www.therta.com/,1380,092196856,866,"479,329",81,"Worcester, MA-CT","486,514","1,600",304,Y,52,36,88
10015,1015,Lewiston-Auburn Transit Committee,LATC,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",9/30/2014,1/31/2015,125 Manley Road,,Auburn,ME,04210,,,1,http://www.purplebus.org/,,086876661,19,"46,052",446,"Lewiston, ME","59,397","1,678",35,Y,,10,10
10016,1016,Greater Portland Transit District,METRO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,114 Valley Street,,Portland,ME,04102,3039,,1,http://www.gpmetrobus.com/,1348,061852653,32,"94,873",177,"Portland, ME","203,914","1,500",136,Y,22,,22
10017,1017,Greater Hartford Transit District,GHTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,One Union Place,,Hartford,CT,06103,,,1,http://www.hartfordtransit.org/,1335,069239044,543,"1,078,000",47,"Hartford, CT","924,859","1,792",516,Y,,112,112
10040,1040,Southeast Area Transit,SEAT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,21 Route 12,,Preston,CT,06365,,,1,http://www.seatbus.com/,1340,958187429,305,"216,165",174,"Norwich-New London, CT-RI","209,190","1,376",152,Y,18,3,21
10042,1042,Valley Transit District,VTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,41 Main Street,,Derby,CT,06418,,,1,http://www.valleytransit.org/,1859,060020179,58,"88,364",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,Y,12,,12
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CDOT CTTransit DATTCO,Active,Full Reporter: Operating,"Subsidiary Unit of a Transit Agency, Reporting Separately",6/30/2014,1/31/2015,583 South Street,,New Britain,CT,06051,,,1,http://www.dattco.com/,,018727560,13,"73,941",47,"Hartford, CT","924,859","1,792",516,Y,,19,19
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,CTTransit,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,100 Leibert Road,,Hartford,CT,06141,0066,66,1,http://www.cttransit.com/,5152,098106495,664,"851,535",47,"Hartford, CT","924,859","1,792",516,Y,194,,194
10049,1049,The Greater New Haven Transit District,GNHTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,840 Sherman Avenue,,Hamden,CT,06514,,,1,http://www.gnhtd.org/,1337,023313091,188,"451,486",72,"New Haven, CT","562,839","1,839",306,Y,76,,76
10050,1050,Greater Bridgeport Transit Authority,GBT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,One Cross Street,,Bridgeport,CT,06610,,,1,http://www.gogbt.com/,1752,023036544,90,"291,035",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,Y,43,20,63
10051,1051,Housatonic Area Regional Transit ,HARTransit,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,62 Federal Road,,Danbury,CT,06810,,,1,http://www.hartransit.com/,1754,029864048,124,"154,855",201,"Danbury, CT-NY","168,136","1,277",132,Y,41,,41
10053,1053,Cape Ann Transportation Authority,CATA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,3 Pond Road,,Gloucester,MA,01931,0780,780,1,http://www.canntran.com/,1372,867699811,80,"46,000",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",Y,,20,20
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,CTTRANSIT,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,100 Leibert Road,,Hartford,CT,06141,0066,66,1,http://www.cttransit.com/,5152,826992554,456,"531,314",72,"New Haven, CT","562,839","1,839",306,Y,97,,97
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,CTTransit,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,100 Leibert Road,,Hartford,CT,06141,0066,66,1,http://www.cttransit.com/,5152,107254492,133,"281,327",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,Y,42,,42
10057,1057,Norwalk Transit District,,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,275 Wilson Avenue,,Norwalk,CT,06854,4615,,1,http://www.norwalktransit.com/,1339,089623433,45,"108,700",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,Y,64,28,92
10061,1061,Montachusett Regional Transit Authority,MART,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1427R Water Street,,Fitchburg,MA,01420,7266,,1,http://www.mrta.us/,1371,879328094,624,"228,778",269,"Leominster-Fitchburg, MA","116,960","1,798",65,Y,,171,171
10063,1063,Middletown Transit District,MTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,340 Main Street,,Middletown,CT,06457,,,1,http://www.middletownareatransit.org/,1336,021811799,193,"90,320",47,"Hartford, CT","924,859","1,792",516,Y,14,,14
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,GATRA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,10 Oak Street,Second Floor,Taunton,MA,02780,,,1,http://www.gatra.org/,1365,168712131,72,"98,175",39,"Providence, RI-MA","1,190,956","2,185",545,Y,,113,113
10066,1066,Chittenden County Transportation Authority,CCTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,15 Industrial Parkway,,Burlington,VT,05401,,,1,http://www.cctaride.org/,1394,060542982,61,"93,656",285,"Burlington, VT","108,740","1,761",62,Y,54,20,74
10069,1069,"Regional Transportation Program, Inc.",RTP,Active,Small Systems Reporter,Private-Non-Profit Corporation,9/30/2014,1/31/2015,127 St. John Street,,Portland,ME,04102,3072,,1,http://www.rtprides.org/,,060994266,53,"265,612",177,"Portland, ME","203,914","1,500",136,Y,29,,29
10086,1086,Cooperative Alliance for Seacoast Transportation,COAST,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,9/30/2014,1/31/2015,42 Sumner Drive,,Dover,NH,03820,5451,,1,http://www.coastbus.org/,5156,005905067,143,"146,895",331,"Dover-Rochester, NH-ME","88,087","1,326",66,Y,17,,17
10087,1087,Nashua Transit System,NTS,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,11 Riverside St.,,Nashua,NH,03062,,,1,http://WWW.GONASHUA.COM/,2413,830711656,32,"86,933",160,"Nashua, NH-MA","226,400","1,242",182,Y,,15,15
10088,1088,Casco Bay Island Transit District,CBITD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,3/31/2014,1/31/2015,P. O. Box 4656,,Portland,ME,04112,4656,4656,1,http://www.cascobaylines.com/,1883,002576254,111,"66,765",177,"Portland, ME","203,914","1,500",136,Y,4,,4
10096,1096,City of Bangor - BAT Community Connector,BAT,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,73 Harlow Street,,Bangor,ME,04401,,,1,http://www.bangormaine.gov/,7140,071739692,29,"55,500",441,"Bangor, ME","61,210","1,440",43,Y,14,,14
10098,1098,"Western Maine Transportation Services, Inc.",WMTS,Active,Small Systems Reporter,Private-Non-Profit Corporation,9/30/2014,1/31/2015,76 Merrow Road,,Auburn,ME,04210,1714,,1,http://www.wmtsbus.org/,,008406014,"4,247","188,015",446,"Lewiston, ME","59,397","1,678",35,Y,30,,30
10099,1099,York County Community Action Corporation,YCCAC,Active,Small Systems Reporter,Private-Non-Profit Corporation,10/31/2014,4/30/2015,6 Spruce Street,,Sanford,ME,04073,0072,72,1,http://www.yccac.org/,,099366536,90,"95,000",329,"Portsmouth, NH-ME","88,200",952,93,N,30,,30
10102,1102,Connecticut Department of Transportation,CDOT,Active,Full Reporter: Operating,State Government Unit or Department of Transportation,6/30/2014,1/31/2015,2800 Berlin Turnpike,,Newington,CT,06131,7546,,1,http://www.ct.gov/dot/,1334,807854583,171,"375,000",47,"Hartford, CT","924,859","1,792",516,Y,,43,43
10105,1105,Cape Cod Regional Transit Authority,CCRTA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,"215 Iyannough Road, Route 28",,Hyannis,MA,02601,,1988,1,http://www.capecodrta.org/,1368,097442461,277,"221,049",152,"Barnstable Town, MA","246,695",890,277,Y,,128,128
10107,1107,Milford Transit District,MTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,259 Research Drive,,Milford,CT,06460,,,1,http://www.milfordtransit.com/,1755,175745686,24,"51,000",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,Y,16,,16
10108,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,GHRC,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,1404 Blue Hills,,Bloomfield,CT,06002,,7237,1,http://www.rideshare.com/,,039279484,"4,909","3,708,000",47,"Hartford, CT","924,859","1,792",516,Y,208,,208
10112,1112,South Portland Bus Service,SPBS,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",6/30/2014,1/31/2015,25 Cottage Road,,South Portland,ME,04116,9422,9422,1,http://www.southportland.org/,7141,037710373,14,"25,200",177,"Portland, ME","203,914","1,500",136,Y,7,,7
