Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Non_Uza_Served_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,operate_fgw_mbdo_fl,operate_fgw_mbpt_fl,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0028,2. Public agency or authority that contracts for some or all transit service (not a State DOT),5. Unit of County Government,,12,31,2007,Pierce County Ferry Operations,"2702 South 42nd Street, Suite 201",,Tacoma,WA,98409,7322,www.co.pierce.wa.us,,Pierce County Ferry,233,725000,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0029,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Snohomish County Public Transportation Benefit Area Corporation,7100 Hardeson Road,,Everett,WA,98203,5834,www.commtrans.org,2578,Community Transit,281,713695,N,N,,,,,,,Y,Y,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0034,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2007,Rogue Valley Transportation District,3200 Crater Lake Avenue,,Medford,OR,97504,9075,www.rvtd.org,1739,RVTD,158,150000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0035,3. State Department of Transportation,6. Unit of State Government,,6,30,2007,Washington State Ferries,2901 Third Avenue,,Seattle,WA,98121,1081,www.wsdot.wa.gov/ferries/index.cfm,1724,WSF,1945,2872138,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0040,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Central Puget Sound Regional Transit Authority,401 South Jackson Street,,Seattle,WA,98104,2826,www.soundtransit.org,5656,ST,1086,2670000,N,,,,,,,,Y,Y,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0041,1. Public agency or authority that directly operates all transit service (not a State DOT),6. Unit of State Government,,12,31,2007,Alaska Railroad Corporation,327 West Ship Creek Avenue,,Anchorage,AK,99510,7500,www.akrr.com,5806,ARRC,46,225744,N,N,,,,107500,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0042,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,9,30,2007,Targhee Regional Public Transit Authority,1820 W.  Broadway,,Idaho Falls,ID,83402,,None available,5575,TRPTA,70,70932,Y,N,,,, ,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0043,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Link Transit,2700 Euclid Avenue,,Wenatchee,WA,98801,,linktransit.com,5606,,1600,90000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0044,1. Public agency or authority that directly operates all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2007,Skagit Transit,600 County Shop Lane,,Burlington,WA,98233,9772,www.skagittransit.org,5816,SKAT,760,113387,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0045,1. Public agency or authority that directly operates all transit service (not a State DOT),5. Unit of County Government,,6,30,2007,Fairbanks North Star Borough Transit,3175 Peger Road,,Fairbanks,AK,99709,,www.co.fairbanks.ak.us,1734,MACS,7361,96888,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0046,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,South Metro Area Regional Transit,29799 SW Town Center Loop E,,Wilsonville,OR,97070,,www.ridesmart.com,5706,SMART,80,19170,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0047,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,City of Corvallis,Corvallis Transit System,,Corvallis,OR,97339,1083,www.ci.corvallis.or.us/cts,5664,CTS,14,53900,Y,N,,,,1083,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0048,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,9,30,2007,City of Lewiston,PO Box 617,,Lewiston,ID,83501,,www.cityoflewiston.org/comdev,5981,,17,31000,Y,N,,,,617,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0049,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker),7. Private Operator,,12,31,2007,"VPSI, Anchorage",310 K Street,Suite 200,Anchorage,AK,99501,2604,www.vpsiinc.com,,,77,218145,N,N,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
0050,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,6,30,2007,"City of Bend, Public Works Department",575 NE 15th Street,,Bend,OR,97701,,www.ci.bend.or.us/bend_area_transit/index.html,6201,BAT,32,75290,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1001,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Rhode Island Public Transit Authority,265 Melrose Street,,Providence,RI,2907,,www.RIPTA.com,1388,RIPTA,1436,1048319,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1002,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Manchester Transit Authority,110 Elm Street,,Manchester,NH,3101,2799,www.mtabus.org,1387,MTA,47,143500,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1003,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Massachusetts Bay Transportation Authority,10 Park Plaza,,Boston,MA,2116,3974,www.mbta.com,1369,MBTA,3244,4510400,N,N,,,,,,,Y,Y,Y,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1004,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007, Brockton Area Transit Authority,15 Court Street,,Brockton,MA,2301,4097,www.ridebat.com/,1370,BAT,71,221475,N,,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1005,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Lowell Regional Transit Authority,145 Thorndike Street,,Lowell,MA,1852,3308,www.lrta.com,1375,LRTA,282,320301,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1006,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Southeastern Regional Transit Authority,"700 Pleasant Street, 1st Floor",,New Bedford,MA,2740,6263,www.srtabus.com,5002,SRTA,47,186731,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1007,2. Public agency or authority that contracts for some or all transit service (not a State DOT),3. Subsidiary Operating Unit of Regional Agency,,6,30,2007,Berkshire Regional Transit Authority,"One Columbus Avenue, Suite 201",,Pittsfield,MA,1201,,www.berkshirerta.com,1378,BRTA,384,127500,N,N,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1008,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2007,Pioneer Valley Transit Authority,2808 Main Street,,Springfield,MA,1107,,www.pvta.com,1379,PVTA,302,551543,N,N,,PVTA is a state-political subdivision of the Commonwealth of Massachusetts.,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1013,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2007,Merrimack Valley Regional Transit Authority,85 Railroad Avenue,,Haverhill,MA,1835,7295,www.mvrta.com,1374,MVRTA,225,306339,N,,,Regional Transit Authority enabled under State Law to provide public transportation services,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
1014,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Worcester Regional Transit Authority,287 Grove Street,,Worcester,MA,1605,,www.therta.com/,1380,WRTA,869,524725,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
1016,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Greater Portland Transit District,114 Valley Street,,Portland,ME,4102,,www.gpmetrobus.com,1348,Metro,32,80391,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1017,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Greater Hartford Transit District,One Union Place,,Hartford,CT,6103,,www.hartfordtransit.org,1335,GHTD,543,1078000,N,,,,,,,,Y,,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1040,2. Public agency or authority that contracts for some or all transit service (not a State DOT),8. Other(Describe),,6,30,2007,Southeast Area Transit,21 Route 12,,Preston,CT,6365,,www.seatbus.com,1340,SEAT,325,313301,N,N,,Southeast Area Transit is considered a multi-municipality.,,,,,N,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1042,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Valley Transit District,41 Main Street,,Derby,CT,6418,,electronicvalley.org/vtd/,,VTD,58,89,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
