NTDID,Agency,Abbr,Active,Agency Type,Organization Type,Organization Type Desc,Institutional Structure Desc,Fiscal Year End,NTD Report Due Date,Address,Address Line 2,City,State,Zip,Zip4,P.O. Box,Region,Website,FTA Recipient ID,DUNS Number,Service Area (SQ Mi),Service Area Population,UZA,UZA Name,UZA Population,UZA Density,UZA SQ Mi,SSW,Required to Report,Operates FG/HI MB/DO,Operates FG/HI MB/PT,Operates FG/HI CB/DO,Operates FG/HI CB/PT,Directly Operated Vehicles,Purchased Transportation Vehicles,Total Vehicles of Maximum Service
28,Pierce County Ferry Operations,Pierce County Ferry,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,9850 - 64th Street West,,University Place,WA,98467,,,10,www.co.pierce.wa.us,5013,71850887,233,"800,000",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,,N,N,N,0,2,2
29,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,7100 Hardeson Road,,Everett,WA,98203,5834,,10,www.commtrans.org,2578,37420460,260,"691,588",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,Y,N,Y,Y,492,101,593
34,Rogue Valley Transportation District,RVTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,3200 Crater Lake Avenue,,Medford,OR,97504,9075,,10,www.rvtd.org,1739,91288639,50,"130,714",213,"Medford, OR","154,081","2,381",65,N,Y,N,N,N,N,19,19,38
35,Washington State Ferries,WSF,A,4. State government unit or department of,State Government,,,6/30/2013,10/29/2013,2901 Third Avenue,,Seattle,WA,98121,1081,,10,www.wsdot.wa.gov/ferries/index.cfm,1724,808883995,"1,945","3,919,300",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,,N,N,N,19,0,19
40,Central Puget Sound Regional Transit Authority,ST,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,401 South Jackson Street,,Seattle,WA,98104,2826,,10,www.soundtransit.org,5656,958427239,"1,086","2,814,224",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,,Y,Y,Y,207,110,317
41,Alaska Railroad Corporation,ARRC,A,4. State government unit or department of,State Government,,,12/31/2013,4/29/2014,327 West Ship Creek Avenue,,Anchorage,AK,99510,7500,107500,10,www.akrr.com,5806,9487042,85,"251,243",149,"Anchorage, AK","251,243","2,956",85,N,Y,,N,N,N,32,0,32
42,Targhee Regional Public Transit Authority,TRPTA,A,1. Independent public agency or authority for transit service,Authority,,,9/30/2013,1/31/2014,1810 W.  Broadway  #7,,Idaho Falls,ID,83402,, ,10,www.trpta.org,5575,137202094,70,"90,733",321,"Idaho Falls, ID","90,733","2,039",45,Y,Y,N,N,N,N,24,0,24
43,Link Transit,,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,2700 Euclid Avenue,,Wenatchee,WA,98801,,,10,www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA","67,227","2,143",31,N,Y,N,N,N,N,44,4,48
44,Skagit Transit,,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,600 County Shop Lane,,Burlington,WA,98233,9772,,10,www.skagittransit.org,5816,840017672,760,"115,668",435,"Mount Vernon, WA","62,966","1,827",34,N,Y,N,N,N,N,81,0,81
45,Fairbanks North Star Borough Transit,MACS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,3175 Peger Road,,Fairbanks,AK,99709,,,10,www.co.fairbanks.ak.us/transportation/,1734,76637651,"7,338","97,581",425,"Fairbanks, AK","64,513","1,170",55,Y,Y,N,N,N,N,15,0,15
46,South Metro Area Regional Transit,SMART,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,29799 SW Town Center Loop E,,Wilsonville,OR,97070,,,10,www.ridesmart.com,5706,37600215,80,"20,515",24,"Portland, OR-WA","1,849,898","3,528",524,Y,Y,N,N,N,N,18,0,18
47,City of Corvallis,CTS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,Corvallis Transit System,,Corvallis,OR,97339,1083,1083,10,www.CorvallisTransit.com,5664,30796783,14,"54,674",436,"Corvallis, OR","62,433","2,957",21,N,Y,,N,N,N,0,11,11
48,Lewiston Transit System,LTS,A,"3. City, County or Local government unit or department of",City,,,9/30/2013,1/31/2014,PO Box 617,,Lewiston,ID,83501,,617,10,www.cityoflewiston.org/transit,5981,40197261,17,"31,000",483,"Lewiston, ID-WA","51,924","1,840",28,Y,Y,N,N,N,N,4,0,4
49,"vRide, Inc. - Anchorage",,A,11. Private provider reporting on behalf of a public entity,Contractor,,,12/31/2013,4/29/2014,310 K Street,Suite 200,Anchorage,AK,99501,2604,,10,www.vride.com,,98675887,77,"218,145",149,"Anchorage, AK","251,243","2,956",85,N,Y,,N,N,N,67,0,67
51,Asotin County PTBA,PTBA,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,1494 Poplar St,,Clarkston,WA,99403,,,10,asotincoptba.com,6450,830295015,20,"21,888",483,"Lewiston, ID-WA","51,924","1,840",28,Y,Y,N,N,N,N,15,0,15
53,Coeur d'Alene Tribe dba Citylink Transit,Citylink,A,13. Other (Describe),Other,Coeur d'Alene Indian Tribe ,"Citylink is a partnership between Kootenai County, the Coeur d'Alene Tribe and ITD.",9/30/2013,1/31/2014,37914 South Nukwalqw Street,,Worley,ID,83876,236,236,10,www.idahocitylink.com,6807,808783844,500,"6,550",304,"Coeur d'Alene, ID","98,378","2,083",47,Y,N,,N,N,N,3,0,3
54,King County Ferry District,KCFD,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,516 Third Avenue,Room 1200,Seattle,WA,98104,,,10,www.kingcountyferries.org,6934,830213117,"2,116","1,931,249",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,,N,N,N,2,0,2
55,Kootenai County,KC,A,"3. City, County or Local government unit or department of",City,,,9/30/2013,1/31/2014,451 North Government Way,,Coeur d'Alene,ID,83816,9000,9000,10,www.kcgov.us,6283,78207404,38,"78,696",304,"Coeur d'Alene, ID","98,378","2,083",47,Y,Y,,N,N,N,0,13,13
57,Central Oregon Intergovernmental Council,Cascades East Transit,A,"7. MPO, COG or other planning agency (Describe)",MPO,Council of Governments,,6/30/2013,10/29/2013,334 NE Hawthorne Avenue,,Bend,OR,97701,,,10,www.coic.org,7112,137128062,"7,778","200,431",344,"Bend, OR","83,794","2,110",40,N,Y,,N,N,N,33,19,52
58,City of Portland,PBOT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,1120 SW 5th Street,Room 800,Portland,OR,97204,,,10,www.portlandoregon.gov,,54971197,11,"72,832",24,"Portland, OR-WA","1,849,898","3,528",524,N,Y,,N,N,N,0,13,13
59,Josephine County,JCT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,201 River Heights Way,,Grants Pass,OR,97527,5432,,10,www.co.josephine.or.us,6746,18742572,80,"65,000",494,"Grants Pass, OR","50,520","1,858",27,Y,Y,N,N,N,N,15,0,15
60,The Tulalip Tribes of Washington,TTT,A,13. Other (Describe),Other,Federally Recognized Indian Tribe,,12/31/2013,4/29/2014,6406 Marine Drive NW,,Tulalip,WA,98271,,,10,www.tulaliptribes-nsn.gov,6977,40182198,19,"5,303",225,"Marysville, WA","145,140","1,774",82,Y,Y,N,N,N,N,2,0,2
61,City of Albany,ATS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,333 Broadalbin,,Albany,OR,97321,,490,10,www.cityofalbany.net,5676,93478899,20,"50,724",459,"Albany, OR","56,997","2,379",24,Y,Y,N,N,N,N,12,0,12
63,City of Milton-Freewater,,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,722 S. Main Street,,MiltonFreewater,OR,97862,,6,10,www.mfcity.com,,51941763,5,"7,500",464,"Walla Walla, WA-OR","55,805","2,017",28,Y,Y,,N,N,N,0,2,2
64,Valley Transit,VT,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,1401 West Rose Street,,Walla Walla,WA,99362,1687,,10,www.valleytransit.com,5607,102891322,25,"45,535",464,"Walla Walla, WA-OR","55,805","2,017",28,Y,Y,N,N,N,N,24,0,24
65,Benton County,BCSTF,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,STF Program,,Corvallis,OR,97333,1083,1083,10,www.co.benton.or.us/pw/stf/index.php,1723,81966004,676,"86,591",436,"Corvallis, OR","62,433","2,957",21,Y,N,,N,N,N,0,18,18
1001,Rhode Island Public Transit Authority,RIPTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,705 Elmwood Ave,,Providence,RI,2907,,,1,www.RIPTA.com,1388,41275652,"1,436","1,048,319",39,"Providence, RI-MA","1,190,956","2,185",545,N,Y,Y,N,N,N,278,32,310
1002,Manchester Transit Authority,MTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,110 Elm Street,,Manchester,NH,3101,2799,,1,www.mtabus.org,1387,136155533,63,"135,366",209,"Manchester, NH","158,377","1,838",86,Y,Y,N,,N,N,21,0,21
1003,Massachusetts Bay Transportation Authority,MBTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,10 Park Plaza,,Boston,MA,2116,3974,,1,www.mbta.com,1369,122872260,"3,244","4,181,019",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",N,Y,Y,N,N,N,"1,276","1,077","2,353"
1004,Brockton Area Transit Authority,BAT,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,155 Court Street,,Brockton,MA,2302,4608,,1,www.ridebat.com/,1370,97450936,71,"221,475",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",N,Y,,N,N,N,0,85,85
1005,Lowell Regional Transit Authority,LRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,145 Thorndike Street,,Lowell,MA,1852,3308,,1,www.lrta.com,1375,81578775,282,"338,186",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",N,Y,,N,N,N,12,57,69
1006,Southeastern Regional Transit Authority,SRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"700 Pleasant Street, 3rdFloor",,New Bedford,MA,2740,6263,,1,www.srtabus.com,5002,97442461,47,"186,731",219,"New Bedford, MA","149,443","2,712",55,N,Y,,N,N,N,0,69,69
1007,Berkshire Regional Transit Authority,BRTA,A,"2. Subsidiary unit of a transit agency, reporting separately",Subsidiary,,,6/30/2013,10/29/2013,"One Columbus Avenue, Suite 201",,Pittsfield,MA,1201,,,1,www.berkshirerta.com,1378,879333219,384,"127,500",448,"Pittsfield, MA","59,124","1,765",34,N,Y,,N,N,N,0,25,25
1008,Pioneer Valley Transit Authority,PVTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,2808 Main Street,,Springfield,MA,1107,,,1,www.pvta.com,1379,79225835,302,"551,543",65,"Springfield, MA-CT","621,300","1,783",349,N,Y,,N,N,N,0,244,244
1013,Merrimack Valley Regional Transit Authority,MVRTA,A,1. Independent public agency or authority for transit service,Authority,,Regional Transit Authority enabled under State Law to provide public transportation services,6/30/2013,10/29/2013,85 Railroad Avenue,,Haverhill,MA,1835,7295,,1,www.mvrta.com,1374,90159711,225,"306,339",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",N,Y,,N,N,N,0,63,63
1014,Worcester Regional Transit Authority,WRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,60 Foster Street,,Worcester,MA,1608,,,1,www.therta.com/,1380,92196856,866,"479,329",81,"Worcester, MA-CT","486,514","1,600",304,N,Y,N,N,N,N,49,36,85
1015,Lewiston-Auburn Transit Committee,LATC,A,"3. City, County or Local government unit or department of",City,,,9/30/2013,1/31/2014,125 Manley Road,,Auburn,ME,4210,,,1,www.purplebus.org,,86876661,19,"46,052",446,"Lewiston, ME","59,397","1,678",35,Y,Y,,N,N,N,0,9,9
1016,Greater Portland Transit District,Metro,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,114 Valley Street,,Portland,ME,4102,3039,,1,www.gpmetrobus.com,1348,61852653,32,"94,873",177,"Portland, ME","203,914","1,500",136,N,Y,N,N,N,N,26,0,26
1017,Greater Hartford Transit District,GHTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,One Union Place,,Hartford,CT,6103,,,1,www.hartfordtransit.org,1335,69239044,543,"1,078,000",47,"Hartford, CT","924,859","1,792",516,N,Y,,N,N,N,0,112,112
1040,Southeast Area Transit,SEAT,A,1. Independent public agency or authority for transit service,Authority,,A muncipal government formed under state statue with its own board of directors,6/30/2013,10/29/2013,21 Route 12,,Preston,CT,6365,,,1,www.seatbus.com,1340,958187429,305,"216,360",174,"Norwich-New London, CT-RI","209,190","1,376",152,N,Y,N,N,N,N,19,3,22
1042,Valley Transit District,VTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,41 Main Street,,Derby,CT,6418,,,1,www.valleytransit.org,1859,60020179,58,"88,364",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,N,Y,,N,N,N,12,0,12
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CDOT CTTransit DATTCO,A,"2. Subsidiary unit of a transit agency, reporting separately",Subsidiary,,Corporation,6/30/2013,10/29/2013,583 South Street,,New Britain,CT,6051,,,1,www.dattco.com,,18727560,13,"73,941",47,"Hartford, CT","924,859","1,792",516,N,Y,,N,N,N,0,18,18
1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,CTTransit,A,4. State government unit or department of,State Government,,"CTTRANSIT is wholly owned and funded by the St of CT, DOT. CTTRANSIT, under management contract with the State of Connecicut, is responsible for the operation of NTD agency #'s 1048, 1055 and 1056.",6/30/2013,10/29/2013,100 Leibert Road,,Hartford,CT,6141,66,66,1,www.cttransit.com,5152,98106495,664,"851,535",47,"Hartford, CT","924,859","1,792",516,N,Y,Y,N,N,N,196,0,196
1049,The Greater New Haven Transit District,GNHTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,840 Sherman Avenue,,Hamden,CT,6514,,,1,www.gnhtd.org,1337,23313091,188,"451,486",72,"New Haven, CT","562,839","1,839",306,N,Y,N,N,N,N,76,0,76
1050,Greater Bridgeport Transit Authority,GBT,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,One Cross Street,,Bridgeport,CT,6610,,,1,www.gogbt.com,1752,23036544,90,"291,035",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,N,Y,N,N,N,N,46,16,62
1051,Housatonic Area Regional Transit ,HARTransit,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,62 Federal Road,,Danbury,CT,6810,,,1,www.hartransit.com,1754,29864048,124,"154,855",201,"Danbury, CT-NY","168,136","1,277",132,N,Y,N,N,N,N,41,0,41
1053,Cape Ann Transportation Authority,CATA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,3 Pond Road,,Gloucester,MA,1931,780,780,1,www.canntran.com/,1372,867699811,80,"46,000",10,"Boston, MA-NH-RI","4,181,019","2,232","1,873",N,Y,,N,N,N,0,20,20
1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,CTTRANSIT,A,4. State government unit or department of,State Government,,"CTTRANSIT is wholly owned and funded by the State of CT, DOT.   CTTRANSIT under management contract with the State is responsible for the operation of NTD agency # 1048, 1055 and 1056.",6/30/2013,10/29/2013,100 Leibert Road,,Hartford,CT,6141,66,66,1,www.cttransit.com,5152,826992554,456,"531,314",72,"New Haven, CT","562,839","1,839",306,N,Y,N,N,N,N,98,0,98
1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,CTTransit,A,4. State government unit or department of,State Government,,"CTTRANSIT is wholly owned and funded by the State of CT, DOT.   CTTRANSIT under management contract with the State is responsible for the operation of NTD agency # 1048, 1055 and 1056.",6/30/2013,10/29/2013,100 Leibert Road,,Hartford,CT,6141,66,66,1,www.cttransit.com,5152,107254492,133,"281,327",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,N,Y,N,N,N,N,43,0,43
1057,Norwalk Transit District,,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,275 Wilson Avenue,,Norwalk,CT,6854,4615,,1,www.norwalktransit.com,1339,89623433,45,"108,700",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,N,Y,N,N,N,N,64,28,92
1061,Montachusett Regional Transit Authority,MART,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1427R Water Street,,Fitchburg,MA,1420,7266,,1,www.mrta.us,1371,879328094,591,"217,194",269,"Leominster-Fitchburg, MA","116,960","1,798",65,N,Y,,N,N,N,0,156,156
1063,Middletown Transit District,MTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,340 Main Street,,Middletown,CT,6457,,,1,www.middletownareatransit.org,1336,21811799,193,"90,320",47,"Hartford, CT","924,859","1,792",516,N,Y,N,N,N,N,14,0,14
1064,Greater Attleboro-Taunton Regional Transit Authority,GATRA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,10 Oak Street,Second Floor,Taunton,MA,2780,,,1,www.gatra.org,1365,168712131,72,"98,175",39,"Providence, RI-MA","1,190,956","2,185",545,N,Y,,N,N,N,0,113,113
1066,Chittenden County Transportation Authority,CCTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,15 Industrial Parkway,,Burlington,VT,5401,,,1,www.cctaride.org,1394,60542982,61,"93,656",285,"Burlington, VT","108,740","1,761",62,N,Y,N,N,N,N,52,20,72
1069,"Regional Transportation Program, Inc.",RTP,A,10. Private-non-profit corporation,Non-Profit,,,9/30/2013,1/31/2014,127 St. John Street,,Portland,ME,4102,3072,,1,www.rtprides.org/,,60994266,853,"265,612",177,"Portland, ME","203,914","1,500",136,N,Y,,N,N,N,37,0,37
1086,Cooperative Alliance for Seacoast Transportation,COAST,A,1. Independent public agency or authority for transit service,Authority,,,9/30/2013,1/31/2014,42 Sumner Drive,,Dover,NH,3820,5451,,1,www.coastbus.org,5156,5905067,143,"146,895",331,"Dover-Rochester, NH-ME","88,087","1,326",66,Y,Y,N,N,N,N,21,0,21
1087,Nashua Transit System,NTS,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,11 Riverside St.,,Nashua,NH,3062,,,1,WWW.GONASHUA.COM,2413,830711656,32,"86,933",160,"Nashua, NH-MA","226,400","1,242",182,N,Y,,N,N,N,0,15,15
1088,Casco Bay Island Transit District,CBITD,A,1. Independent public agency or authority for transit service,Authority,,,3/31/2013,10/29/2013,P. O. Box 4656,,Portland,ME,4112,4656,4656,1,www.cascobaylines.com,1883,2576254,111,"66,765",177,"Portland, ME","203,914","1,500",136,N,Y,,N,N,N,4,0,4
1096,City of Bangor - BAT Community Connector,BAT,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,73 Harlow Street,,Bangor,ME,4401,,,1,www.bangormaine.gov,7140,71739692,29,"55,500",441,"Bangor, ME","61,210","1,440",43,Y,Y,N,N,N,N,15,0,15
1098,"Western Maine Transportation Services, Inc.",WMTS,A,10. Private-non-profit corporation,Non-Profit,,,9/30/2013,1/31/2014,76 Merrow Road,,Auburn,ME,4210,1714,,1,www.wmtsbus.org,,8406014,"4,247","188,015",446,"Lewiston, ME","59,397","1,678",35,Y,Y,N,N,N,N,29,0,29
1099,York County Community Action Corporation,YCCAC,A,10. Private-non-profit corporation,Non-Profit,,"Community Action Corporation, with 18 member Board, some appointed, some elected",10/31/2013,4/29/2014,6 Spruce Street,,Sanford,ME,4073,72,72,1,www.yccac.org,,99366536,90,"95,000",329,"Portsmouth, NH-ME","88,200",952,93,Y,N,,N,N,N,30,0,30
1102,Connecticut Department of Transportation,CDOT,A,4. State government unit or department of,State Government,,,6/30/2013,10/29/2013,2800 Berlin Turnpike,,Newington,CT,6131,7546,,1,www.ct.gov/dot,1334,807854583,171,"375,000",47,"Hartford, CT","924,859","1,792",516,N,Y,,N,N,Y,0,43,43
1105,Cape Cod Regional Transit Authority,CCRTA,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"215 Iyannough Road, Route 28",,Hyannis,MA,2601,,1988,1,www.capecodrta.org,1368,97442461,395,"221,049",152,"Barnstable Town, MA","246,695",890,277,N,Y,,N,N,N,0,118,118
1107,Milford Transit District,MTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,259 Research Drive,,Milford,CT,6460,,,1,www.milfordtransit.com,1755,175745686,24,"51,000",48,"Bridgeport-Stamford, CT-NY","923,311","1,981",466,N,Y,N,N,N,N,17,0,17
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,GHRC,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,1404 Blue Hills,,Bloomfield,CT,6002,,7237,1,www.rideshare.com,,39279484,"4,909","3,708,000",47,"Hartford, CT","924,859","1,792",516,N,Y,,N,N,N,227,0,227
1112,South Portland Bus Service,,A,"3. City, County or Local government unit or department of",City,,,6/30/2013,10/29/2013,25 Cottage Road,,South Portland,ME,4116,9422,9422,1,www.southportland.org,,37710373,14,"25,200",177,"Portland, ME","203,914","1,500",136,Y,Y,N,N,N,N,7,0,7
