Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
0018,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Ben Franklin Transit                                                                                ,1000 Columbia Park Trail                                                                            ,                                                                                                    ,Richland                           ,WA                  ,99352,    ,www.bft.org                                                                                         ,1742,BFT                      ,80,"150,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,061038006
0019,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Intercity Transit                                                                                   ,526 Southeast Pattison Street                                                                       ,                                                                                                    ,Olympia                            ,WA                  ,98507,0659,www.intercitytransit.com                                                                            ,1745,I.T.                     ,97,"155,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,659       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,050154525
0020,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,12,31,2009,Kitsap Transit                                                                                      ,60 Washington Ave. Suite 200                                                                        ,                                                                                                    ,Bremerton                          ,WA                  ,98337,    ,kitsaptransit.org                                                                                   ,1746,                         ,396,"237,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,803857184
0021,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Whatcom Transportation Authority                                                                    ,4111 Bakerview Spur                                                                                 ,                                                                                                    ,Bellingham                         ,WA                  ,98226,8056,www.ridewta.com                                                                                     ,5092,WTA                      ,776,"192,870",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155747561
0022,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,9,30,2009,City of Pocatello - Pocatello Regional Transit                                                      ,911 North Seventh                                                                                   ,                                                                                                    ,Pocatello                          ,ID                  ,83205,4169,www.pocatellotransit.com                                                                            ,1737,PRT                      ,27,"61,166",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,4169      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,073112690
0023,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,City of Seattle - Seattle Center Monorail Transit                                                   ,305 Harrison Street                                                                                 ,                                                                                                    ,Seattle                            ,WA                  ,98109,4695,www.seattlemonorail.com                                                                             ,1749,SMS                      ,83,"495,500",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,832190248
0024,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Clark County Public Transportation Benefit Area Authority                                           ,                                                                                                    ,                                                                                                    ,Vancouver                          ,WA                  ,98668,2529,www.c-tran.com                                                                                      ,1729,C-Tran                   ,139,"361,660",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,2529      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,044938447
0025,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Salem Area Mass Transit District                                                                    ,"555 Court Street, N.E.                                                                              ",Suite 5230                                                                                          ,Salem                              ,OR                  ,97301,3736,cherriots.org                                                                                       ,1740,Cherriots                ,65,"206,500",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,046259230
0028,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,12,31,2009,Pierce County Ferry Operations                                                                      ,9850 - 64th Street West                                                                             ,                                                                                                    ,University Place                   ,WA                  ,98467,    ,www.co.pierce.wa.us                                                                                 ,    ,Pierce County Ferry      ,233,"800,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,071850887
0029,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Snohomish County Public Transportation Benefit Area Corporation                                     ,7100 Hardeson Road                                                                                  ,                                                                                                    ,Everett                            ,WA                  ,98203,5834,www.commtrans.org                                                                                   ,2578,Community Transit        ,279,"730,405",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,Y,037420460
0034,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Rogue Valley Transportation District                                                                ,3200 Crater Lake Avenue                                                                             ,                                                                                                    ,Medford                            ,OR                  ,97504,9075,www.rvtd.org                                                                                        ,1739,RVTD                     ,158,"150,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,091288639
0035,3. State Department of Transportation                                                                                                                 ,6. Unit of State Government                                                                         ,                                                                                                                                                                                                        ,6,30,2009,Washington State Ferries                                                                            ,2901 Third Avenue                                                                                   ,                                                                                                    ,Seattle                            ,WA                  ,98121,1081,www.wsdot.wa.gov/ferries/index.cfm                                                                  ,1724,WSF                      ,"1,945","3,919,300",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,808883995
0040,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Central Puget Sound Regional Transit Authority                                                      ,401 South Jackson Street                                                                            ,                                                                                                    ,Seattle                            ,WA                  ,98104,2826,www.soundtransit.org                                                                                ,5656,ST                       ,"1,086","2,726,408",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,Y,958427239
0041,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,6. Unit of State Government                                                                         ,                                                                                                                                                                                                        ,12,31,2009,Alaska Railroad Corporation                                                                         ,327 West Ship Creek Avenue                                                                          ,                                                                                                    ,Anchorage                          ,AK                  ,99510,7500,www.akrr.com                                                                                        ,5806,ARRC                     ,46,"225,744",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,107500    ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,009487042
