State,Agency,AgencyID,OrgType,SSW,UZA Size,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount
AL,The Wave Transit System(WTS),4043,City,N,"200,000 - 1 million",Total,,51,"183,599.00","44,233.00","1,908.00","27,589.00","257,329.00",0,"257,329.00",87,22,1,15,125,0,125
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Under 200,000",DR,Full Time,15,"35,009.00",0,0,"2,373.00","37,382.00",0,"37,382.00",21,0,0,1.1,22.1,0,22.1
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Under 200,000",DR,Part Time,15,"12,614.00",0,602,0,"13,216.00",0,"13,216.00",12,0,1,0,13,0,13
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Under 200,000",Total,,15,"47,623.00",0,602,"2,373.00","50,598.00",0,"50,598.00",33,0,1,1.1,35.1,0,35.1
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",SR,Full Time,3,"17,298.00","4,595.00",0,"1,107.00","23,000.00",0,"23,000.00",8.8,2.8,0,0.7,12.3,0,12.3
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",SR,Part Time,3,16,0,0,0,16,0,16,1,0,0,0,1,0,1
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",MB,Full Time,49,"216,327.00","52,684.00",0,"25,232.00","294,243.00","1,832.00","296,075.00",108.5,27.2,0,14,149.7,1,150.7
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",MB,Part Time,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",DR,Full Time,20,"45,802.00","1,732.00",0,"5,221.00","52,755.00",0,"52,755.00",24,1,0,3,28,0,28
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",DR,Part Time,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"200,000 - 1 million",Total,,72,"279,443.00","59,011.00",0,"31,560.00","370,014.00","1,832.00","371,846.00",142.3,31,0,17.7,191,1,192
AR,Ozark Regional Transit(ORT),6072,Authority,N,"200,000 - 1 million",MB,Full Time,10,"43,764.00","4,057.00",0,"1,992.00","49,813.00",0,"49,813.00",25,2,0,1,28,0,28
AR,Ozark Regional Transit(ORT),6072,Authority,N,"200,000 - 1 million",MB,Part Time,10,"2,055.00",0,"2,231.00","1,681.00","5,967.00",0,"5,967.00",4,0,2,2,8,0,8
AR,Ozark Regional Transit(ORT),6072,Authority,N,"200,000 - 1 million",DR,Full Time,9,"20,227.00","1,904.00",0,"1,992.00","24,123.00",0,"24,123.00",13,1,0,1,15,0,15
AR,Ozark Regional Transit(ORT),6072,Authority,N,"200,000 - 1 million",DR,Part Time,9,"1,762.00",0,"1,281.00",0,"3,043.00",0,"3,043.00",2,0,1,0,3,0,3
AR,Ozark Regional Transit(ORT),6072,Authority,N,"200,000 - 1 million",Total,,19,"67,808.00","5,961.00","3,512.00","5,665.00","82,946.00",0,"82,946.00",44,3,3,4,54,0,54
AZ,City of Glendale Transit,9034,City,N,Over 1 million,MB,Full Time,3,"1,210.00",604,63,"4,693.00","6,570.00",0,"6,570.00",0.7,0.4,0.1,2.9,4.1,0,4.1
AZ,City of Glendale Transit,9034,City,N,Over 1 million,MB,Part Time,3,"9,113.00",0,0,422,"9,535.00",0,"9,535.00",8.8,0,0,0.3,9.1,0,9.1
AZ,City of Glendale Transit,9034,City,N,Over 1 million,DR,Full Time,14,"28,725.00","2,916.00",158,"14,633.00","46,432.00",0,"46,432.00",17.3,1.7,0.1,8.8,27.9,0,27.9
AZ,City of Glendale Transit,9034,City,N,Over 1 million,DR,Part Time,14,"21,913.00",0,0,838,"22,751.00",0,"22,751.00",21.2,0,0,0.6,21.8,0,21.8
AZ,City of Glendale Transit,9034,City,N,Over 1 million,Total,,17,"60,961.00","3,520.00",221,"20,586.00","85,288.00",0,"85,288.00",48,2.1,0.2,12.6,62.9,0,62.9
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,Over 1 million,DR,Full Time,22,"48,853.00",0,0,"6,192.00","55,045.00",0,"55,045.00",25,0,0,4,29,0,29
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,Over 1 million,DR,Part Time,22,"1,930.00",0,0,"3,430.00","5,360.00",0,"5,360.00",3,0,0,3,6,0,6
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,Over 1 million,Total,,22,"50,783.00",0,0,"9,622.00","60,405.00",0,"60,405.00",28,0,0,7,35,0,35
AZ,City of Tucson(COT),9033,City,N,"200,000 - 1 million",MB,Full Time,210,"859,209.00","212,870.00","22,813.00","91,132.00","1,186,024.00",0,"1,186,024.00",451,110,11,49,621,0,621
AZ,City of Tucson(COT),9033,City,N,"200,000 - 1 million",MB,Part Time,210,"9,817.00",0,0,0,"9,817.00",0,"9,817.00",7,0,0,0,7,0,7
AZ,City of Tucson(COT),9033,City,N,"200,000 - 1 million",DR,Full Time,115,"322,056.00",0,"5,567.00","20,939.00","348,562.00",0,"348,562.00",168,0,2,10,180,0,180
AZ,City of Tucson(COT),9033,City,N,"200,000 - 1 million",DR,Part Time,115,"108,450.00",0,0,0,"108,450.00",0,"108,450.00",81,0,0,0,81,0,81
AZ,City of Tucson(COT),9033,City,N,"200,000 - 1 million",Total,,325,"1,299,532.00","212,870.00","28,380.00","112,071.00","1,652,853.00",0,"1,652,853.00",707,110,13,59,889,0,889
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Under 200,000",MB,Full Time,15,"82,479.00","10,476.00","4,544.00","22,447.00","119,946.00",0,"119,946.00",49,7,3,14,73,0,73
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Under 200,000",MB,Part Time,15,"13,807.00",325,162,"1,116.00","15,410.00",0,"15,410.00",28,2,1,4,35,0,35
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Under 200,000",DR,Full Time,6,"12,859.00","1,440.00",740,"3,920.00","18,959.00",0,"18,959.00",7,1,0.4,2.4,10.8,0,10.8
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Under 200,000",DR,Part Time,6,"1,927.00",53,26,182,"2,188.00",0,"2,188.00",4,0.3,0.3,0.7,5.3,0,5.3
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Under 200,000",Total,,21,"111,072.00","12,294.00","5,472.00","27,665.00","156,503.00",0,"156,503.00",88,10.3,4.7,21.1,124.1,0,124.1
AZ,Peoria Transit,9140,City,N,Over 1 million,DR,Full Time,5,"8,888.00",639,479,"1,728.00","11,734.00",0,"11,734.00",5,0.4,0.3,1,6.7,0,6.7
AZ,Peoria Transit,9140,City,N,Over 1 million,DR,Part Time,5,"3,575.00",0,0,0,"3,575.00",0,"3,575.00",2,0,0,0,2,0,2
AZ,Peoria Transit,9140,City,N,Over 1 million,Total,,5,"12,463.00",639,479,"1,728.00","15,309.00",0,"15,309.00",7,0.4,0.3,1,8.7,0,8.7
AZ,"vRide, Inc. - Tucson",9228,Contractor,N,"200,000 - 1 million",VP,Full Time,29,0,0,0,"1,320.00","1,320.00",0,"1,320.00",0,0,0,1,1,0,1
AZ,"vRide, Inc. - Tucson",9228,Contractor,N,"200,000 - 1 million",VP,Part Time,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,"vRide, Inc. - Tucson",9228,Contractor,N,"200,000 - 1 million",Total,,29,0,0,0,"1,320.00","1,320.00",0,"1,320.00",0,0,0,1,1,0,1
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,Over 1 million,VP,Full Time,394,0,0,0,"9,008.00","9,008.00",0,"9,008.00",0,0,0,5,5,0,5
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,Over 1 million,VP,Part Time,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,Over 1 million,Total,,394,0,0,0,"9,008.00","9,008.00",0,"9,008.00",0,0,0,5,5,0,5
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,Over 1 million,MB,Full Time,493,"2,109,162.00","589,613.00","88,351.00","386,509.00","3,173,635.00",0,"3,173,635.00","1,333.00",341,48,243,"1,965.00",0,"1,965.00"
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,Over 1 million,MB,Part Time,493,"8,320.00",0,0,"1,164.00","9,484.00",0,"9,484.00",8,0,0,1,9,0,9
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,Over 1 million,Total,,493,"2,117,482.00","589,613.00","88,351.00","387,673.00","3,183,119.00",0,"3,183,119.00","1,341.00",341,48,244,"1,974.00",0,"1,974.00"
CA,California Vanpool Authority(CalVans),9230,City,N,"Under 200,000",VP,Full Time,458,"7,248.00","9,062.00",0,"34,640.00","50,950.00",0,"50,950.00",4,5,0,20,29,0,29
CA,California Vanpool Authority(CalVans),9230,City,N,"Under 200,000",VP,Part Time,458,"1,012.00","1,322.00",0,"3,808.00","6,142.00",0,"6,142.00",1,1,0,4,6,0,6
CA,California Vanpool Authority(CalVans),9230,City,N,"Under 200,000",Total,,458,"8,260.00","10,384.00",0,"38,448.00","57,092.00",0,"57,092.00",5,6,0,24,35,0,35
CA,Central Contra Costa Transit Authority(County Connection),9078,Authority,N,"200,000 - 1 million",MB,Full Time,88,"313,815.00","56,495.00","8,446.00","58,596.00","437,352.00",0,"437,352.00",167,32,5,31,235,0,235
CA,Central Contra Costa Transit Authority(County Connection),9078,Authority,N,"200,000 - 1 million",MB,Part Time,88,"9,000.00",0,0,"4,200.00","13,200.00",0,"13,200.00",6,0,0,3,9,0,9
CA,Central Contra Costa Transit Authority(County Connection),9078,Authority,N,"200,000 - 1 million",Total,,88,"322,815.00","56,495.00","8,446.00","62,796.00","450,552.00",0,"450,552.00",173,32,5,34,244,0,244
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,Over 1 million,MB,Full Time,8,"24,444.00","1,158.00","4,000.00","2,000.00","31,602.00",0,"31,602.00",12,0.7,1.9,1.8,16.4,0,16.4
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,Over 1 million,MB,Part Time,8,"16,785.00","3,659.00",0,0,"20,444.00",0,"20,444.00",17.2,4.8,0,0,22,0,22
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,Over 1 million,DR,Full Time,4,"6,609.00",300,725,205,"7,839.00",0,"7,839.00",3.1,0.2,0.4,0.4,4.1,0,4.1
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,Over 1 million,DR,Part Time,4,"2,489.00","1,109.00",615,155,"4,368.00",0,"4,368.00",1.7,0.7,3,0.6,6,0,6
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,Over 1 million,Total,,12,"50,327.00","6,226.00","5,340.00","2,360.00","64,253.00",0,"64,253.00",34,6.4,5.3,2.8,48.5,0,48.5
CA,City of Gardena Transportation Department(GMBL),9042,City,N,Over 1 million,MB,Full Time,43,"110,005.00","31,035.00","3,749.00","13,327.00","158,116.00",0,"158,116.00",63.8,18.9,2,8.1,92.8,0,92.8
CA,City of Gardena Transportation Department(GMBL),9042,City,N,Over 1 million,MB,Part Time,43,"60,152.00","1,862.00",0,"1,956.00","63,970.00",0,"63,970.00",46,0.9,0,3,49.9,0,49.9
CA,City of Gardena Transportation Department(GMBL),9042,City,N,Over 1 million,DR,Full Time,6,"2,265.00","1,014.00",0,"2,718.00","5,997.00",0,"5,997.00",1.2,0.7,0,1.4,3.3,0,3.3
CA,City of Gardena Transportation Department(GMBL),9042,City,N,Over 1 million,DR,Part Time,6,"11,808.00",207,0,439,"12,454.00",0,"12,454.00",6,0.1,0,0.5,6.6,0,6.6
CA,City of Gardena Transportation Department(GMBL),9042,City,N,Over 1 million,Total,,49,"184,230.00","34,118.00","3,749.00","18,440.00","240,537.00",0,"240,537.00",117,20.6,2,13,152.6,0,152.6
CA,City of Riverside Special Transportation(City of Riverside),9086,City,N,Over 1 million,DR,Full Time,25,"63,425.00","1,620.00",0,"6,742.00","71,787.00",0,"71,787.00",25,1,0,4,30,0,30
CA,City of Riverside Special Transportation(City of Riverside),9086,City,N,Over 1 million,DR,Part Time,25,"33,507.00",0,200,0,"33,707.00",0,"33,707.00",10,0,1,0,11,0,11
CA,City of Riverside Special Transportation(City of Riverside),9086,City,N,Over 1 million,Total,,25,"96,932.00","1,620.00",200,"6,742.00","105,494.00",0,"105,494.00",35,1,1,4,41,0,41
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,"200,000 - 1 million",MB,Full Time,25,"103,575.00","5,675.00","1,760.00","10,796.00","121,806.00",0,"121,806.00",68.3,4,1.2,7,80.5,0,80.5
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,"200,000 - 1 million",MB,Part Time,25,"21,585.00",0,0,"1,520.00","23,105.00",0,"23,105.00",14,0,0,1,15,0,15
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,"200,000 - 1 million",Total,,25,"125,160.00","5,675.00","1,760.00","12,316.00","144,911.00",0,"144,911.00",82.3,4,1.2,8,95.5,0,95.5
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,Over 1 million,MB,Full Time,43,"164,102.00","28,539.00","3,167.00","26,382.00","222,190.00",0,"222,190.00",82,15,1.9,14,112.9,0,112.9
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,Over 1 million,MB,Part Time,43,"42,231.00",0,0,0,"42,231.00",0,"42,231.00",29,0,0,0,29,0,29
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,Over 1 million,DR,Full Time,2,"3,640.00",0,8,0,"3,648.00",0,"3,648.00",2,0,0.1,0,2.1,0,2.1
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,Over 1 million,DR,Part Time,2,0,250,0,297,547,0,547,0,1,0,1,2,0,2
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,Over 1 million,Total,,45,"209,973.00","28,789.00","3,175.00","26,679.00","268,616.00",0,"268,616.00",113,16,2,15,146,0,146
CA,Fresno Area Express(FAX),9027,City,N,"200,000 - 1 million",MB,Full Time,80,"441,527.00","93,265.00","16,578.00","57,039.00","608,409.00",0,"608,409.00",250,53,6,24,333,0,333
CA,Fresno Area Express(FAX),9027,City,N,"200,000 - 1 million",MB,Part Time,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Fresno Area Express(FAX),9027,City,N,"200,000 - 1 million",Total,,80,"441,527.00","93,265.00","16,578.00","57,039.00","608,409.00",0,"608,409.00",250,53,6,24,333,0,333
CA,Gold Coast Transit(GCT),9035,Authority,N,"200,000 - 1 million",MB,Full Time,43,"230,837.00","37,080.00","1,967.00","30,761.00","300,645.00",0,"300,645.00",113,22,1,18,154,0,154
CA,Gold Coast Transit(GCT),9035,Authority,N,"200,000 - 1 million",MB,Part Time,43,"5,699.00",0,0,0,"5,699.00",0,"5,699.00",17,0,0,0,17,0,17
CA,Gold Coast Transit(GCT),9035,Authority,N,"200,000 - 1 million",Total,,43,"236,536.00","37,080.00","1,967.00","30,761.00","306,344.00",0,"306,344.00",130,22,1,18,171,0,171
CA,Golden Empire Transit District(GET),9004,Authority,N,"200,000 - 1 million",MB,Full Time,70,"169,794.00","98,730.00","16,407.00","46,607.00","331,538.00",0,"331,538.00",81,51,7,24,163,0,163
CA,Golden Empire Transit District(GET),9004,Authority,N,"200,000 - 1 million",MB,Part Time,70,"272,115.00",0,0,"9,980.00","282,095.00",0,"282,095.00",132.5,0,0,7,139.5,0,139.5
CA,Golden Empire Transit District(GET),9004,Authority,N,"200,000 - 1 million",DR,Full Time,16,"11,160.00","2,251.00",0,"3,615.00","17,026.00",0,"17,026.00",5,1,0,2,8,0,8
CA,Golden Empire Transit District(GET),9004,Authority,N,"200,000 - 1 million",DR,Part Time,16,"44,660.00",0,0,0,"44,660.00",0,"44,660.00",22.5,0,0,0,22.5,0,22.5
CA,Golden Empire Transit District(GET),9004,Authority,N,"200,000 - 1 million",Total,,86,"497,729.00","100,981.00","16,407.00","60,202.00","675,319.00",0,"675,319.00",241,52,7,33,333,0,333
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Authority,N,Over 1 million,MB,Full Time,164,"746,953.00","125,264.00","6,554.00","127,898.00","1,006,669.00",403,"1,007,072.00",415,69.6,3.6,71.1,559.3,0.2,559.5
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Authority,N,Over 1 million,MB,Part Time,164,"10,012.00",0,0,0,"10,012.00",0,"10,012.00",8.8,0,0,0,8.8,0,8.8
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Authority,N,Over 1 million,FB,Full Time,6,"84,268.00","15,722.00","14,677.00","62,364.00","177,031.00","2,653.00","179,684.00",44.6,8.3,7.8,34.6,95.3,1.4,96.7
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Authority,N,Over 1 million,FB,Part Time,6,"49,204.00",0,"2,521.00",0,"51,725.00",0,"51,725.00",100.4,0,5.1,0,105.5,0,105.5
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Authority,N,Over 1 million,Total,,170,"890,437.00","140,986.00","23,752.00","190,262.00","1,245,437.00","3,056.00","1,248,493.00",568.8,77.9,16.5,105.7,768.9,1.6,770.5
CA,Laguna Beach Municipal Transit(CLB),9119,City,N,"200,000 - 1 million",MB,Full Time,23,"5,911.00","7,865.00",0,"2,127.00","15,903.00",0,"15,903.00",3,5,0,1,9,0,9
CA,Laguna Beach Municipal Transit(CLB),9119,City,N,"200,000 - 1 million",MB,Part Time,23,"32,832.00","2,160.00",0,"3,473.00","38,465.00",0,"38,465.00",90,6,0,16,112,0,112
CA,Laguna Beach Municipal Transit(CLB),9119,City,N,"200,000 - 1 million",Total,,23,"38,743.00","10,025.00",0,"5,600.00","54,368.00",0,"54,368.00",93,11,0,17,121,0,121
CA,Long Beach Transit(LBT),9023,Semi-Public Corp,N,Over 1 million,MB,Full Time,182,"923,933.00","217,921.00","52,208.00","120,153.00","1,314,215.00",906,"1,315,121.00",512,114,29,62,717,1,718
CA,Long Beach Transit(LBT),9023,Semi-Public Corp,N,Over 1 million,MB,Part Time,182,"9,935.00",0,0,"8,269.00","18,204.00",0,"18,204.00",6,0,0,5,11,0,11
CA,Long Beach Transit(LBT),9023,Semi-Public Corp,N,Over 1 million,Total,,182,"933,868.00","217,921.00","52,208.00","128,422.00","1,332,419.00",906,"1,333,325.00",518,114,29,67,728,1,729
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,RB,Full Time,32,"146,917.00","25,547.00","21,985.00","4,229.00","198,678.00",0,"198,678.00",66,13,11,2,92,0,92
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,RB,Part Time,32,"10,939.00",0,0,0,"10,939.00",0,"10,939.00",5,0,0,0,5,0,5
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,MB,Full Time,"1,739","7,848,466.00","2,946,751.00","506,514.00","515,095.00","11,816,826.00",0,"11,816,826.00","2,803.00","1,464.00",264,259,"4,790.00",0,"4,790.00"
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,MB,Part Time,"1,739","1,111,265.00",0,0,"10,098.00","1,121,363.00",0,"1,121,363.00","1,002.00",0,0,14,"1,016.00",0,"1,016.00"
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,LR,Full Time,144,"1,031,865.00","476,179.00","463,274.00","185,825.00","2,157,143.00",0,"2,157,143.00",497,242,244,101,"1,084.00",0,"1,084.00"
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,LR,Part Time,144,"4,683.00",0,0,0,"4,683.00",0,"4,683.00",4,0,0,0,4,0,4
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,HR,Full Time,70,"374,724.00","357,209.00","345,708.00","60,194.00","1,137,835.00",0,"1,137,835.00",177,183,182,32,574,0,574
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Authority,N,Over 1 million,HR,Part Time,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
