Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?,,,,,1
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,544",RB,DO,33,"187,263",,"20,689",,"12,111",,"25,103",,0,,"245,166",,95.00,,11.00,,6.00,,13.00,,0.00,,125.00,,"$4,768,131",,"$606,908",,"$371,844",,"$947,888",,"$6,694,771",,$25.46,,$29.33,,$1.99,,$37.76,,$27.31,,No,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,172",MB,DO,"1,301","6,891,639",,"1,861,037",,"198,198",,"370,594",,"926,008",,"10,247,476",,"4,520.00",,"1,124.00",,101.00,,215.00,,545.00,,"6,505.00",,"$214,217,204",,"$56,184,480",,"$6,573,483",,"$15,157,710",,"$292,132,877",,$31.08,,$30.19,,$0.95,,$40.90,,$28.51,,No,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,172",HR,DO,954,"4,282,374",,"2,269,335",,"4,997,737",,"2,139,984",,"1,360,431",,"15,049,861",,"2,349.00",,"1,243.00",,"3,224.00",,"1,362.00",,800.00,,"8,978.00",,"$155,320,123",,"$76,399,711",,"$133,089,422",,"$90,203,845",,"$455,013,101",,$36.27,,$33.67,,$31.08,,$42.15,,$30.23,,No,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,818",VP,DO,"1,469",0,,0,,951,,"52,529",,"1,492",,"54,972",,0.00,,0.00,,0.61,,40.69,,0.97,,42.27,,$0,,$0,,"$58,223",,"$2,947,532",,"$3,005,755",,,,,,,,$56.11,,$54.68,,No,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,818",MB,DO,949,"3,376,614",,"888,285",,"336,811",,"309,451",,"111,831",,"5,022,992",,"2,593.28",,573.81,,223.26,,216.41,,74.16,,"3,680.92",,"$159,886,077",,"$43,471,455",,"$14,321,158",,"$17,422,523",,"$235,101,213",,$47.35,,$48.94,,$4.24,,$56.30,,$46.81,,No,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,818",TB,DO,138,"478,061",,"95,650",,"97,421",,"44,611",,"20,691",,"736,434",,367.16,,61.79,,67.74,,31.30,,14.17,,542.16,,"$22,625,547",,"$4,690,438",,"$5,764,339",,"$2,529,228",,"$35,609,552",,$47.33,,$49.04,,$12.06,,$56.70,,$48.35,,No,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,818",SR,DO,8,"68,624",,"12,252",,"6,188",,"13,528",,"1,502",,"102,094",,44.70,,8.00,,4.53,,9.59,,1.05,,67.87,,"$3,097,719",,"$572,678",,"$525,135",,"$783,546",,"$4,979,078",,$45.14,,$46.74,,$7.65,,$57.92,,$48.77,,No,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,818",FB,DO,2,"24,163",,"8,097",,361,,"11,437",,"1,860",,"45,918",,24.70,,6.25,,0.19,,6.48,,1.25,,38.87,,"$918,681",,"$346,795",,"$16,100",,"$513,168",,"$1,794,744",,$38.02,,$42.83,,$0.67,,$44.87,,$39.09,,No,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,712",MB,DO,"1,572","8,126,751",,"1,909,971",,"325,346",,"527,262",,"338,220",,"11,227,550",,"4,533.00",,"1,035.00",,181.00,,301.00,,190.00,,"6,240.00",,"$255,900,536",,"$60,423,296",,"$13,933,391",,"$15,393,103",,"$345,650,326",,$31.49,,$31.64,,$1.71,,$29.19,,$30.79,,No,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,712",HR,DO,"1,140","4,089,140",,"1,193,179",,"1,889,108",,"644,927",,"555,478",,"8,371,832",,"2,422.00",,676.00,,"1,070.00",,371.00,,313.00,,"4,852.00",,"$115,315,867",,"$37,444,708",,"$77,248,453",,"$18,562,562",,"$248,571,590",,$28.20,,$31.38,,$18.89,,$28.78,,$29.69,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,374",MB,DO,779,"3,218,966",,"949,167",,"101,387",,"430,895",,"14,832",,"4,715,247",,"1,731.00",,513.00,,52.00,,220.00,,8.00,,"2,524.00",,"$119,402,349",,"$43,538,435",,"$3,478,852",,"$16,998,379",,"$183,418,015",,$37.09,,$45.87,,$1.08,,$39.45,,$38.90,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,374",HR,DO,336,"1,941,009",,"720,998",,"1,102,174",,"404,550",,"55,490",,"4,224,221",,"1,107.00",,401.00,,613.00,,225.00,,31.00,,"2,377.00",,"$66,232,991",,"$28,104,865",,"$40,807,979",,"$15,953,098",,"$151,098,933",,$34.12,,$38.98,,$21.02,,$39.43,,$35.77,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,374",LR,DO,156,"1,206,045",,"380,052",,"508,834",,"228,346",,"8,990",,"2,332,267",,700.00,,207.00,,283.00,,127.00,,5.00,,"1,322.00",,"$39,358,690",,"$17,445,595",,"$19,331,985",,"$7,999,363",,"$84,135,633",,$32.63,,$45.90,,$16.03,,$35.03,,$36.07,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,374",RB,DO,30,"169,333",,"38,906",,"12,586",,"39,010",,0,,"259,835",,95.00,,21.00,,7.00,,21.00,,0.00,,144.00,,"$6,064,022",,"$837,961",,"$446,022",,"$1,310,889",,"$8,658,894",,$35.81,,$21.54,,$2.63,,$33.60,,$33.32,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,374",TB,DO,22,"56,289",,"25,950",,"15,505",,"10,357",,0,,"108,101",,36.00,,13.00,,8.00,,6.00,,0.00,,63.00,,"$2,137,625",,"$1,262,451",,"$527,754",,"$386,190",,"$4,314,020",,$37.98,,$48.65,,$9.38,,$37.29,,$39.91,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,339",MB,DO,"1,174","6,324,054",,"1,533,571",,"1,105,397",,"870,135",,"696,604",,"10,529,761",,"3,043.00",,799.00,,537.00,,467.00,,325.00,,"5,171.00",,"$174,916,284",,"$44,665,596",,"$33,581,555",,"$25,323,836",,"$278,487,271",,$27.66,,$29.13,,$5.31,,$29.10,,$26.45,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,339",CR,DO,339,"1,948,572",,"766,876",,"688,414",,"262,543",,"538,527",,"4,204,932",,819.00,,369.00,,319.00,,142.00,,247.00,,"1,896.00",,"$64,012,432",,"$23,372,576",,"$22,724,601",,"$9,180,040",,"$119,289,649",,$32.85,,$30.48,,$11.66,,$34.97,,$28.37,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,339",HR,DO,284,"1,477,776",,"586,371",,"638,674",,"205,528",,"331,329",,"3,239,678",,727.00,,276.00,,310.00,,110.00,,159.00,,"1,582.00",,"$45,272,017",,"$17,706,688",,"$19,025,078",,"$6,100,646",,"$88,104,429",,$30.64,,$30.20,,$12.87,,$29.68,,$27.20,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,339",SR,DO,121,"667,192",,"268,870",,"123,982",,"85,794",,"128,546",,"1,274,384",,333.00,,136.00,,62.00,,46.00,,65.00,,642.00,,"$18,446,825",,"$8,181,650",,"$3,084,316",,"$2,599,219",,"$32,312,010",,$27.65,,$30.43,,$4.62,,$30.30,,$25.36,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,339",TB,DO,30,"159,944",,"17,224",,"29,873",,"22,651",,"14,205",,"243,897",,77.00,,8.00,,15.00,,12.00,,7.00,,119.00,,"$4,511,199",,"$492,546",,"$663,846",,"$644,434",,"$6,312,025",,$28.20,,$28.60,,$4.15,,$28.45,,$25.88,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,206",MB,DO,586,"3,519,724",,"1,139,781",,"290,224",,"696,125",,"95,254",,"5,741,108",,"1,682.97",,560.79,,149.19,,361.95,,49.61,,"2,804.51",,"$71,476,403",,"$23,104,683",,"$4,420,484",,"$18,701,490",,"$117,703,060",,$20.31,,$20.27,,$1.26,,$26.87,,$20.50,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,206",CB,DO,235,"455,123",,"147,381",,"37,528",,"90,013",,"12,317",,"742,362",,217.62,,72.51,,19.29,,46.80,,6.41,,362.63,,"$9,258,435",,"$5,641,827",,"$1,794,662",,"$2,738,391",,"$19,433,315",,$20.34,,$38.28,,$3.94,,$30.42,,$26.18,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,206",LR,DO,54,"460,347",,"204,723",,"219,498",,"95,029",,"19,849",,"999,446",,207.86,,96.63,,97.95,,49.61,,9.80,,461.85,,"$11,839,100",,"$5,437,997",,"$5,938,414",,"$4,974,351",,"$28,189,862",,$25.72,,$26.56,,$12.90,,$52.35,,$28.21,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,634",MB,DO,627,"3,326,323",,"847,357",,"174,543",,"706,420",,"58,857",,"5,113,500",,"1,607.00",,404.00,,82.00,,397.00,,37.00,,"2,527.00",,"$83,686,817",,"$19,541,296",,"$3,617,395",,"$18,755,565",,"$125,601,073",,$25.16,,$23.06,,$1.09,,$26.55,,$24.56,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,634",HR,DO,54,"345,465",,"188,190",,"259,892",,"101,552",,"11,470",,"906,569",,159.00,,80.00,,98.00,,51.00,,7.00,,395.00,,"$9,077,407",,"$4,014,086",,"$8,035,451",,"$2,215,626",,"$23,342,570",,$26.28,,$21.33,,$23.26,,$21.82,,$25.75,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,634",LR,DO,38,"268,308",,"177,843",,"79,614",,"106,164",,"9,508",,"641,437",,126.00,,77.00,,35.00,,53.00,,6.00,,297.00,,"$6,972,586",,"$3,290,094",,"$3,977,986",,"$2,075,199",,"$16,315,865",,$25.99,,$18.50,,$14.83,,$19.55,,$25.44,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,619",VP,DO,664,0,,0,,0,,"55,809",,0,,"55,809",,0.00,,0.00,,0.00,,29.50,,0.00,,29.50,,$0,,$0,,$0,,"$1,760,295",,"$1,760,295",,,,,,,,$31.54,,$31.54,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,619",MB,DO,545,"1,961,778",,"509,846",,"48,950",,"276,321",,"16,228",,"2,813,123",,"1,134.40",,270.80,,26.70,,153.00,,8.27,,"1,593.17",,"$54,309,096",,"$14,030,339",,"$1,326,379",,"$9,571,724",,"$79,237,538",,$27.68,,$27.52,,$0.68,,$34.64,,$28.17,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,619",DR,DO,8,"20,089",,"2,675",,373,,"1,007",,0,,"24,144",,13.70,,1.10,,0.20,,0.60,,0.00,,15.60,,"$373,077",,"$75,737",,"$8,804",,"$18,319",,"$475,937",,$18.57,,$28.31,,$0.44,,$18.19,,$19.71,,No,,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,558",MB,DO,266,"1,417,941",,"318,105",,"18,172",,"201,162",,0,,"1,955,380",,718.32,,168.33,,9.52,,111.61,,0.00,,"1,007.78",,"$37,790,171",,"$9,533,269",,"$588,766",,"$7,956,705",,"$55,868,911",,$26.65,,$29.97,,$0.42,,$39.55,,$28.57,,No,,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,558",CB,DO,6,"15,408",,"3,671",,263,,"2,991",,0,,"22,333",,7.64,,1.93,,0.14,,1.66,,0.00,,11.37,,"$405,932",,"$109,407",,"$8,533",,"$116,794",,"$640,666",,$26.35,,$29.80,,$0.55,,$39.05,,$28.69,,No,,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,435",MB,DO,485,"2,667,335",,"797,142",,"322,381",,"617,074",,"24,677",,"4,428,609",,"1,364.00",,370.00,,132.00,,308.00,,14.50,,"2,188.50",,"$56,762,744",,"$18,802,206",,"$7,674,094",,"$22,050,271",,"$105,289,315",,$21.28,,$23.59,,$2.88,,$35.73,,$23.77,,No,,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,435",LR,DO,140,"643,023",,"302,368",,"253,244",,"271,865",,"85,813",,"1,556,313",,263.00,,135.00,,95.00,,124.00,,49.70,,666.70,,"$12,805,761",,"$6,853,576",,"$7,008,865",,"$9,238,151",,"$35,906,353",,$19.91,,$22.67,,$10.90,,$33.98,,$23.07,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,181",MB,DO,709,"3,612,259",,"963,411",,"161,392",,"437,889",,"4,078",,"5,179,029",,"2,214.00",,475.00,,81.00,,200.00,,2.00,,"2,972.00",,"$133,931,467",,"$34,342,569",,"$5,071,592",,"$21,474,444",,"$194,820,072",,$37.08,,$35.65,,$1.40,,$49.04,,$37.62,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,181",HR,DO,84,"263,731",,"389,999",,"376,011",,"178,005",,"34,014",,"1,241,760",,131.00,,198.00,,217.00,,98.00,,15.00,,659.00,,"$14,471,847",,"$8,059,708",,"$8,836,449",,"$4,674,599",,"$36,042,603",,$54.87,,$20.67,,$33.51,,$26.26,,$29.03,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,181",MG,DO,23,"56,219",,"168,833",,"104,241",,"51,649",,0,,"380,942",,34.00,,76.00,,47.00,,27.00,,0.00,,184.00,,"$2,539,618",,"$3,315,283",,"$2,667,143",,"$1,407,316",,"$9,929,360",,$45.17,,$19.64,,$47.44,,$27.25,,$26.07,,No,,,,,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,175",CR,DO,"1,164","3,697,556",,"2,740,059",,"3,470,029",,"912,253",,"695,226",,"11,515,123",,"1,716.00",,"1,723.00",,"2,081.00",,476.00,,381.00,,"6,377.00",,"$168,011,886",,"$106,090,901",,"$141,361,528",,"$40,510,592",,"$455,974,907",,$45.44,,$38.72,,$38.23,,$44.41,,$39.60,,No,,,,,
MTA Bus Company,New York,NY,2188,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,093",MB,DO,"1,093","5,975,300",,"2,382,377",,"207,907",,"250,421",,"49,886",,"8,865,891",,"2,783.00",,"1,070.00",,85.00,,181.00,,24.00,,"4,143.00",,"$172,906,819",,"$71,960,666",,"$5,995,050",,"$13,026,440",,"$263,888,975",,$28.94,,$30.21,,$1.00,,$52.02,,$29.76,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",VP,DO,406,0,,0,,"3,283",,"19,691",,542,,"23,516",,0.00,,0.00,,1.90,,10.90,,1.00,,13.80,,$0,,$0,,"$64,179",,"$555,100",,"$619,279",,,,,,,,$28.19,,$26.33,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",MB,DO,391,"1,497,004",,"436,413",,"303,092",,"298,776",,"37,152",,"2,572,437",,780.00,,223.90,,168.10,,170.80,,19.20,,"1,362.00",,"$31,366,587",,"$10,688,766",,"$5,040,037",,"$11,372,876",,"$58,468,266",,$20.95,,$24.49,,$3.37,,$38.06,,$22.73,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",LR,DO,91,"410,509",,"236,133",,"205,901",,"126,917",,"16,030",,"995,490",,213.50,,117.00,,111.40,,72.00,,18.30,,532.20,,"$9,182,147",,"$5,499,641",,"$4,788,763",,"$4,792,205",,"$24,262,756",,$22.37,,$23.29,,$11.67,,$37.76,,$24.37,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",DR,DO,61,"199,802",,"41,795",,"27,439",,"33,446",,"4,161",,"306,643",,143.30,,24.70,,15.70,,19.20,,2.20,,205.10,,"$3,554,868",,"$1,024,549",,"$564,282",,"$1,104,510",,"$6,248,209",,$17.79,,$24.51,,$2.82,,$33.02,,$20.38,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",CR,DO,45,"221,465",,"61,730",,"166,763",,"79,538",,"12,982",,"542,478",,115.10,,33.00,,91.00,,45.30,,16.70,,301.10,,"$4,527,020",,"$1,648,367",,"$3,878,493",,"$3,250,654",,"$13,304,534",,$20.44,,$26.70,,$17.51,,$40.87,,$24.53,,No,,,,,
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,087",CB,DO,43,"89,949",,"26,754",,"19,537",,"18,890",,"2,396",,"157,526",,49.00,,14.40,,10.80,,10.80,,8.00,,93.00,,"$1,909,603",,"$655,073",,"$324,478",,"$732,187",,"$3,621,341",,$21.23,,$24.49,,$3.61,,$38.76,,$22.99,,No,,,,,
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,069",MB,DO,533,"3,594,655",,"809,505",,"152,873",,"412,830",,"17,307",,"4,987,170",,"1,674.00",,425.00,,90.00,,247.00,,11.00,,"2,447.00",,"$77,542,573",,"$25,132,744",,"$3,492,173",,"$16,071,154",,"$122,238,644",,$21.57,,$31.05,,$0.97,,$38.93,,$24.51,,No,,,,,
