Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?,,,,,1
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,516",RB,DO,33,"184,837",,"35,367",,"16,439",,"1,170",,0,,"237,813",,112,,18,,9,,0.6,,0,,139.6,,"$4,656,692 ",,"$1,007,232 ",,"$490,012 ",,"$42,890 ",,"$6,196,826 ",,$25.19 ,,$28.48 ,,$29.81 ,,$36.66 ,,$26.06 ,,No,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,200",MB,DO,"1,300","6,450,729",,"1,857,952",,"249,888",,"360,789",,"912,289",,"9,831,647",,"4,252.00",,"1,124.00",,134,,210,,537,,"6,257.00",,"$199,635,569 ",,"$54,464,385 ",,"$6,714,647 ",,"$15,700,908 ",,"$276,515,509 ",,$30.95 ,,$29.31 ,,$26.87 ,,$43.52 ,,$28.13 ,,No,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,200",HR,DO,954,"4,057,425",,"2,161,551",,"5,027,938",,"2,164,517",,"1,374,150",,"14,785,581",,"2,242.00",,"1,287.00",,"3,223.00",,"1,376.00",,808,,"8,936.00",,"$142,014,022 ",,"$70,298,557 ",,"$118,241,172 ",,"$89,575,205 ",,"$420,128,956 ",,$35.00 ,,$32.52 ,,$23.52 ,,$41.38 ,,$28.41 ,,No,,,,,
King County Department of Transportation - Metro Transit Division,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,875",VP,DO,"1,476",0,,0,,"1,277",,"54,759",,"1,668",,"57,704",,0,,0,,0.83,,34.17,,1.08,,36.08,,$0 ,,$0 ,,"$60,673 ",,"$2,855,337 ",,"$2,916,010 ",,,,,,$47.51 ,,$52.14 ,,$50.53 ,,No,,,,,
King County Department of Transportation - Metro Transit Division,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,875",MB,DO,871,"3,118,410",,"793,455",,"314,750",,"324,303",,"120,092",,"4,671,010",,"2,352.59",,507.6,,198.78,,206.13,,73.47,,"3,338.57",,"$152,830,462 ",,"$39,841,334 ",,"$16,425,967 ",,"$18,012,143 ",,"$227,109,906 ",,$49.01 ,,$50.21 ,,$52.19 ,,$55.54 ,,$48.62 ,,No,,,,,
King County Department of Transportation - Metro Transit Division,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,875",TB,DO,129,"428,039",,"109,960",,"91,095",,"46,617",,"24,312",,"700,023",,322.97,,70.34,,57.55,,29.69,,15.06,,495.61,,"$21,000,191 ",,"$5,527,748 ",,"$5,329,050 ",,"$2,592,807 ",,"$34,449,796 ",,$49.06 ,,$50.27 ,,$58.50 ,,$55.62 ,,$49.21 ,,No,,,,,
King County Department of Transportation - Metro Transit Division,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,875",SR,DO,3,"25,492",,"3,569",,"2,800",,"6,114",,792,,"38,767",,16.07,,2.22,,1.54,,3.79,,0.49,,24.11,,"$1,016,456 ",,"$216,437 ",,"$124,015 ",,"$260,518 ",,"$1,617,426 ",,$39.87 ,,$60.64 ,,$44.29 ,,$42.61 ,,$41.72 ,,No,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,728",MB,DO,"1,594","7,974,673",,"1,846,843",,"410,620",,"548,698",,"354,858",,"11,135,692",,"4,536.00",,"1,024.00",,224,,300,,187,,"6,271.00",,"$245,187,718 ",,"$56,680,377 ",,"$17,593,008 ",,"$21,618,093 ",,"$341,079,196 ",,$30.75 ,,$30.69 ,,$42.84 ,,$39.40 ,,$30.63 ,,No,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,728",HR,DO,"1,134","4,029,930",,"1,170,763",,"1,784,211",,"714,162",,"578,136",,"8,277,202",,"2,440.00",,682,,"1,032.00",,394,,313,,"4,861.00",,"$109,712,765 ",,"$34,819,123 ",,"$69,838,470 ",,"$28,253,192 ",,"$242,623,550 ",,$27.22 ,,$29.74 ,,$39.14 ,,$39.56 ,,$29.31 ,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,344",MB,DO,790,"3,645,411",,"1,251,745",,"101,033",,"431,507",,"27,534",,"5,457,230",,"1,940.00",,642,,52,,221,,15,,"2,870.00",,"$118,074,578 ",,"$43,054,281 ",,"$3,440,167 ",,"$16,809,355 ",,"$181,378,381 ",,$32.39 ,,$34.40 ,,$34.05 ,,$38.95 ,,$33.24 ,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,344",HR,DO,336,"2,007,000",,"767,659",,"1,170,705",,"406,011",,"75,642",,"4,427,017",,"1,094.00",,408,,623,,215.01,,42,,"2,382.01",,"$65,496,471 ",,"$27,792,335 ",,"$40,354,188 ",,"$15,775,697 ",,"$149,418,691 ",,$32.63 ,,$36.20 ,,$34.47 ,,$38.86 ,,$33.75 ,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,344",LR,DO,151,"1,253,396",,"488,133",,"528,189",,"204,332",,"9,070",,"2,483,120",,698,,259,,280,,108,,5,,"1,350.00",,"$38,921,015 ",,"$17,251,597 ",,"$19,117,011 ",,"$7,910,409 ",,"$83,200,032 ",,$31.05 ,,$35.34 ,,$36.19 ,,$38.71 ,,$33.51 ,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,344",RB,DO,30,"162,576",,"22,888",,"13,205",,"34,941",,0,,"233,610",,88,,12,,7,,19,,0,,126,,"$5,996,589 ",,"$828,643 ",,"$441,062 ",,"$1,296,312 ",,"$8,562,606 ",,$36.88 ,,$36.20 ,,$33.40 ,,$37.10 ,,$36.65 ,,No,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,344",TB,DO,10,"66,549",,"36,207",,"15,515",,"10,347",,0,,"128,618",,61,,19,,8,,6,,0,,94,,"$2,113,855 ",,"$1,248,412 ",,"$521,885 ",,"$381,896 ",,"$4,266,048 ",,$31.76 ,,$34.48 ,,$33.64 ,,$36.91 ,,$33.17 ,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,340",MB,DO,"1,172","5,438,915",,"1,579,683",,"1,131,492",,"684,505",,"712,814",,"9,547,409",,"3,014.00",,871,,620,,364,,355,,"5,224.00",,"$171,041,323 ",,"$43,681,075 ",,"$30,841,722 ",,"$24,139,185 ",,"$269,703,305 ",,$31.45 ,,$27.65 ,,$27.26 ,,$35.27 ,,$28.25 ,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,340",CR,DO,339,"2,005,239",,"632,213",,"660,687",,"231,203",,"407,627",,"3,936,969",,870,,312,,354,,124,,213,,"1,873.00",,"$61,978,655 ",,"$21,671,703 ",,"$20,993,220 ",,"$8,956,558 ",,"$113,600,136 ",,$30.91 ,,$34.28 ,,$31.77 ,,$38.74 ,,$28.85 ,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,340",HR,DO,287,"1,423,122",,"549,916",,"609,309",,"165,957",,"279,020",,"3,027,324",,721,,279,,317,,85,,153,,"1,555.00",,"$43,838,264 ",,"$16,529,607 ",,"$18,344,331 ",,"$5,848,880 ",,"$84,561,082 ",,$30.80 ,,$30.06 ,,$30.11 ,,$35.24 ,,$27.93 ,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,340",SR,DO,124,"565,740",,"240,732",,"107,157",,"70,848",,"85,431",,"1,069,908",,304,,131,,56,,37,,45,,573,,"$17,857,782 ",,"$7,214,965 ",,"$3,073,016 ",,"$2,535,878 ",,"$30,681,641 ",,$31.57 ,,$29.97 ,,$28.68 ,,$35.79 ,,$28.68 ,,No,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,340",TB,DO,30,"177,511",,"18,029",,"27,177",,"20,526",,"8,851",,"252,094",,89,,10,,14,,11,,5,,129,,"$4,330,665 ",,"$455,181 ",,"$650,139 ",,"$613,519 ",,"$6,049,504 ",,$24.40 ,,$25.25 ,,$23.92 ,,$29.89 ,,$24.00 ,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,240",MB,DO,610,"3,072,601",,"1,040,827",,"270,335",,"735,158",,"65,387",,"5,184,308",,"1,556.21",,580.15,,136.21,,403.11,,35.3,,"2,710.98",,"$64,131,357 ",,"$21,067,390 ",,"$4,548,096 ",,"$17,740,795 ",,"$107,487,638 ",,$20.87 ,,$20.24 ,,$16.82 ,,$24.13 ,,$20.73 ,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,240",CB,DO,232,"440,916",,"149,358",,"38,793",,"105,494",,"9,383",,"743,944",,223.31,,83.25,,19.55,,57.85,,5.06,,389.02,,"$9,080,127 ",,"$5,580,797 ",,"$1,852,022 ",,"$2,780,184 ",,"$19,293,130 ",,$20.59 ,,$37.37 ,,$47.74 ,,$26.35 ,,$25.93 ,,No,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,240",LR,DO,51,"352,808",,"145,746",,"189,952",,"32,964",,"115,823",,"837,293",,174.42,,66.71,,90.72,,19.21,,56.94,,408,,"$8,959,300 ",,"$4,444,805 ",,"$4,466,293 ",,"$4,130,502 ",,"$22,000,900 ",,$25.39 ,,$30.50 ,,$23.51 ,,$125.30 ,,$26.28 ,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,638",VP,DO,710,0,,0,,0,,"56,539",,0,,"56,539",,0,,0,,0,,31.5,,0,,31.5,,$0 ,,$0 ,,$0 ,,"$1,707,558 ",,"$1,707,558 ",,,,,,,,$30.20 ,,$30.20 ,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,638",MB,DO,520,"1,926,981",,"485,628",,"47,517",,"286,963",,0,,"2,747,089",,"1,085.50",,253.1,,25.8,,174.5,,0,,"1,538.90",,"$50,411,084 ",,"$13,108,790 ",,"$1,249,818 ",,"$8,405,018 ",,"$73,174,710 ",,$26.16 ,,$26.99 ,,$26.30 ,,$29.29 ,,$26.64 ,,No,,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,638",DR,DO,7,"17,548",,"1,640",,204,,"1,063",,0,,"20,455",,10.6,,0.7,,0.1,,0.6,,0,,12,,"$308,145 ",,"$45,085 ",,"$4,362 ",,"$19,164 ",,"$376,756 ",,$17.56 ,,$27.49 ,,$21.38 ,,$18.03 ,,$18.42 ,,No,,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,528",MB,DO,293,"1,534,861",,"329,664",,"29,782",,"205,892",,0,,"2,100,199",,778.65,,185.44,,16.66,,115.92,,0,,"1,096.67",,"$39,583,668 ",,"$9,505,700 ",,"$956,389 ",,"$8,463,980 ",,"$58,509,737 ",,$25.79 ,,$28.83 ,,$32.11 ,,$41.11 ,,$27.86 ,,No,,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,528",CB,DO,6,"14,859",,"8,214",,591,,"2,386",,0,,"26,050",,7.23,,4.06,,0.34,,0.87,,0,,12.5,,"$357,797 ",,"$246,866 ",,"$19,178 ",,"$96,406 ",,"$720,247 ",,$24.08 ,,$30.05 ,,$32.45 ,,$40.40 ,,$27.65 ,,No,,,,,
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212","1,524",MB,DO,430,"2,572,192",,"595,840",,"17,849",,"97,591",,0,,"3,283,472",,"1,370.00",,330,,10,,59,,0,,"1,769.00",,"$82,168,461 ",,"$24,351,927 ",,"$774,344 ",,"$3,397,348 ",,"$110,692,080 ",,$31.94 ,,$40.87 ,,$43.38 ,,$34.81 ,,$33.71 ,,No,,,,,
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212","1,524",TB,DO,196,"1,448,011",,"240,667",,"167,175",,"41,687",,0,,"1,897,540",,753,,133,,77,,27,,0,,990,,"$47,017,085 ",,"$10,021,074 ",,"$8,332,417 ",,"$1,959,233 ",,"$67,329,809 ",,$32.47 ,,$41.64 ,,$49.84 ,,$47.00 ,,$35.48 ,,No,,,,,
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212","1,524",LR,DO,131,"956,005",,"553,267",,"260,446",,"113,220",,0,,"1,882,938",,450,,287,,152,,81,,0,,970,,"$33,777,176 ",,"$26,134,537 ",,"$12,794,214 ",,"$5,232,022 ",,"$77,937,949 ",,$35.33 ,,$47.24 ,,$49.12 ,,$46.21 ,,$41.39 ,,No,,,,,
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212","1,524",CC,DO,27,"499,924",,"95,879",,"152,997",,"44,336",,0,,"793,136",,226,,49,,67,,30,,0,,372,,"$17,464,266 ",,"$4,109,790 ",,"$5,553,490 ",,"$2,011,687 ",,"$29,139,233 ",,$34.93 ,,$42.86 ,,$36.30 ,,$45.37 ,,$36.74 ,,No,,,,,
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212","1,524",SR,DO,24,"110,794",,"28,217",,"45,338",,"7,388",,0,,"191,737",,47,,16,,21,,5,,0,,89,,"$4,698,740 ",,"$865,982 ",,"$2,135,378 ",,"$306,957 ",,"$8,007,057 ",,$42.41 ,,$30.69 ,,$47.10 ,,$41.55 ,,$41.76 ,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,491",MB,DO,620,"3,462,559",,"906,614",,"177,933",,"625,460",,"101,930",,"5,274,496",,"1,594.00",,402,,82,,412,,61,,"2,551.00",,"$83,565,914 ",,"$20,603,847 ",,"$3,824,718 ",,"$17,252,914 ",,"$125,247,393 ",,$24.13 ,,$22.73 ,,$21.50 ,,$27.58 ,,$23.75 ,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,491",HR,DO,54,"394,502",,"187,989",,"294,683",,"134,060",,"20,944",,"1,032,178",,164,,80,,110,,86,,13,,453,,"$9,621,411 ",,"$3,819,739 ",,"$7,487,065 ",,"$2,372,216 ",,"$23,300,431 ",,$24.39 ,,$20.32 ,,$25.41 ,,$17.70 ,,$22.57 ,,No,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,491",LR,DO,38,"320,033",,"74,547",,"95,982",,"53,393",,"16,756",,"560,711",,137,,28,,36,,29,,10,,240,,"$7,365,060 ",,"$3,514,704 ",,"$4,355,940 ",,"$1,987,149 ",,"$17,222,853 ",,$23.01 ,,$47.15 ,,$45.38 ,,$37.22 ,,$30.72 ,,No,,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,395",MB,DO,482,"2,305,836",,"778,290",,"354,493",,"550,038",,"34,849",,"4,023,506",,"1,188.00",,351,,121,,268,,18,,"1,946.00",,"$52,111,353 ",,"$17,822,857 ",,"$7,288,403 ",,"$20,026,892 ",,"$97,249,505 ",,$22.60 ,,$22.90 ,,$20.56 ,,$36.41 ,,$24.17 ,,No,,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,395",LR,DO,137,"628,627",,"295,379",,"234,547",,"278,300",,"430,865",,"1,867,718",,252.5,,129,,84,,111,,226,,802.5,,"$11,438,934 ",,"$6,436,295 ",,"$6,006,748 ",,"$9,147,727 ",,"$33,029,704 ",,$18.20 ,,$21.79 ,,$25.61 ,,$32.87 ,,$17.68 ,,No,,,,,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,199",CR,DO,"1,188","3,716,262",,"2,763,326",,"3,260,000",,"910,598",,"967,547",,"11,617,733",,"1,625.00",,"1,683.00",,"1,910.00",,427,,539,,"6,184.00",,"$164,064,750 ",,"$104,622,519 ",,"$136,411,217 ",,"$36,390,479 ",,"$441,488,965 ",,$44.15 ,,$37.86 ,,$41.84 ,,$39.96 ,,$38.00 ,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,129",MB,DO,672,"3,991,516",,"897,117",,"183,468",,"488,958",,"3,666",,"5,564,725",,"1,858.00",,398,,77,,241,,2,,"2,576.00",,"$132,950,540 ",,"$30,718,281 ",,"$4,536,369 ",,"$19,208,172 ",,"$187,413,362 ",,$33.31 ,,$34.24 ,,$24.73 ,,$39.28 ,,$33.68 ,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,129",HR,DO,80,"266,146",,"354,173",,"481,846",,"192,955",,"43,844",,"1,338,964",,134.75,,121,,252,,90.25,,21,,619,,"$13,565,120 ",,"$7,955,509 ",,"$8,722,209 ",,"$4,614,164 ",,"$34,857,002 ",,$50.97 ,,$22.46 ,,$18.10 ,,$23.91 ,,$26.03 ,,No,,,,,
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,129",MG,DO,23,"63,337",,"154,381",,"114,712",,"60,244",,0,,"392,674",,27,,87,,50,,29,,0,,193,,"$2,456,078 ",,"$3,206,229 ",,"$2,579,409 ",,"$1,361,023 ",,"$9,602,739 ",,$38.78 ,,$20.77 ,,$22.49 ,,$22.59 ,,$24.45 ,,No,,,,,
