Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,HR,DO,954,5029474,,1707550,,1498202,,2386874,,1095204,,11717304,,2493,,1066,,698,,1064.5,,286,,5607.5,,208040942,,69190161,,56276024,,95687029,,429194156,,41.3644,,40.5201,,11.1892,,40.0888,,36.6291,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,3129,MB,DO,1290,6309265,,3152373,,1273849,,840194,,1191234,,12766915,,2980,,2020.5,,671.5,,405.5,,542,,6619.5,,174948334,,69389126,,29214856,,19906130,,293458446,,27.7288,,22.0117,,4.6305,,23.6923,,22.9859,,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,2719,MB,DO,1579,8167786,,1805415,,292836,,558800,,263252,,11088089,,4435,,957,,168,,330,,153,,6043,,256699188,,58968506,,13045567,,15931449,,344644710,,31.4282,,32.662,,1.5972,,28.5101,,31.0824,,No
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,2719,HR,DO,1140,3935601,,1136151,,1867967,,693482,,452499,,8085700,,2377,,662,,1088,,414,,264,,4805,,114067578,,36816931,,78986411,,19887737,,249758657,,28.9835,,32.405,,20.0697,,28.6781,,30.8889,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,MB,DO,767,3488324,,1049655,,428800,,321651,,0,,5288430,,1949,,551,,268,,171,,0,,2939,,145139864,,48325779,,17013043,,19819743,,230298429,,41.6073,,46.0397,,4.8771,,61.6188,,43.5476,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,HR,DO,336,1808763,,609600,,930188,,254070,,42310,,3644931,,883,,320,,556,,135,,21,,1915,,59247633,,29526726,,44477204,,14053268,,147304831,,32.7559,,48.4362,,24.5898,,55.3126,,40.4136,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,RB,DO,30,191550,,15530,,8190,,16095,,0,,231365,,115,,9,,5,,10,,0,,139,,7728415,,591078,,237516,,885235,,9442244,,40.3467,,38.0604,,1.24,,55.0006,,40.811,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,TB,DO,22,59575,,44988,,12341,,9415,,0,,126319,,27,,23,,7,,5,,0,,62,,2533030,,2007516,,459865,,395684,,5396095,,42.5183,,44.6234,,7.7191,,42.027,,42.718,,No
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2453,LR,DO,156,1174019,,339014,,140675,,141075,,9005,,1803788,,563,,169,,85,,75,,5,,897,,47440971,,15793523,,6011722,,7870004,,77116220,,40.409,,46.5866,,5.1206,,55.786,,42.7524,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,CR,DO,350,1906240,,767268,,654223,,263618,,480557,,4071906,,850,,376,,324,,146,,250,,1946,,67240474,,24691944,,23059210,,9842738,,124834366,,35.2739,,32.1816,,12.0967,,37.3371,,30.6575,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,TB,DO,30,153562,,18310,,29443,,21125,,13299,,235739,,77,,9,,15,,12,,7,,120,,4519547,,524076,,620641,,638938,,6303202,,29.4314,,28.6224,,4.0416,,30.2456,,26.7381,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,HR,DO,286,1431578,,572519,,615386,,197423,,298511,,3115417,,726,,281,,309,,109,,148,,1573,,46236413,,18116211,,19181992,,6091213,,89625829,,32.2975,,31.643,,13.3992,,30.8536,,28.7685,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,SR,DO,122,671106,,264713,,120461,,84649,,119922,,1260851,,341,,135,,62,,47,,60,,645,,18689987,,8459865,,2997274,,2598350,,32745476,,27.8495,,31.9586,,4.4662,,30.6956,,25.9709,,No
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2375,MB,DO,1187,6176815,,1483882,,1094250,,856245,,676468,,10287660,,3031,,806,,545,,468,,330,,5180,,174351603,,45062799,,33995316,,25299486,,278709204,,28.2268,,30.3682,,5.5037,,29.547,,27.0916,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,MB,DO,591,3504143,,1141660,,289562,,734587,,56286,,5726238,,1675.7,,548.6,,135.36,,388.56,,29.46,,2777.68,,74592483,,24422315,,4583631,,20693537,,124291966,,21.2869,,21.3919,,1.3081,,28.1703,,21.7057,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,LR,DO,54,457842,,209591,,235919,,101819,,12048,,1017219,,212,,99,,111,,54,,6,,482,,12836661,,5589143,,6266603,,5374862,,30067269,,28.0373,,26.6669,,13.6873,,52.7884,,29.5583,,No
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2121,CB,DO,246,459776,,149773,,37993,,96385,,7385,,751312,,219.86,,71.87,,17.76,,50.98,,3.87,,364.34,,10751363,,5924958,,1877371,,2931287,,21484979,,23.3839,,39.5596,,4.0832,,30.4123,,28.5966,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,DR,DO,8,7609,,7818,,0,,4578,,3097,,23102,,5,,4,,0,,3,,2,,14,,143630,,147574,,0,,131890,,423094,,18.8763,,18.8762,,0,,28.8095,,18.3142,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,MB,DO,604,3071876,,591798,,119990,,869165,,82617,,4735446,,1434,,271,,55,,580,,55,,2395,,86471325,,14037214,,3495193,,29035795,,133039527,,28.1494,,23.7196,,1.1378,,33.4065,,28.0944,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,HR,DO,54,309707,,187255,,175243,,145543,,12293,,830041,,141,,86,,80,,97,,8,,412,,8800394,,4293305,,6053997,,2823500,,21971196,,28.4152,,22.9276,,19.5475,,19.3998,,26.47,,No
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663,1680,LR,DO,38,229306,,34930,,163799,,131519,,13783,,573337,,102,,16,,77,,80,,9,,284,,6081833,,711253,,5559678,,2052048,,14404812,,26.5228,,20.3622,,24.2457,,15.6027,,25.1245,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,DR,DO,8,24097,,2811,,382,,970,,0,,28260,,13.3,,1.1,,0.2,,0.6,,0,,15.2,,442967,,81758,,6123,,18893,,549741,,18.3827,,29.085,,0.2541,,19.4773,,19.453,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,VP,DO,608,0,,0,,0,,46705,,0,,46705,,0,,0,,0,,26.5,,0,,26.5,,0,,0,,0,,1531457,,1531457,,,,,,,,32.79,,32.79,,No
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1582,MB,DO,552,2027802,,516007,,49512,,274049,,8732,,2876102,,1135.7,,282.1,,28.5,,156.3,,4.2,,1606.8,,58390652,,14742664,,1306470,,8702309,,83142095,,28.795,,28.5707,,0.6443,,31.7546,,28.9079,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,CB,DO,6,20850,,4738,,332,,3636,,0,,29556,,10.02,,2.71,,0.24,,1.27,,0,,14.24,,466946,,127314,,11016,,143441,,748717,,22.3955,,26.8708,,0.5283,,39.4502,,25.3321,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,1501,MB,DO,257,1385751,,309651,,19285,,210457,,0,,1925144,,667.12,,162.55,,9.84,,108.11,,0,,947.62,,36291880,,9481192,,640529,,8266929,,54680530,,26.1893,,30.619,,0.4622,,39.2808,,28.4033,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,MB,DO,488,2716133,,760085,,333559,,621573,,29376,,4460726,,1379,,353,,157,,310,,15.3,,2214.3,,59983367,,18645264,,8257778,,22709732,,109596141,,22.0841,,24.5305,,3.0403,,36.5359,,24.5691,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,1480,LR,DO,159,709115,,316042,,249733,,233978,,75813,,1584681,,288,,145,,103,,130,,45,,711,,14673374,,7450047,,7188156,,10132229,,39443806,,20.6925,,23.573,,10.1368,,43.3042,,24.8907,,No
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379,1221,HR,DO,84,268808,,365295,,406071,,171971,,42301,,1254446,,134.11,,188.23,,234.76,,91.78,,17.61,,666.49,,14480163,,8235348,,9029017,,4776470,,36520998,,53.8681,,22.5444,,33.5891,,27.7749,,29.1132,,No
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379,1221,MB,DO,709,3781172,,937289,,166218,,431981,,1410,,5318070,,2135.73,,461.82,,80.28,,183.74,,0.65,,2862.22,,133952056,,35241035,,5204274,,22036255,,196433620,,35.4261,,37.5989,,1.3764,,51.0121,,36.937,,No
Miami-Dade Transit,Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379,1221,MG,DO,21,49557,,166005,,113311,,50854,,6782,,386509,,31.13,,78.38,,61.09,,25.32,,4.52,,200.44,,2573913,,3360054,,2703161,,1426321,,10063449,,51.9384,,20.2407,,54.5465,,28.0474,,26.0368,,No
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,1178,CR,DO,1167,3703771,,2794519,,3484526,,954454,,936834,,11874104,,1704,,1706,,2085,,506,,460,,6461,,171241821,,108414988,,146376544,,43048807,,469082160,,46.2345,,38.7956,,39.5209,,45.1031,,39.5046,,No
MTA Bus Company,New York,NY,2188,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,1098,MB,DO,1098,5458941,,2073272,,237542,,275355,,2964,,8048074,,2662,,964,,110,,184,,2,,3922,,187914799,,72167381,,8215825,,13911685,,282209690,,34.4233,,34.8084,,1.505,,50.5227,,35.0655,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,LR,DO,91,367328,,260012,,125451,,196743,,5680,,955214,,187,,129,,57.8,,123.5,,3.5,,500.8,,10502623,,7992474,,4178505,,7166592,,29840194,,28.5919,,30.7389,,11.3754,,36.4262,,31.2393,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,DR,DO,65,134620,,11396,,19209,,63717,,1440,,230382,,73.9,,5.8,,9.5,,38.8,,0.8,,128.8,,3659884,,267063,,583492,,2195765,,6706204,,27.1868,,23.4348,,4.3344,,34.4612,,29.1091,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,CR,DO,45,154118,,45972,,99682,,172071,,4512,,476355,,84,,25,,47.9,,134.2,,2.7,,293.8,,4049560,,1050070,,2436382,,3495340,,11031352,,26.2757,,22.8415,,15.8085,,20.3134,,23.1578,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,CB,DO,43,85937,,26088,,5741,,32138,,857,,150761,,51.1,,14.4,,2.7,,21,,0.6,,89.8,,1927915,,528838,,100301,,1229817,,3786871,,22.4341,,20.2713,,1.1671,,38.2668,,25.1184,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,VP,DO,405,0,,0,,1213,,18703,,193,,20109,,0,,0,,0.6,,12.9,,0.4,,13.9,,0,,0,,30210,,649911,,680121,,,,,,,,34.749,,33.8217,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1086,MB,DO,388,1472540,,416669,,91713,,529940,,13689,,2524551,,854,,230.7,,42.6,,343.7,,8.6,,1479.6,,32602696,,8402496,,2667413,,20492377,,64164982,,22.1404,,20.1659,,1.8114,,38.6692,,25.4164,,No
Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,Chicago,IL,5118,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,1064,CR,DO,1064,3399753,,2296035,,1794208,,812838,,940471,,9243305,,1669,,1295,,908,,442,,483,,4797,,125716246,,75736334,,59149085,,30866680,,291468345,,36.9781,,32.9857,,17.3981,,37.974,,31.5329,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,1061,MB,DO,537,3287847,,783402,,142467,,505900,,64618,,4784234,,1743,,375,,91,,319,,35,,2563,,82820352,,25586879,,3932593,,20670729,,133010553,,25.1898,,32.6612,,1.1961,,40.8593,,27.8018,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,1061,SR,DO,2,22443,,5217,,6469,,3099,,0,,37228,,32,,4,,5,,2,,0,,43,,797635,,134812,,179988,,155925,,1268360,,35.5405,,25.8409,,8.0198,,50.3146,,34.0701,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,1061,LR,DO,106,1142030,,371254,,589351,,302174,,27980,,2432789,,681,,203,,310,,179,,16,,1389,,38618325,,14385343,,18687644,,13932795,,85624107,,33.8155,,38.748,,16.3635,,46.1085,,35.1959,,No
MTA Long Island Rail Road,Jamaica,NY,2100,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,1036,CR,DO,1036,4048588,,4335883,,2924418,,877744,,2606010,,14792643,,2233,,2031,,1475,,467,,1125,,7331,,195014334,,188302727,,135137305,,38947644,,557402010,,48.1685,,43.4289,,33.3789,,44.3724,,37.681,,No
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,988,MB,DO,477,2882473,,689821,,41564,,210465,,0,,3824323,,1477,,340,,24,,125,,0,,1966,,95237117,,29153779,,1885098,,7152718,,133428712,,33.0401,,42.2628,,0.654,,33.9853,,34.8895,,No
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,988,CC,DO,27,509176,,133526,,139084,,91958,,0,,873744,,235,,61,,64,,55,,0,,415,,18468902,,5681177,,5397085,,4103150,,33650314,,36.2721,,42.5473,,10.5996,,44.6198,,38.5128,,No
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,988,SR,DO,24,117370,,89985,,45366,,17733,,0,,270454,,54,,50,,23,,11,,0,,138,,4282581,,2694976,,2238220,,599279,,9815056,,36.4879,,29.9492,,19.0698,,33.7946,,36.291,,No
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,988,TB,DO,197,1490890,,294852,,156755,,89711,,0,,2032208,,760,,146,,77,,54,,0,,1037,,48651073,,13386612,,8257044,,4038193,,74332922,,32.6322,,45.4011,,5.5383,,45.0134,,36.5774,,No
San Francisco Municipal Railway,San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,988,LR,DO,131,1020505,,578493,,328576,,153611,,0,,2081185,,483,,286,,182,,92,,0,,1043,,38587298,,28482490,,16150965,,7995134,,91215887,,37.812,,49.2357,,15.8264,,52.0479,,43.8288,,No
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,964,MB,DO,550,2667591,,495195,,60468,,366034,,33418,,3622706,,1463.9,,274,,35,,207.1,,18.6,,1998.6,,76231391,,15067124,,2335717,,13597575,,107231807,,28.5769,,30.4266,,0.8756,,37.1484,,29.5999,,No
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,964,LR,DO,116,567185,,466350,,295667,,171439,,71122,,1571763,,294.7,,232,,166.9,,102.2,,39.6,,835.4,,19219289,,14417086,,10176700,,6674823,,50487898,,33.8854,,30.9147,,17.9425,,38.9341,,32.1218,,No
Port Authority of Allegheny County,Pittsburgh,PA,3022,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,939,MB,DO,614,2663312,,992204,,227275,,445588,,43014,,4371393,,1299.4,,464.5,,106.4,,206.3,,22.5,,2099.1,,72373116,,30033772,,6925254,,15794282,,125126424,,27.1741,,30.2698,,2.6002,,35.4459,,28.6239,,No
Port Authority of Allegheny County,Pittsburgh,PA,3022,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,939,LR,DO,57,289694,,248551,,303021,,36937,,6723,,884926,,141.3,,116.4,,141.9,,16.9,,3.5,,420,,8524007,,7690136,,9411567,,1415043,,27040753,,29.4242,,30.9399,,32.488,,38.3096,,30.5571,,No
Port Authority of Allegheny County,Pittsburgh,PA,3022,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,939,IP,DO,2,7932,,19,,7915,,322,,0,,16188,,3.9,,0.1,,3.7,,0.2,,0,,7.9,,209577,,558,,237451,,10421,,458007,,26.4217,,29.3684,,29.9358,,32.3634,,28.293,,No
Metro Transit ,Minneapolis,MN,5027,50027,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2650890,850,LR,DO,76,404829,,189878,,164200,,631491,,146858,,1537256,,206,,97,,86,,332,,76,,797,,10780029,,5923635,,5372517,,16437732,,38513913,,26.6286,,31.1971,,13.2711,,26.03,,25.0537,,No
