State,Agency,AgencyNTDID,AgencyID,OrgType,ReporterType,UZA Size,WholeAgencyVOMsSize,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount
AL,"City of Huntsville, Alabama - Public Transportation Division",40071,4071,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,19,"12,127",565,,135,"12,827",,"12,827",10.3,1.2,,0.1,11.6,,11.6
AL,"City of Huntsville, Alabama - Public Transportation Division",40071,4071,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Full Time,13,"35,725","3,293",601,"2,010","41,629",,"41,629",20.0,2.0,0.1,1.3,23.4,,23.4
AL,"City of Huntsville, Alabama - Public Transportation Division",40071,4071,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Part Time,13,"13,561","1,821",,135,"15,517",,"15,517",12.0,1.5,,0.1,13.6,,13.6
AL,"City of Huntsville, Alabama - Public Transportation Division",40071,4071,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,32,"92,461","9,504",638,"4,719","107,322",,"107,322",59.5,6.9,0.2,3.2,69.8,,69.8
AL,City of Montgomery-Montgomery Area Transit System(MATS),40044,4044,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,8,"24,117","5,333",474,"3,850","33,774",,"33,774",15.0,2.8,0.3,2.0,20.0,,20.0
AL,City of Montgomery-Montgomery Area Transit System(MATS),40044,4044,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,8,"3,586",836,,,"4,422",,"4,422",3.0,2.8,,,5.8,,5.8
AL,City of Montgomery-Montgomery Area Transit System(MATS),40044,4044,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Full Time,21,"102,186","16,000","3,330","11,549","133,065",,"133,065",58.0,9.0,1.8,6.0,74.8,,74.8
AL,City of Montgomery-Montgomery Area Transit System(MATS),40044,4044,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Part Time,21,"10,758","2,507",,"3,333","16,598",,"16,598",9.0,2.3,,3.0,14.3,,14.3
AL,City of Montgomery-Montgomery Area Transit System(MATS),40044,4044,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,29,"140,647","24,676","3,804","18,732","187,859",,"187,859",85.0,16.8,2.0,11.0,114.8,,114.8
AL,Northwest Alabama Council of Local Governments(NACOLG),40068,4068,MPO,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,42,"5,096",,,"3,431","8,527",,"8,527",3.0,,,2.0,5.0,,5.0
AL,Northwest Alabama Council of Local Governments(NACOLG),40068,4068,MPO,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,42,"29,166",,,"1,194","30,360",,"30,360",44.0,,,3.0,47.0,,47.0
AL,Northwest Alabama Council of Local Governments(NACOLG),40068,4068,MPO,Full Reporter: Operating,"Under 200,000",25-49,Total,,42,"34,262",,,"4,625","38,887",,"38,887",47.0,,,5.0,52.0,,52.0
AL,The Wave Transit System(WTS),40043,4043,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,25,"52,151","11,034",921,"14,824","78,930",,"78,930",28.0,5.0,0.5,8.0,41.5,,41.5
AL,The Wave Transit System(WTS),40043,4043,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,25,"4,956",,,,"4,956",,"4,956",4.0,,,,4.0,,4.0
AL,The Wave Transit System(WTS),40043,4043,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Full Time,23,"126,838","30,968",921,"15,184","173,911",,"173,911",57.0,14.0,0.5,8.0,79.5,,79.5
AL,The Wave Transit System(WTS),40043,4043,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Part Time,23,"3,750","5,488",,,"9,238",,"9,238",3.0,4.0,,,7.0,,7.0
AL,The Wave Transit System(WTS),40043,4043,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,48,"187,695","47,490","1,842","30,008","267,035",,"267,035",92.0,23.0,1.0,16.0,132.0,,132.0
AL,Wiregrass Transit Authority(WTA),40103,4103,MPO,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,13,"33,915",,,"1,675","35,590",,"35,590",21.0,,,9.0,30.0,,30.0
AL,Wiregrass Transit Authority(WTA),40103,4103,MPO,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,13,"7,784",,837,233,"8,854",,"8,854",9.0,,1.0,1.0,11.0,,11.0
AL,Wiregrass Transit Authority(WTA),40103,4103,MPO,Full Reporter: Operating,"Under 200,000",25-49,Total,,13,"41,699",,837,"1,908","44,444",,"44,444",30.0,,1.0,10.0,41.0,,41.0
AR,Central Arkansas Transit Authority(CATA),60033,6033,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,20,"45,491","1,887",,"5,281","52,659",,"52,659",24.0,1.0,,3.0,28.0,,28.0
AR,Central Arkansas Transit Authority(CATA),60033,6033,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,49,"220,519","54,209",,"25,669","300,397","1,832","302,229",108.6,27.4,,15.0,151.0,1.0,152.0
AR,Central Arkansas Transit Authority(CATA),60033,6033,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,SR,Full Time,3,"17,593","4,333",,968,"22,894",,"22,894",8.7,2.6,,0.7,12.0,,12.0
AR,Central Arkansas Transit Authority(CATA),60033,6033,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,SR,Part Time,3,"1,306",,,,"1,306",,"1,306",1.0,,,,1.0,,1.0
AR,Central Arkansas Transit Authority(CATA),60033,6033,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,72,"284,909","60,429",,"31,918","377,256","1,832","379,088",142.3,31.0,,18.7,192.0,1.0,193.0
AR,Ozark Regional Transit(ORT),60072,6072,Authority,Full Reporter: Operating,"200,000 - 1 million",10-24,DR,Full Time,10,"24,102","1,960",,"3,920","29,982",,"29,982",13.0,1.0,,2.0,16.0,,16.0
AR,Ozark Regional Transit(ORT),60072,6072,Authority,Full Reporter: Operating,"200,000 - 1 million",10-24,DR,Part Time,10,"1,410",415,"1,819",697,"4,341",,"4,341",2.0,1.0,1.0,1.0,5.0,,5.0
AR,Ozark Regional Transit(ORT),60072,6072,Authority,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Full Time,14,"61,399","5,706","1,960","9,800","78,865",,"78,865",29.0,3.0,1.0,5.0,38.0,,38.0
AR,Ozark Regional Transit(ORT),60072,6072,Authority,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Part Time,14,"1,838",,"1,638",476,"3,952",,"3,952",5.0,,2.0,1.0,8.0,,8.0
AR,Ozark Regional Transit(ORT),60072,6072,Authority,Full Reporter: Operating,"200,000 - 1 million",10-24,Total,,24,"88,749","8,081","5,417","14,893","117,140",,"117,140",49.0,5.0,4.0,9.0,67.0,,67.0
AZ,City of Glendale Transit,90034,9034,City,Full Reporter: Operating,Over 1 million,10-24,DR,Full Time,14,"40,197","2,064",94,"9,888","52,243",,"52,243",21.8,1.0,0.1,5.1,27.9,,27.9
AZ,City of Glendale Transit,90034,9034,City,Full Reporter: Operating,Over 1 million,10-24,DR,Part Time,14,"20,204",,,,"20,204",,"20,204",13.7,,,,13.7,,13.7
AZ,City of Glendale Transit,90034,9034,City,Full Reporter: Operating,Over 1 million,10-24,MB,Full Time,3,"2,189",860,30,"1,815","4,894",,"4,894",1.3,0.4,0.0,0.9,2.6,,2.6
AZ,City of Glendale Transit,90034,9034,City,Full Reporter: Operating,Over 1 million,10-24,MB,Part Time,3,"8,339",,,,"8,339",,"8,339",5.3,,,,5.3,,5.3
AZ,City of Glendale Transit,90034,9034,City,Full Reporter: Operating,Over 1 million,10-24,Total,,17,"70,929","2,924",124,"11,703","85,680",,"85,680",42.0,1.4,0.1,6.0,49.5,,49.5
AZ,City of Tucson(COT),90033,9033,City,Full Reporter: Operating,"200,000 - 1 million",250-499,DR,Full Time,116,"344,770",,"3,946","10,809","359,525",,"359,525",187.0,,2.0,7.0,196.0,,196.0
AZ,City of Tucson(COT),90033,9033,City,Full Reporter: Operating,"200,000 - 1 million",250-499,DR,Part Time,116,"84,845",,,,"84,845",,"84,845",50.0,,,,50.0,,50.0
AZ,City of Tucson(COT),90033,9033,City,Full Reporter: Operating,"200,000 - 1 million",250-499,MB,Full Time,211,"881,657","206,705","22,431","98,960","1,209,753",,"1,209,753",459.0,113.0,11.0,49.0,632.0,,632.0
AZ,City of Tucson(COT),90033,9033,City,Full Reporter: Operating,"200,000 - 1 million",250-499,MB,Part Time,211,"3,462",,,,"3,462",,"3,462",2.0,,,,2.0,,2.0
AZ,City of Tucson(COT),90033,9033,City,Full Reporter: Operating,"200,000 - 1 million",250-499,Total,,327,"1,314,734","206,705","26,377","109,769","1,657,585",,"1,657,585",698.0,113.0,13.0,56.0,880.0,,880.0
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),90219,9219,Authority,Full Reporter: Operating,"Under 200,000",10-24,DR,Full Time,6,"14,428","1,439",786,"4,569","21,222",,"21,222",9.0,1.0,0.4,2.5,12.9,,12.9
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),90219,9219,Authority,Full Reporter: Operating,"Under 200,000",10-24,DR,Part Time,6,857,,,72,929,,929,4.0,14.0,,0.7,18.7,,18.7
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),90219,9219,Authority,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,15,"85,146","8,841","4,828","28,069","126,884",560,"127,444",36.0,6.0,2.6,15.5,60.1,1.0,61.1
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),90219,9219,Authority,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,15,"21,993",87,,443,"22,523",,"22,523",20.0,0.9,,4.3,25.2,,25.2
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),90219,9219,Authority,Full Reporter: Operating,"Under 200,000",10-24,Total,,21,"122,424","10,367","5,614","33,153","171,558",560,"172,118",69.0,21.9,3.0,23.0,116.9,1.0,117.9
AZ,Peoria Transit,90140,9140,City,Full Reporter: Operating,Over 1 million,under 10,DR,Full Time,5,"8,926",720,540,"1,584","11,770",,"11,770",5.0,0.4,0.3,1.0,6.7,,6.7
AZ,Peoria Transit,90140,9140,City,Full Reporter: Operating,Over 1 million,under 10,DR,Part Time,5,"2,567",,,,"2,567",,"2,567",2.0,,,,2.0,,2.0
AZ,Peoria Transit,90140,9140,City,Full Reporter: Operating,Over 1 million,under 10,Total,,5,"11,493",720,540,"1,584","14,337",,"14,337",7.0,0.4,0.3,1.0,8.7,,8.7
AZ,"vRide, Inc. - Tucson",90228,9228,Contractor,Full Reporter: Operating,"200,000 - 1 million",25-49,VP,Full Time,32,,,,"1,936","1,936",,"1,936",,,,2.0,2.0,,2.0
AZ,"vRide, Inc. - Tucson",90228,9228,Contractor,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,32,,,,"1,936","1,936",,"1,936",,,,2.0,2.0,,2.0
AZ,"vRide, Inc. - Valley Metro",90169,9169,Contractor,Full Reporter: Operating,Over 1 million,250-499,VP,Full Time,400,,,,"7,340","7,340",,"7,340",,,,4.0,4.0,,4.0
AZ,"vRide, Inc. - Valley Metro",90169,9169,Contractor,Full Reporter: Operating,Over 1 million,250-499,Total,,400,,,,"7,340","7,340",,"7,340",,,,4.0,4.0,,4.0
CA,Alameda-Contra Costa Transit District(AC Transit),90014,9014,Authority,Full Reporter: Operating/Building,Over 1 million,500-999,CB,Full Time,108,"149,968","42,957","5,300","28,113","226,338",,"226,338",105.0,28.0,3.0,18.0,154.0,,154.0
CA,Alameda-Contra Costa Transit District(AC Transit),90014,9014,Authority,Full Reporter: Operating/Building,Over 1 million,500-999,MB,Full Time,350,"1,797,676","514,922","63,526","336,985","2,713,109",,"2,713,109","1,261.0",340.0,36.0,222.0,"1,859.0",,"1,859.0"
CA,Alameda-Contra Costa Transit District(AC Transit),90014,9014,Authority,Full Reporter: Operating/Building,Over 1 million,500-999,MB,Part Time,350,"7,596",,,,"7,596",,"7,596",8.0,,,,8.0,,8.0
CA,Alameda-Contra Costa Transit District(AC Transit),90014,9014,Authority,Full Reporter: Operating/Building,Over 1 million,500-999,Total,,458,"1,955,240","557,879","68,826","365,098","2,947,043",,"2,947,043","1,374.0",368.0,39.0,240.0,"2,021.0",,"2,021.0"
CA,California Vanpool Authority(CalVans),90230,9230,City,Full Reporter: Operating,"Under 200,000",500-999,VP,Full Time,514,"7,155","10,212",,"38,181","55,548",,"55,548",4.0,5.0,,20.0,29.0,,29.0
CA,California Vanpool Authority(CalVans),90230,9230,City,Full Reporter: Operating,"Under 200,000",500-999,VP,Part Time,514,"1,207","1,062",,"4,908","7,177",,"7,177",1.0,1.0,,5.0,7.0,,7.0
CA,California Vanpool Authority(CalVans),90230,9230,City,Full Reporter: Operating,"Under 200,000",500-999,Total,,514,"8,362","11,274",,"43,089","62,725",,"62,725",5.0,6.0,,25.0,36.0,,36.0
CA,Central Contra Costa Transit Authority(County Connection),90078,9078,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Full Time,89,"318,009","45,389","10,046","58,479","431,923",,"431,923",168.0,26.0,6.0,32.0,232.0,,232.0
CA,Central Contra Costa Transit Authority(County Connection),90078,9078,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Part Time,89,"9,000",,,"4,200","13,200",,"13,200",6.0,,,3.0,9.0,,9.0
CA,Central Contra Costa Transit Authority(County Connection),90078,9078,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,Total,,89,"327,009","45,389","10,046","62,679","445,123",,"445,123",174.0,26.0,6.0,35.0,241.0,,241.0
CA,City of Commerce Municipal Buslines(CBL),90043,9043,City,Full Reporter: Operating,Over 1 million,10-24,DR,Full Time,4,"6,680",561,"1,102",239,"8,582",,"8,582",3.3,0.4,0.6,0.5,4.8,,4.8
CA,City of Commerce Municipal Buslines(CBL),90043,9043,City,Full Reporter: Operating,Over 1 million,10-24,DR,Part Time,4,"2,565","1,044",493,216,"4,318",,"4,318",1.7,0.7,3.0,0.6,6.0,,6.0
CA,City of Commerce Municipal Buslines(CBL),90043,9043,City,Full Reporter: Operating,Over 1 million,10-24,MB,Full Time,8,"24,958","1,647","4,008","2,080","32,693",,"32,693",12.2,0.7,1.9,1.8,16.6,,16.6
CA,City of Commerce Municipal Buslines(CBL),90043,9043,City,Full Reporter: Operating,Over 1 million,10-24,MB,Part Time,8,"16,005","3,681",,,"19,686",,"19,686",17.2,4.8,,,22.0,,22.0
CA,City of Commerce Municipal Buslines(CBL),90043,9043,City,Full Reporter: Operating,Over 1 million,10-24,Total,,12,"50,208","6,933","5,603","2,535","65,279",,"65,279",34.4,6.6,5.5,2.9,49.4,,49.4
CA,City of Gardena Transportation Department(GMBL),90042,9042,City,Full Reporter: Operating,Over 1 million,25-49,DR,Full Time,6,"2,302","1,280",249,"3,024","6,855",,"6,855",1.2,0.6,0.1,1.9,3.8,,3.8
CA,City of Gardena Transportation Department(GMBL),90042,9042,City,Full Reporter: Operating,Over 1 million,25-49,DR,Part Time,6,"11,489",115,,,"11,604",,"11,604",6.0,0.1,,,6.1,,6.1
CA,City of Gardena Transportation Department(GMBL),90042,9042,City,Full Reporter: Operating,Over 1 million,25-49,MB,Full Time,43,"106,680","32,477","3,561","15,482","158,200",,"158,200",61.3,18.9,2.0,9.1,91.3,,91.3
CA,City of Gardena Transportation Department(GMBL),90042,9042,City,Full Reporter: Operating,Over 1 million,25-49,MB,Part Time,43,"68,074","1,037",,"2,035","71,146",,"71,146",42.0,1.0,,2.8,45.8,,45.8
CA,City of Gardena Transportation Department(GMBL),90042,9042,City,Full Reporter: Operating,Over 1 million,25-49,Total,,49,"188,545","34,909","3,810","20,541","247,805",,"247,805",110.5,20.6,2.1,13.8,147.0,,147.0
CA,City of Riverside Special Transportation(City of Riverside),90086,9086,City,Full Reporter: Operating,Over 1 million,25-49,DR,Full Time,25,"32,383",,,"6,831","39,214",,"39,214",15.0,,,4.0,19.0,,19.0
CA,City of Riverside Special Transportation(City of Riverside),90086,9086,City,Full Reporter: Operating,Over 1 million,25-49,DR,Part Time,25,"35,400",,,,"35,400",,"35,400",18.0,,,,18.0,,18.0
CA,City of Riverside Special Transportation(City of Riverside),90086,9086,City,Full Reporter: Operating,Over 1 million,25-49,Total,,25,"67,783",,,"6,831","74,614",,"74,614",33.0,,,4.0,37.0,,37.0
CA,City of Santa Rosa(Santa Rosa CityBus),90017,9017,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Full Time,22,"128,699","6,240","2,080","17,332","154,351",,"154,351",54.0,3.0,1.0,10.0,68.0,,68.0
CA,City of Santa Rosa(Santa Rosa CityBus),90017,9017,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Part Time,22,"21,852",,,,"21,852",,"21,852",11.9,,,,11.9,,11.9
CA,City of Santa Rosa(Santa Rosa CityBus),90017,9017,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,22,"150,551","6,240","2,080","17,332","176,203",,"176,203",65.9,3.0,1.0,10.0,79.9,,79.9
CA,Culver City Municipal Bus Lines(Culver CityBus),90039,9039,City,Full Reporter: Operating,Over 1 million,25-49,DR,Full Time,2,"3,206",141,8,,"3,355",,"3,355",,,,,,,
CA,Culver City Municipal Bus Lines(Culver CityBus),90039,9039,City,Full Reporter: Operating,Over 1 million,25-49,DR,Part Time,2,2,,,,2,,2,,1.0,,1.0,2.0,,2.0
CA,Culver City Municipal Bus Lines(Culver CityBus),90039,9039,City,Full Reporter: Operating,Over 1 million,25-49,MB,Full Time,43,"171,833","26,077","2,897","29,368","230,175",,"230,175",84.0,15.0,1.0,14.0,114.0,,114.0
CA,Culver City Municipal Bus Lines(Culver CityBus),90039,9039,City,Full Reporter: Operating,Over 1 million,25-49,MB,Part Time,43,"42,443",,,,"42,443",,"42,443",27.0,,,,27.0,,27.0
CA,Culver City Municipal Bus Lines(Culver CityBus),90039,9039,City,Full Reporter: Operating,Over 1 million,25-49,Total,,45,"217,484","26,218","2,905","29,368","275,975",0,"275,975",111.0,16.0,1.0,15.0,143.0,0.0,143.0
CA,Fresno Area Express(FAX),90027,9027,City,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Full Time,80,"443,613","93,645","13,657","44,624","595,539",,"595,539",240.0,53.0,6.0,24.0,323.0,,323.0
CA,Fresno Area Express(FAX),90027,9027,City,Full Reporter: Operating,"200,000 - 1 million",100-249,Total,,80,"443,613","93,645","13,657","44,624","595,539",,"595,539",240.0,53.0,6.0,24.0,323.0,,323.0
CA,Gold Coast Transit(GCT),90035,9035,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,45,"218,019","41,400","2,914","31,701","294,034",808,"294,842",118.0,22.0,2.0,19.0,161.0,,161.0
CA,Gold Coast Transit(GCT),90035,9035,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,45,"41,784",,,,"41,784",,"41,784",23.0,,,,23.0,,23.0
CA,Gold Coast Transit(GCT),90035,9035,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,45,"259,803","41,400","2,914","31,701","335,818",808,"336,626",141.0,22.0,2.0,19.0,184.0,,184.0
CA,Golden Empire Transit District(GET),90004,9004,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,16,"15,230","2,188",,"3,704","21,122",,"21,122",9.0,1.0,,2.0,12.0,,12.0
CA,Golden Empire Transit District(GET),90004,9004,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,16,"41,627",,,,"41,627",,"41,627",17.0,,,,17.0,,17.0
CA,Golden Empire Transit District(GET),90004,9004,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,65,"161,355","98,856","12,061","46,648","318,920",,"318,920",83.8,48.0,6.0,25.0,162.8,,162.8
CA,Golden Empire Transit District(GET),90004,9004,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,65,"259,841",,,"11,696","271,537",,"271,537",136.0,,,8.0,144.0,,144.0
CA,Golden Empire Transit District(GET),90004,9004,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,81,"478,053","101,044","12,061","62,048","653,206",,"653,206",245.8,49.0,6.0,35.0,335.8,,335.8
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",90016,9016,Authority,Full Reporter: Operating,Over 1 million,100-249,FB,Full Time,6,"99,606","24,929","1,426","63,357","189,318","2,938","192,256",57.0,13.0,1.0,31.0,102.0,2.0,104.0
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",90016,9016,Authority,Full Reporter: Operating,Over 1 million,100-249,FB,Part Time,6,"43,666",,,,"43,666",,"43,666",56.0,,,,56.0,,56.0
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",90016,9016,Authority,Full Reporter: Operating,Over 1 million,100-249,MB,Full Time,159,"732,365","119,164","7,099","119,347","977,975","1,250","979,225",275.0,64.0,5.0,64.0,408.0,,408.0
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",90016,9016,Authority,Full Reporter: Operating,Over 1 million,100-249,MB,Part Time,159,"8,291",,,,"8,291",,"8,291",11.0,,,,11.0,,11.0
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",90016,9016,Authority,Full Reporter: Operating,Over 1 million,100-249,Total,,165,"883,928","144,093","8,525","182,704","1,219,250","4,188","1,223,438",399.0,77.0,6.0,95.0,577.0,2.0,579.0
CA,Laguna Beach Municipal Transit(CLB),90119,9119,City,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Full Time,22,"5,846","7,775",,"2,137","15,758",,"15,758",3.0,5.0,,1.0,9.0,,9.0
CA,Laguna Beach Municipal Transit(CLB),90119,9119,City,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Part Time,22,"32,984","2,802",,"3,217","39,003",,"39,003",87.0,6.0,,16.0,109.0,,109.0
CA,Laguna Beach Municipal Transit(CLB),90119,9119,City,Full Reporter: Operating,"200,000 - 1 million",10-24,Total,,22,"38,830","10,577",,"5,354","54,761",,"54,761",90.0,11.0,,17.0,118.0,,118.0
CA,Long Beach Transit(LBT),90023,9023,Semi-Public Corp,Full Reporter: Operating,Over 1 million,100-249,MB,Full Time,185,"932,742","222,769","54,733","134,783","1,345,027",,"1,345,027",519.0,112.0,29.0,69.0,729.0,,729.0
CA,Long Beach Transit(LBT),90023,9023,Semi-Public Corp,Full Reporter: Operating,Over 1 million,100-249,MB,Part Time,185,"10,297",,,"3,616","13,913",,"13,913",7.0,,,3.0,10.0,,10.0
CA,Long Beach Transit(LBT),90023,9023,Semi-Public Corp,Full Reporter: Operating,Over 1 million,100-249,Total,,185,"943,039","222,769","54,733","138,399","1,358,940",,"1,358,940",526.0,112.0,29.0,72.0,739.0,,739.0
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",HR,Full Time,70,"445,201","361,734","337,806","76,597","1,221,338",,"1,221,338",210.0,185.0,178.0,41.0,614.0,,614.0
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",LR,Full Time,144,"1,114,673","538,083","475,228","189,444","2,317,428",,"2,317,428",539.0,273.0,250.0,103.0,"1,165.0",,"1,165.0"
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",LR,Part Time,144,"4,787",,,,"4,787",,"4,787",4.0,,,,4.0,,4.0
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Full Time,1751,"7,571,014","2,964,168","551,454","449,134","11,535,770",,"11,535,770","2,720.0","1,473.0",287.0,225.0,"4,705.0",,"4,705.0"
