agency,persons,Type,,
Metropolitan Transit Authority,1,,,
"Metropolitan Transit Authority of Harris County, Texas",1,,,
Milwaukee County Transit System,1,,,
Montachusett Regional Transit Authority,1,,,
Mountain Metropolitan Transit,1,,,
New York City Department of Transportation,2,,,
Niagara Frontier Transportation Authority,2,,,
North County Transit District,3,,,
Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,2,,,
Northern Arizona Intergovernmental Public Transportation Authority,2,,,
Northern Indiana Commuter Transportation District,2,,,
Norwalk Transit District,1,,,
Orange County Transportation Authority,2,,,
Pee Dee Regional Transportation Authority,2,,,
Piedmont Authority for Regional Transportation,2,,,
Pierce County Transportation Benefit Area Authority,2,,,
Pinellas Suncoast Transit Authority,1,,,
Pioneer Valley Transit Authority,1,,,
Port Authority Trans-Hudson Corporation,1,,,
Port Authority of Allegheny County,3,,,
Potomac and Rappahannock Transportation Commission,2,,,
Prince George's County Transit,2,,,
Red Rose Transit Authority,2,,,
"Regional Transit Service, Inc. and Lift Line, Inc.",2,,,
Regional Transportation Commission of Southern Nevada,1,,,
Regional Transportation Commission of Washoe County,3,,,
Rhode Island Public Transit Authority,1,,,
Ride-On Montgomery County Transit,3,,,
Rio Metro Regional Transit District,1,,,
Riverside Transit Agency,2,,,
Rock Island County Metropolitan Mass Transit District,1,,,
Rockford Mass Transit District,1,,,
Sacramento Regional Transit District,1,,,
Salem Area Mass Transit District,1,,,
San Diego Metropolitan Transit System,4,,,
San Francisco Bay Area Rapid Transit District,3,,,
San Francisco Municipal Railway,1,,,
San Joaquin Regional Transit District,2,,,
San Luis Obispo Regional Transit Authority,1,,,
Santa Clara Valley Transportation Authority,2,,,
Santa Clarita Transit,1,,,
Santa Maria Area Transit,2,,,
Santa Monica's Big Blue Bus,1,,,
Santee Wateree Regional Transportation Authority,1,,,
Sarasota County Area Transit,3,,,
Shreveport Area Transit System,1,,,
South Bend Public Transportation Corporation,1,,,
Southeast Area Transit,1,,,
Southeastern Pennsylvania Transportation Authority,1,,,
Southern California Regional Rail Authority dba: Metrolink,1,,,
Space Coast Area Transit,1,,,
Springfield Mass Transit District,1,,,
StarTran,3,,,
Stark Area Regional Transit Authority,1,,,
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",1,,,
Suburban Mobility Authority for Regional Transportation,3,,,
SunLine Transit Agency,3,,,
The Eastern Contra Costa Transit Authority,1,,,
The Greater Cleveland Regional Transit Authority,2,,,
The Wave Transit System,1,,,
Toledo Area Regional Transit Authority,2,,,
Topeka Metropolitan Transit Authority,3,,,
Transfort,3,,,
Transit Authority of Northern Kentucky,2,,,
Transit Authority of Omaha,2,,,
Transit Authority of River City,1,,,
Transit Services of Frederick County,2,,,
Transport of Rockland,1,,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",1,,,
Utah Transit Authority,3,,,
VIA Metropolitan Transit,1,,,
Ventura Intercity Service Transit Authority,1,,,
Victor Valley Transit Authority,1,,,
Virginia Railway Express,1,,,
"Waco Transit System, Inc.",2,,,
Washington Metropolitan Area Transit Authority,1,,,
Westchester County Bee-Line System,1,,,
Western Contra Costa Transit Authority,1,,,
Western Reserve Transit Authority,1,,,
Westmoreland County Transit Authority,1,,,
Whatcom Transportation Authority,3,,,
Wichita Transit,1,,,
Yakima Transit,1,,,
Yolo County Transportation District,1,,,
York County Transportation Authority,2,,,
Yuba-Sutter Transit Authority,2,,,
