5 Digit NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,"34,059",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"396,517","329,600",,,"17,701",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,,,,,,"1,166",,,,,,
10016,1016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,0,,"172,126",,"102,878",,,,,,,,,,
10017,1017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,0,,"132,816",,"274,174",,,,"158,941",,,,,,
10040,1040,Southeast Area Transit,Full Reporter,Urban,MB,DO,0,,,,"239,624",,,,"17,585",,,,,,
10040,1040,Southeast Area Transit,Full Reporter,Urban,DR,PT,0,,,,"4,512",,,,"5,187",,,,,,
10042,1042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,500,,,,"57,062",,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,0,,,,"228,678",,,,,,,,,,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,0,,,,"53,892",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,0,,,,"2,317,931",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,,,,,"242,259",,,,,,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"318,503",,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter,Urban,MB,DO,,,,,,,,,"8,150",50,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"63,868",,,,,,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"605,356",,,,,,,,,,
10051,1051,Housatonic Area Regional Transit,Full Reporter,Urban,MB,DO,0,,,,"176,147",,,,"41,002",,,,,,
10051,1051,Housatonic Area Regional Transit,Full Reporter,Urban,DR,DO,0,,,,"34,801",,,,"19,060",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,0,,,,0,,,,"20,981",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,0,,,,"24,758",,,,"6,035",,,,,,
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,0,,,,"1,228,569",,,,,,,,,,
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,0,,,,"375,696",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,DR,PT,0,,,,"1,811",,,,"51,139",,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,MB,PT,0,,,,"10,282",,,,0,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,,,,"100,254",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,MB,DO,0,,,,"274,042",,,,,,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"13,089",,,,"302,506",,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"121,521",,,,0,,,,,,
10063,1063,Middletown Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"21,183",,,,,,
10063,1063,Middletown Transit District,Full Reporter,Urban,MB,DO,0,,,,"82,152",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"180,403",,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"180,476",,,,"72,852",,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"18,249",,,,,,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"41,386",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,CB,DO,0,,,,"118,791",,,,,,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,MB,DO,0,,,,"291,355",,,,,,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,,"21,262",,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,"110,519",,,,"48,091",,,,"1,674",,,,,,
10087,1087,Nashua Transit System,Full Reporter,Urban,DR,PT,"15,853",,,,0,,,,,,,,,,
10087,1087,Nashua Transit System,Full Reporter,Urban,MB,PT,"75,317",,"9,744",,0,,,,,,,,,,
10088,1088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,"46,647",,,,"213,957",,,,,,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,0,,,,"10,269",,,,"51,440",,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,0,,,,"23,425",,,,"2,318",,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,0,,,,"112,771",,,,,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,0,,,,"1,503,239",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"222,445",,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,"103,138",,,,"76,859",,,,"78,156",,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"24,942",,,,,,,,,,
10107,1107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"34,268",,,,,,
10107,1107,Milford Transit District,Full Reporter,Urban,MB,DO,0,,,,"74,340",,,,,,,,,,
10115,1115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,0,,,,"982,327",,,,,,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,0,,,,"158,142",,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,,0,,,,"94,542",,,,,,
10119,1119,University Of New Hampshire - University Transportation Services,Full Reporter,Urban,MB,DO,"71,772",,"47,371",,"3,109",,,,"1,372",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,0,,,,"41,942",,,,"60,810",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,0,,,,"278,245",,,,"4,030",,,,,,
10129,1129,Massachusetts Department of Transportation,Full Reporter,Urban,VP,PT,,,,,,,,,"98,623",,,,,,
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain,Full Reporter,Urban,MB,PT,0,,,,"219,728",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,0,,,,"2,992,459",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,0,,,,"95,512",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,"23,685",,,,"314,670",,,,"122,338",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,"6,773",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,"115,638",,,,"1,536,331",,,,"4,078",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,0,,,,"98,305",,,,,,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,DR,PT,0,,,,"1,145",,,,"53,412",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,DR,DO,0,,,,"5,731",,,,"30,383",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,MB,DO,"48,273",,,,"241,741",,,,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,0,,"2,361",,"115,070",,,,"125,230",,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,,"9,458,218",,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,0,,"8,061",,"2,088,494",,,,,,,,,,
20006,2006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,,"9,520",,,,,,
20006,2006,City of Long Beach,Full Reporter,Urban,MB,DO,0,,,,"48,927",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,DR,PT,0,,,,"3,225,252",,,,"3,119,336",,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,CB,DO,0,,,,"3,812,740",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,,"1,624,221,000",,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,MB,DO,0,,"6,422,163",,"29,126,254",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,RB,DO,0,,,,"1,458,061",,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter,Urban,DR,DO,0,,,,"42,955",,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter,Urban,MB,DO,0,,,,"160,377",,,,,,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"100,121",,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,0,,,,"104,689",,,,"12,885",,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,"881,665",,"677,977",,,,,,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Urban,DR,DO,0,,,,"4,383",,,,"36,353",,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Urban,MB,DO,0,,,,"54,262",,,,,,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Urban,DR,PT,0,,,,"375,608",,,,"734,288",,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Urban,MB,PT,0,,,,"2,103,656",,,,,,,,,,
20075,2075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,,"43,128,868",,,,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Urban,DR,PT,0,,,,"28,400",,,,"301,058",,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Urban,MB,PT,0,,,,"3,121,776",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,0,,,,"7,028,151",,"491,058,874",,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,,,,"223,268",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,0,,,,"54,028",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,0,,,,"658,886",,,,"1,203,963",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,,"238,384",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,0,,,,"14,367,244",,"400,425,757",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,,"6,058,349",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,,"24,141,672",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,0,,"1,527,156",,"21,446,116",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,0,,,,"1,792,135",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,0,,,,"690,778",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,0,,,,"4,434,119",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Urban,MB,PT,0,,,,"251,560",,,,,,,,,,
20084,2084,Transport of Rockland,Full Reporter,Urban,DR,DO,0,,,,"1,561",,,,"72,834",,,,,,
20084,2084,Transport of Rockland,Full Reporter,Urban,MB,PT,0,,,,"571,366",,,,"38,773",,,,,,
20096,2096,Putnam County Transit,Full Reporter,Urban,DR,PT,,,,,,,,,"25,338",,,,,,
20096,2096,Putnam County Transit,Full Reporter,Urban,MB,PT,0,,,,"33,934",,,,"20,001",,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,0,,,,"587,368",,,,,,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,,"103,109,770",,,,,,,,
20099,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Full Reporter,Urban,HR,DO,,,,,,,"23,500,387",,,,,,,,
20100,2100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,0,,,,"7,401,911",,"503,559,480",,,,,,,,
20113,2113,RTS - Monroe County,Full Reporter,Urban,DR,DO,0,,,,"79,208",,,,"122,603",,,,,,
