5 Digit NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Vehicle Operations Hours Worked,Full Time Vehicle Maintenance Hours Worked,Full Time Non-Vehicle Maintenance Hours Worked,Full Time General Administration Maintenance Hours Worked,Total Full Time Operating Labor Hours Worked,Total Full Time Capital Labor Hours Worked,Total Full Time Hours Worked,Full Time Vehicle Operations Employee Count,Full Time Vehicle Maintenance Employee Count,Full Time Non-Vehicle Maintenance Employee Count,Full Time General Administration Employee Count,Total Full Time Operating Employee Count,Total Full Time Capital Employee Count,Total Full Time Employee Count,Part Time Vehicle Operations Hours Worked,Part Time Vehicle Maintenance Hours Worked,Part Time Non-Vehicle Maintenance Hours Worked,Part Time General Administration Hours Worked,Total Part Time Operating Labor Hours Worked,Total Part Time Capital Labor Hours Worked,Total Part Time Hours Worked,Part Time Vehicle Operations Employee Count,Part Time Vehicle Maintenance Employee Count,Part Time Non-Vehicle Maintenance Employee Count,Part Time General Administration Employee Count,Total Part Time Operating Employee Count,Total Part Time Capital Employee Count,Total Part Time Employee Count
00011,0011,Valley Regional Transit,Full Reporter,Urban,MB,DO,"120,855","36,412",,"11,111","168,378",,"168,378",67.0,17.8,,5.2,90.0,,90.0,"10,984","1,912",,808,"13,704",,"13,704",11.0,3.0,,1.5,15.5,,15.5
00011,0011,Valley Regional Transit,Full Reporter,Urban,DR,DO,"39,922","3,784",,"1,645","45,351",,"45,351",18.6,2.1,,1.0,21.7,,21.7,88,,,,88,,88,0.1,,,,0.1,,0.1
00012,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,"189,684","55,731","6,739","33,910","286,064","1,690","287,754",104.0,33.0,4.0,20.0,161.0,1.0,162.0,,,,,0,,0,,,,,0.0,,0.0
00016,0016,RiverCities Transit,Full Reporter,Urban,MB,DO,"32,538","1,703","1,348","4,270","39,859",,"39,859",14.0,0.8,1.0,2.2,18.0,,18.0,"8,752",,,,"8,752",,"8,752",8.0,,,,8.0,,8.0
00016,0016,RiverCities Transit,Full Reporter,Urban,VP,DO,,5,,81,86,,86,,0.0,,0.0,0.0,,0.0,,,,,0,,0,,,,,0.0,,0.0
00018,0018,Ben Franklin Transit,Full Reporter,Urban,MB,DO,"155,455","29,226","2,642","19,801","207,124",,"207,124",86.0,16.0,1.5,11.6,115.1,,115.1,"32,447",492,96,"3,728","36,763",,"36,763",41.0,0.6,0.5,4.0,46.1,,46.1
00018,0018,Ben Franklin Transit,Full Reporter,Urban,DR,DO,"155,247","15,254","2,155","16,154","188,810",,"188,810",82.0,8.4,1.2,9.4,101.0,,101.0,"22,256",257,78,"3,041","25,632",,"25,632",25.0,0.3,0.4,3.3,29.0,,29.0
00018,0018,Ben Franklin Transit,Full Reporter,Urban,VP,DO,"7,461","6,610",458,"3,432","17,961",,"17,961",4.0,3.6,0.3,2.0,9.9,,9.9,921,111,17,646,"1,695",,"1,695",1.0,0.1,0.1,0.7,1.9,,1.9
00019,0019,Intercity Transit,Full Reporter,Urban,MB,DO,"276,224","45,758","9,434","53,792","385,208",,"385,208",142.9,25.7,5.1,30.5,204.2,,204.2,,,,,0,,0,,,,,0.0,,0.0
00019,0019,Intercity Transit,Full Reporter,Urban,DR,DO,"116,510","18,504","3,822","21,791","160,627",,"160,627",59.4,10.4,2.1,12.4,84.2,,84.2,,,,,0,,0,,,,,0.0,,0.0
00019,0019,Intercity Transit,Full Reporter,Urban,CB,DO,"32,612","5,393","1,114","6,350","45,469",,"45,469",16.8,3.0,0.6,3.6,24.0,,24.0,,,,,0,,0,,,,,0.0,,0.0
00019,0019,Intercity Transit,Full Reporter,Urban,VP,DO,"10,396","3,234",435,"2,586","16,651",,"16,651",6.0,1.9,0.3,1.5,9.6,,9.6,,,,,0,,0,,,,,0.0,,0.0
00020,0020,Kitsap Transit,Full Reporter,Urban,MB,DO,"152,833","57,225","13,929","34,957","258,944","1,982","260,926",85.0,32.8,8.2,20.7,146.7,1.1,147.8,"61,623",457,,"2,829","64,909",302,"65,211",92.0,0.8,,2.7,95.5,0.0,95.5
00020,0020,Kitsap Transit,Full Reporter,Urban,DR,DO,"122,486","13,929","8,896","22,326","167,637","1,266","168,903",67.0,8.0,5.2,13.2,93.4,0.7,94.1,"19,737",111,,"1,807","21,655",193,"21,848",13.0,0.2,,1.7,14.9,0.0,14.9
00020,0020,Kitsap Transit,Full Reporter,Urban,VP,DO,"3,352","2,231",599,"1,502","7,684",85,"7,769",2.0,1.3,0.4,0.9,4.6,0.1,4.6,934,18,,122,"1,074",13,"1,087",1.0,0.0,,0.1,1.2,,1.2
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,"209,561","32,044","8,287","30,739","280,631","2,436","283,067",125.3,17.8,4.3,17.5,164.8,1.4,166.2,,,,62,62,,62,,,,0.1,0.1,,0.1
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,"107,607","9,340","2,214","14,614","133,775",,"133,775",57.4,5.3,1.2,8.3,72.1,,72.1,"1,125",,,62,"1,187",,"1,187",1.0,,,0.1,1.1,,1.1
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,921,69,458,"1,448",,"1,448",,0.5,0.0,0.3,0.8,,0.8,"1,114",,,,"1,114",,"1,114",0.9,,,,0.9,,0.9
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,"260,829","51,600","11,293","66,476","390,198","1,962","392,160",142.1,27.5,6.0,38.3,214.0,1.0,215.0,"63,036","2,482",,,"65,518","1,126","66,644",33.9,1.9,,,35.7,1.0,36.7
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,"89,088","11,971","4,749","28,751","134,559",,"134,559",51.0,6.7,2.6,16.6,76.9,,76.9,"66,059","1,190",,,"67,249",,"67,249",31.0,0.8,,,31.8,,31.8
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,CB,DO,"54,880","10,857","2,376","13,987","82,100",,"82,100",29.9,5.8,1.3,8.1,45.0,,45.0,"13,263",522,,,"13,785",,"13,785",7.1,0.4,,,7.5,,7.5
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,9,136,"3,762","3,907",,"3,907",,0.0,0.1,2.0,2.1,,2.1,,,,,0,,0,,,,,0.0,,0.0
00025,0025,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,"245,834","67,755","16,036","45,209","374,834","4,074","378,908",116.0,26.0,8.0,28.0,178.0,1.0,179.0,787,,,"1,471","2,258",,"2,258",1.0,,,1.0,2.0,,2.0
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,"621,724","94,111","17,941","125,616","859,392","15,848","875,240",335.9,57.9,11.7,74.3,479.8,8.7,488.5,"13,029",,,"1,447","14,476",,"14,476",12.0,,,1.8,13.8,,13.8
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,"119,534","30,444","3,430","23,869","177,277","3,098","180,375",64.4,18.9,2.2,14.1,99.6,1.7,101.3,"2,533",,,282,"2,815",,"2,815",2.3,,,0.4,2.7,,2.7
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,"13,118","9,476","1,401","12,382","36,377",692,"37,069",7.7,6.4,0.9,7.3,22.3,0.4,22.7,59,,,137,196,,196,0.2,,,0.5,0.7,,0.7
00034,0034,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,"59,388","13,171",,"21,500","94,059",,"94,059",28.0,6.0,,10.0,44.0,,44.0,"15,320",791,"1,663",,"17,774",,"17,774",12.0,1.0,3.0,,16.0,,16.0
00035,0035,Washington State Ferries,Full Reporter,Urban,FB,DO,"2,555,714","252,956","125,411","109,046","3,043,127","203,352","3,246,479","1,298.0",116.0,67.0,71.0,"1,552.0",104.0,"1,656.0","398,906",925,,"16,500","416,331",,"416,331",288.0,3.0,,26.0,317.0,,317.0
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,"665,928","219,155","32,914","129,581","1,047,578","6,799","1,054,377",381.2,130.3,19.4,73.2,604.1,3.7,607.8,"102,270","2,993",788,"1,117","107,168",,"107,168",92.6,5.7,2.0,2.2,102.5,,102.5
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,"199,787","67,900","179,851","84,343","531,881","794,873","1,326,754",119.7,41.7,106.8,47.5,315.6,434.4,750.1,"2,435","3,316","8,089","1,447","15,287",,"15,287",4.8,8.0,19.8,2.9,35.5,,35.5
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,"23,520","5,855","2,762","7,390","39,527","26,511","66,038",13.1,2.7,1.5,4.1,21.4,14.6,36.0,,,,,0,,0,,,,,0.0,,0.0
00041,0041,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,"172,302","76,619","110,745","85,993","445,659","127,281","572,940",67.8,43.6,82.6,55.3,249.3,54.6,303.9,,,,,0,,0,,,,,0.0,,0.0
00043,0043,Link Transit,Full Reporter,Urban,MB,DO,"117,172","27,621","5,970","34,091","184,854",550,"185,404",61.1,14.2,3.3,19.0,97.6,0.3,97.9,"1,115",0,"2,060",,"3,175",,"3,175",3.8,,1.7,,5.5,,5.5
00043,0043,Link Transit,Full Reporter,Urban,DR,DO,"24,571","3,442","1,258","7,184","36,455",,"36,455",12.9,1.8,0.7,4.0,19.4,,19.4,234,,434,,668,,668,0.2,,0.3,,0.5,,0.5
00044,0044,Skagit Transit,Full Reporter,Urban,MB,DO,"44,459","13,344","3,977","13,312","75,092",,"75,092",25.4,7.1,2.2,7.9,42.6,,42.6,"28,889",,178,0,"29,067",,"29,067",19.7,,0.4,,20.0,,20.0
00044,0044,Skagit Transit,Full Reporter,Urban,DR,DO,"40,918","7,275","3,462","13,122","64,777",,"64,777",24.6,3.8,1.8,7.3,37.6,,37.6,"17,561",0,212,,"17,773",,"17,773",11.8,,0.5,,12.2,,12.2
00044,0044,Skagit Transit,Full Reporter,Urban,CB,DO,"8,468","2,542",757,"2,536","14,303",,"14,303",4.8,1.4,0.4,1.5,8.1,,8.1,"5,503",,34,,"5,537",,"5,537",3.7,,0.1,,3.8,,3.8
00044,0044,Skagit Transit,Full Reporter,Urban,VP,DO,0,"2,080",776,"2,067","4,923",,"4,923",,1.2,0.4,1.2,2.7,,2.7,,,47,,47,,47,,,0.1,,0.1,,0.1
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,"10,812",,,"9,730","20,542",,"20,542",5.2,,,4.7,9.9,,9.9,"7,400",,,928,"8,328",,"8,328",9.2,,,0.6,9.8,,9.8
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,"10,787",,,"4,316","15,103",,"15,103",8.8,,,2.8,11.6,,11.6,"14,164",,,597,"14,761",,"14,761",24.3,,,0.6,24.9,,24.9
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,"1,805",,,345,"2,150",,"2,150",0.9,,,0.2,1.1,,1.1,,,,,0,,0,,,,,0.0,,0.0
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,"928,821","145,897","65,517","128,902","1,269,137",,"1,269,137",448.0,76.0,39.0,71.0,634.0,,634.0,0,0,0,"3,132","3,132",,"3,132",,,,4.0,4.0,,4.0
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,"182,568","15,217","6,998","25,232","230,015",,"230,015",106.0,9.0,4.0,15.0,134.0,,134.0,0,0,0,0,0,,0,,,,0.0,0.0,,0.0
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,"2,694,556","947,951","101,387","430,895","4,174,789","14,832","4,189,621","1,382.0",512.0,52.0,220.0,"2,166.0",8.0,"2,174.0","524,410","1,216",,0,"525,626",0,"525,626",349.0,1.0,,,350.0,,350.0
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,"1,794,404","720,998","1,102,174","404,550","4,022,126","55,490","4,077,616",998.0,401.0,613.0,225.0,"2,237.0",31.0,"2,268.0","146,605",0,,0,"146,605",0,"146,605",109.0,,,,109.0,,109.0
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,"1,051,830","380,052","508,834","228,346","2,169,062","8,990","2,178,052",585.0,207.0,283.0,127.0,"1,202.0",5.0,"1,207.0","154,215",,,,"154,215",,"154,215",115.0,,,,115.0,,115.0
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,"161,820","38,906","12,586","39,010","252,322",0,"252,322",90.0,21.0,7.0,21.0,139.0,,139.0,"7,513",0,,,"7,513",0,"7,513",5.0,0.0,,,5.0,,5.0
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,"51,781","25,950","15,505","10,357","103,593",,"103,593",33.0,13.0,8.0,6.0,60.0,,60.0,"4,508",0,,,"4,508",,"4,508",3.0,,,,3.0,,3.0
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,"12,779",,,553,"13,332",,"13,332",7.3,,,0.3,7.6,,7.6,"15,675",,,,"15,675",,"15,675",33.0,,,,33.0,,33.0
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,"215,611","55,436","8,139","26,264","305,450",,"305,450",100.9,25.0,4.8,12.8,143.5,,143.5,"14,758",325,,"1,891","16,974",,"16,974",13.7,0.3,,1.8,15.8,,15.8
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,"27,818","4,697",401,"3,646","36,562",,"36,562",11.6,2.7,0.2,1.9,16.4,,16.4,"4,985",,,338,"5,323",,"5,323",5.0,,,0.3,5.3,,5.3
10016,1016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,"118,777","20,118","4,120","17,988","161,003",,"161,003",56.0,9.9,2.2,9.0,77.0,,77.0,,,0,"3,637","3,637",,"3,637",,0.0,0.0,3.0,3.0,,3.0
10040,1040,Southeast Area Transit,Full Reporter,Urban,MB,DO,"87,052","19,970",905,"5,378","113,305",245,"113,550",49.0,11.5,0.5,3.0,64.0,0.1,64.1,,"1,025",,"2,277","3,302",,"3,302",,2.0,,3.0,5.0,0.0,5.0
10042,1042,Valley Transit District,Full Reporter,Urban,DR,DO,"17,515","2,093",,"4,580","24,188",,"24,188",10.0,1.0,,3.0,14.0,,14.0,"7,576",,,"1,203","8,779",,"8,779",8.0,,,2.0,10.0,,10.0
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,"941,790","256,922","30,378","76,241","1,305,331",,"1,305,331",449.0,121.0,17.0,43.0,630.0,,630.0,"11,520",,,"5,850","17,370",,"17,370",16.0,,,9.0,25.0,,25.0
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,"77,905","21,253","2,513","6,307","107,978",,"107,978",37.0,10.0,1.5,4.0,52.5,,52.5,953,,,484,"1,437",,"1,437",1.0,,,1.0,2.0,,2.0
10049,1049,The Greater New Haven Transit District,Full Reporter,Urban,DR,DO,"168,134","8,197","4,770","18,981","200,082","1,385","201,467",96.0,5.0,3.0,13.0,117.0,1.0,118.0,"36,558",,,,"36,558",,"36,558",39.0,,,,39.0,,39.0
10049,1049,The Greater New Haven Transit District,Full Reporter,Urban,MB,DO,50,128,22,298,498,,498,0.1,0.2,0.1,0.5,0.8,,0.8,"1,352",,,,"1,352",,"1,352",2.0,,0.0,,2.0,,2.0
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,"216,189","62,331","3,676","24,489","306,685",,"306,685",109.0,33.0,2.0,15.0,159.0,,159.0,"18,761","2,975",,"2,183","23,919",,"23,919",22.0,3.0,,2.0,27.0,,27.0
10051,1051,Housatonic Area Regional Transit,Full Reporter,Urban,MB,DO,"84,261","15,475",,"11,197","110,933",,"110,933",41.0,8.0,,6.0,55.0,,55.0,"6,072","1,076",,,"7,148",,"7,148",7.3,1.2,,,8.5,,8.5
10051,1051,Housatonic Area Regional Transit,Full Reporter,Urban,DR,DO,"41,924","3,215",,"4,697","49,836",,"49,836",22.0,2.0,,3.0,27.0,,27.0,,367,,"1,094","1,461",,"1,461",,0.8,,1.5,2.3,,2.3
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,"491,131","115,158","20,331","45,751","672,371",,"672,371",233.0,55.0,10.0,24.0,322.0,,322.0,"12,142",,,"14,183","26,325",,"26,325",8.0,,,16.0,24.0,,24.0
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,"196,483","46,002","4,744","12,340","259,569",,"259,569",95.0,21.0,3.0,7.0,126.0,,126.0,"5,834",,,"6,357","12,191",,"12,191",7.0,,,6.0,13.0,,13.0
10057,1057,Norwalk Transit District,Full Reporter,Urban,MB,DO,"106,399","18,953","2,153","9,290","136,795",,"136,795",54.9,10.2,1.1,5.3,71.5,,71.5,"26,060","3,282",,,"29,342",,"29,342",33.0,3.0,,,36.0,,36.0
10057,1057,Norwalk Transit District,Full Reporter,Urban,DR,DO,"34,331","5,234",676,"2,920","43,161",,"43,161",16.4,2.8,0.4,1.7,21.3,,21.3,"6,238",883,,,"7,121",,"7,121",7.5,1.0,,0.0,8.5,,8.5
10063,1063,Middletown Transit District,Full Reporter,Urban,MB,DO,"31,654","4,563","3,395","15,299","54,911",,"54,911",18.0,2.0,2.0,7.0,29.0,,29.0,"2,199",,802,215,"3,216",,"3,216",2.0,,1.0,1.0,4.0,,4.0
10063,1063,Middletown Transit District,Full Reporter,Urban,DR,DO,"15,845",,,"3,191","19,036",,"19,036",8.0,,,2.0,10.0,,10.0,"3,502",415,260,143,"4,320",,"4,320",3.0,1.5,0.8,0.7,6.0,,6.0
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,MB,DO,"132,056","25,815",577,"24,162","182,610",861,"183,471",61.0,12.0,0.3,13.5,86.8,0.5,87.3,853,,,823,"1,676",,"1,676",1.0,0.0,,1.0,2.0,,2.0
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,CB,DO,"24,742","12,458",109,"4,527","41,836",161,"41,997",11.0,6.0,0.1,2.5,19.6,0.1,19.7,"1,838",299,,366,"2,503",,"2,503",3.0,0.7,,0.8,4.5,,4.5
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,"67,036","4,431",,"8,546","80,013",,"80,013",33.9,2.3,,4.7,40.9,,40.9,"6,955","4,090",,,"11,045",,"11,045",11.2,7.0,,0.0,18.2,,18.2
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,"20,199","1,313",,"2,447","23,959",,"23,959",11.1,0.7,,1.3,13.1,,13.1,"6,102",577,,0,"6,679",0,"6,679",7.8,1.0,,,8.8,,8.8
10088,1088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,"84,137","6,292",699,"11,892","103,020",,"103,020",34.0,2.7,0.3,7.0,44.0,,44.0,"23,265",,,,"23,265",,"23,265",42.0,,,,42.0,,42.0
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,"44,302","4,753",228,911,"50,194",,"50,194",21.0,6.0,1.0,5.0,33.0,,33.0,"7,230",,,,"7,230",,"7,230",5.0,,,,5.0,,5.0
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,"1,662","1,817",228,"1,488","5,195",,"5,195",4.0,5.0,1.0,7.0,17.0,,17.0,"18,472",,,"1,426","19,898",,"19,898",38.0,,,2.0,40.0,,40.0
10107,1107,Milford Transit District,Full Reporter,Urban,MB,DO,"21,840","3,987",,"5,812","31,639",,"31,639",10.0,2.0,,3.0,15.0,,15.0,"1,060","1,286",420,"1,136","3,902",,"3,902",1.0,1.0,1.0,1.0,4.0,,4.0
10107,1107,Milford Transit District,Full Reporter,Urban,DR,DO,"17,506","2,019",,"4,136","23,661",,"23,661",9.0,1.0,,2.0,12.0,,12.0,"1,080","1,106",141,"1,096","3,423",,"3,423",1.0,1.0,0.5,1.0,3.5,,3.5
10119,1119,University Of New Hampshire - University Transportation Services,Full Reporter,Urban,MB,DO,"11,276","8,734",,"16,702","36,712",,"36,712",6.0,5.0,,10.0,21.0,,21.0,"57,840","2,377",,"20,618","80,835",,"80,835",115.0,3.0,,22.0,140.0,,140.0
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,"680,717","57,028","16,016","147,189","900,950",,"900,950",319.0,25.0,8.0,69.0,421.0,,421.0,"112,136","2,329",,"8,080","122,545",,"122,545",170.0,2.0,,12.0,184.0,,184.0
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,"58,011","6,337","16,920","18,134","99,402",,"99,402",26.0,3.0,9.0,9.0,47.0,,47.0,"34,320",260,,898,"35,478",,"35,478",50.0,1.0,,2.0,53.0,,53.0
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,"711,732","227,591","26,723","97,055","1,063,101",,"1,063,101",389.0,106.0,13.0,52.0,560.0,,560.0,"2,129",,,"1,610","3,739",,"3,739",3.0,,,2.0,5.0,,5.0
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,"102,418","44,576",,"19,879","166,873",,"166,873",53.0,22.0,,11.0,86.0,,86.0,"2,081",,,,"2,081",,"2,081",2.0,,,,2.0,,2.0
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,MB,DO,"92,231","22,709","3,841","5,193","123,974",,"123,974",49.0,14.0,2.0,3.0,68.0,,68.0,"20,950",0,"1,123",,"22,073",,"22,073",12.0,0.0,2.0,,14.0,,14.0
