Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",New in 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,470"
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,VP,PT,Operating,,,,,,"5,683","5,661","5,688","6,656","8,975","9,869","9,863","14,240","15,318","15,300",,,,,,0,0,0,0,,"27,057","27,952"
2016,13,TR27-001,Orutsararmiut Native Council,Inactive,Reduced Reporter,,AK,2010,,,,,Pre 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,14,0T14,Sitka Tribe of Alaska(STA),Active,Reduced Reporter,Sitka,AK,2010,Alaska Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,"6,578","9,126",,"10,023","10,023","10,842","10,023","9,945","3,315","3,315","9,594"
2017,15,0T15,Snoqualmie Indian Tribe,Active,Reduced Reporter,Snoqualmie,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,"1,028","3,399","3,966","7,779","8,668","11,682",,,"4,389","2,802","1,960"
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952",Existing 2017,DR,PT,Operating,"6,588","8,938","10,546","12,748",,,"11,157","10,685","12,320","10,661","11,527","13,091","13,025","13,475","14,015","15,548","15,355","15,641","17,147","20,169","21,490","20,881","20,981","19,930","18,429","21,307","22,600"
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952",Existing 2017,MB,DO,Operating,"17,692","17,766","18,006","19,386",,,"19,368","20,136","22,482","13,804","16,564","16,855","16,860","16,940","16,852","16,791","16,855","16,920","16,588","16,538","17,646","17,651","22,779","28,695","27,968","28,112","26,372"
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952",Existing 2017,VP,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,82,10
2017,17,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Arlington,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,VP,DO,Operating,,,,,,,,,,,,,,,,,,,,"1,148","2,780","2,243","3,302","3,598","4,119","3,529","3,652"
2017,17,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Arlington,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,"4,754","5,836","3,558","3,334","3,333","3,260","3,189","3,169","2,634"
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,DR,DO,Operating,"33,507","36,099","42,895","45,156","57,748","54,100","57,550","63,965","83,703","63,975","76,881","80,771","87,803",,"102,013","129,324","133,814","149,427","123,901","111,231","121,705","116,535","101,062","103,540","106,910","113,388","113,960"
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,DR,PT,Operating,"1,496","1,883","4,325","4,076","4,500","5,020","25,347","28,661","18,549","12,577","22,371","26,224","31,533",,"49,128","51,428","57,430","64,122","44,750","17,340","16,161","12,246","12,807","12,912","12,014","12,296","12,834"
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"18,941","20,198","22,715","24,279","31,056","31,459","31,306","23,058"
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,MB,DO,Operating,"119,214","118,222","118,640","121,372","122,648","131,484","141,917","146,671","142,521","134,423","131,108","118,208","128,187",,"142,241","145,912","145,170","147,017","146,776","132,549","132,872","132,925","131,050","131,093","131,934","132,957","140,249"
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,MB,PT,Discontinued,88,322,525,"3,976","9,460","10,568",,,,,,,,,,,,,,,0,0,,0,,,
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,VP,DO,Operating,"29,151","35,484","37,265","36,352","45,900","53,248","49,725","45,312","45,924","75,735","71,400","72,192","68,816",,"62,417","61,360","74,168","104,489","107,940","109,896","116,561","113,963","88,208","84,232","83,627","77,653","70,653"
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,"15,707","17,547","21,794","21,743","21,741","20,605"
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,DR,DO,Operating,"12,821","25,938","33,012","44,061","54,350","53,902","54,866","57,019","55,408","44,233","44,772","39,772","41,937","42,632","47,922","53,954","57,220","59,325","65,499","66,380","66,284","64,507","66,305","69,268","71,067","74,601","76,921"
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,DR,PT,Discontinued,"11,892",,,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,MB,DO,Operating,"125,962","138,612","170,140","230,532","195,241","192,249","215,798","201,927","199,518","126,744","121,346","115,450","128,339","136,698","151,652","171,786","174,404","192,838","194,041","193,012","199,060","184,187","183,863","183,609","184,171","184,157","183,234"
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,MB,PT,Discontinued,510,,,,,,,,,,,,,,,,,,,,0,0,,0,,,
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,VP,DO,Operating,0,0,"21,803","9,437","9,081","12,096","14,673","16,634","21,301","24,960","30,680","31,736","31,175","36,153","44,372","60,848","66,801","79,912","82,797","79,214","84,247","92,758","94,315","95,030","92,381","84,805","80,872"
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2017,DR,DO,Operating,,0,,,"42,492","60,427","65,644","64,744","71,500","55,469","67,849","83,183","112,996","124,098","123,215","122,166","122,574","112,821","90,152","81,029","84,749","79,225","80,767","83,410","85,432","87,169","84,383"
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2017,DR,PT,Discontinued,"53,052","66,684","55,962","56,036","16,177","7,476",,,,,,,,,,,,,,,0,0,,0,,,
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,175,239,77,39,44,,42,585
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",New in 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,090"
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2017,FB,PT,Operating,,153,"4,563","10,738","10,812","7,210","7,190","7,843","7,862","4,882","4,855","5,056","5,723","5,746","6,556","6,534","6,547","6,699","5,982","5,869","6,142","6,387","6,189","6,235","5,907","6,051","6,041"
