Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,25,25,Salem Area Mass Transit District(Cherriots),Active,Full Reporter,Salem,OR,2010,"Salem, OR",156,76,"236,632",Existing 2017,"$6,238,600 ","$6,726,795 ","$5,990,196 ","$6,856,322 ","$7,196,052 ","$6,563,537 ","$10,989,263 ","$9,385,703 ","$11,628,590 ","$12,024,970 ","$14,551,085 ","$14,924,859 ","$20,734,881 ","$21,810,362 ","$21,332,530 ","$26,560,321 ","$27,696,764 ","$34,121,175 ","$31,964,404 ","$31,292,644 ","$37,691,294 ","$33,237,459 ","$37,874,401 ","$39,939,471 ","$38,985,196 ","$39,913,391 ","$41,238,542 "
2016,26,,Bristol Bay Native Association,Inactive,Reduced Reporter,,AK,2010,,,,,Pre 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$29,325 ","$7,177 ","$9,642 "
2017,27,0T27,Confederated Tribes of Siletz Indians(CTSI),Active,Reduced Reporter,Siletz,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$248,635 ","$271,881 ","$372,007 ","$357,361 ","$336,174 "
2017,28,28,Pierce County Ferry Operations(Pierce County Ferry),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$765,516 ","$1,505,001 ","$3,854,357 ","$3,674,679 ","$1,230,600 ","$1,170,539 ","$7,429,137 ","$2,357,247 ","$1,219,529 ","$1,730,212 ","$1,644,528 ","$2,552,097 ","$1,723,892 ","$3,937,669 ","$4,939,383 ","$12,982,410 ","$2,975,902 ","$4,740,516 ","$4,157,428 ","$5,003,196 ","$3,622,498 ","$5,415,503 ","$3,210,979 ","$4,934,706 ","$7,006,843 ","$5,377,462 ","$4,769,955 "
2017,29,29,Snohomish County Public Transportation Benefit Area Corporation(Community Transit),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$44,752,606 ","$43,918,052 ","$29,679,767 ","$33,210,693 ","$43,636,794 ","$39,061,164 ","$47,644,088 ","$61,653,233 ","$56,025,244 ","$60,680,119 ","$56,529,528 ","$59,050,896 ","$88,051,707 ","$80,235,246 ","$106,287,005 ","$94,583,353 ","$120,218,571 ","$137,552,315 ","$143,716,245 ","$133,909,591 ","$130,662,726 ","$105,118,264 ","$115,208,989 ","$113,188,155 ","$147,591,083 ","$146,772,409 ","$190,241,800 "
2017,30,0T30,Chickaloon Native Village(CATs),Active,Reduced Reporter,Chickaloon,AK,2010,Alaska Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$205,108 ","$155,761 ","$166,090 ","$180,357 ","$72,425 "
2017,31,0T31,Shoshone-Bannock Tribes (SBTDOT),Active,Reduced Reporter,Fort Hall,ID,2010,Idaho Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,"$751,161 ","$247,938 ","$389,316 ","$316,870 ","$343,115 ","$389,414 "
2016,32,,Skokomish Indian Tribe,Inactive,Reduced Reporter,,WA,2010,,,,,Pre 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$121,479 ","$94,317 ","$114,883 ",
2017,33,0R03-021,Senior Services of Snohomish County(Senior Services),Active,Rural Reporter,Mukilteo,WA,2010,,,,,Existing 2017,"$1,241,488 ","$3,378,176 ","$1,937,470 ","$2,617,691 ","$2,851,860 ","$3,026,817 ","$3,173,124 ","$3,776,473 ","$4,094,005 ","$3,765,471 ","$4,155,473 ","$4,806,803 ","$5,140,088 ","$5,234,855 ","$5,737,301 ","$6,066,268 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$663,883 ","$582,632 ","$643,179 ","$647,855 ","$1,134,416 "
2017,34,34,Rogue Valley Transportation District(RVTD),Active,Full Reporter,Medford,OR,2010,"Medford, OR",213,65,"154,081",Existing 2017,"$2,622,411 ","$1,951,737 ","$2,590,644 ","$3,100,369 ","$4,516,523 ","$2,818,140 ","$2,888,968 ","$4,089,509 ","$3,969,486 ","$3,485,745 ","$4,848,712 ","$5,611,877 ","$4,551,192 ","$6,607,361 ","$9,528,501 ","$7,747,949 ","$6,482,845 ","$5,893,339 ","$6,297,674 ","$8,884,604 ","$8,686,734 ","$8,217,374 ","$10,152,947 ","$10,588,890 ","$10,608,954 ","$8,618,254 ","$10,425,423 "
2017,35,35,Washington State Ferries(WSF),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$195,685,472 ","$152,530,272 ","$166,166,341 ","$196,656,767 ","$183,087,650 ","$201,542,272 ","$250,444,761 ","$224,950,704 ","$255,996,022 ","$249,357,572 ","$196,743,765 ","$238,666,472 ","$243,684,322 ","$229,098,172 ","$278,669,107 ","$279,248,864 ","$302,814,155 ","$298,464,097 ","$312,506,249 ","$339,909,292 ","$382,829,457 ","$315,501,090 ","$380,531,684 ","$371,639,373 ","$359,849,101 ","$420,157,259 ","$394,200,718 "
2017,36,0T36,Makah Tribal Council,Active,Reduced Reporter,Neah Bay ,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,"$246,655 ","$176,737 ","$136,271 ","$147,886 ","$166,567 ","$212,042 ","$193,811 ","$180,957 "
1998,38,38,"Community and Rural Transportation, Inc.",Inactive,Full Reporter,Idaho Falls,ID,1990,"Idaho Falls, ID",362,21,"56,356",Pre 2017,$0 ,$0 ,"$576,564 ","$400,289 ","$648,392 ","$585,932 ","$626,117 ","$686,786 ",,,,,,,,,,,,,,,,,,,
2017,40,40,Central Puget Sound Regional Transit Authority(ST),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$242,713,111 ","$298,667,037 ","$293,209,927 ","$391,350,944 ","$480,298,907 ","$612,131,278 ","$714,584,113 ","$830,891,046 ","$889,997,016 ","$718,364,640 ","$597,147,102 ","$784,906,821 ","$834,795,684 ","$803,557,612 ","$912,509,327 ","$1,055,791,386 ","$1,084,452,671 ","$1,170,774,718 ","$1,761,006,892 "
2017,41,41,Alaska Railroad Corporation(ARRC),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,568,099 ","$8,184,093 ","$9,496,879 ","$10,369,194 ","$10,676,752 ","$10,972,583 ","$13,236,014 ","$12,855,309 ","$10,492,121 ","$10,340,985 ","$11,324,508 ","$149,023,086 ","$130,242,359 ","$102,699,295 ","$92,777,616 ","$97,309,148 ","$100,268,563 "
2017,42,42,Targhee Regional Public Transit Authority(TRPTA),Active,Reduced Reporter,Idaho Falls,ID,2010,"Idaho Falls, ID",321,45,"90,733",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$901,861 ","$691,710 ","$785,016 ",$0 ,$0 ,$0 ,"$765,851 ","$797,274 ",$0 ,"$2,719,978 ","$2,895,777 ","$1,993,634 ","$2,281,980 ","$1,802,978 ","$1,192,834 ","$1,555,059 ","$1,581,345 ","$2,239,885 "
2017,43,43,Link Transit,Active,Full Reporter,Wenatchee,WA,2010,"Wenatchee, WA",412,31,"67,227",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,033,806 ","$9,466,228 ","$8,449,251 ","$10,470,708 ","$11,572,967 ","$10,843,194 ","$15,591,916 ","$10,312,220 ","$10,915,570 ","$10,818,666 ","$13,202,913 ","$12,352,407 ","$13,535,147 ","$16,698,107 "
2017,44,44,Skagit Transit,Active,Full Reporter,Burlington,WA,2010,"Mount Vernon, WA",435,34,"62,966",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,321,684 ","$5,768,117 ","$7,959,051 ","$7,066,026 ","$8,894,146 ","$12,944,341 ","$10,359,099 ","$13,540,817 ","$11,220,715 ","$12,919,257 ","$12,703,222 ","$17,614,933 ","$13,817,250 ","$15,829,519 "
2017,45,45,Fairbanks North Star Borough Transit(MACS),Active,Reduced Reporter,Fairbanks,AK,2010,"Fairbanks, AK",425,55,"64,513",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,559,802 ","$3,070,283 ","$5,399,961 ","$3,752,681 ","$6,886,057 ","$4,001,953 ","$4,520,896 ","$5,250,286 ","$5,431,091 ","$6,153,272 ","$7,680,436 ","$6,846,966 ","$6,570,124 ","$7,465,286 "
2017,46,46,South Metro Area Regional Transit(SMART),Active,Full Reporter,Wilsonville,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,821,578 ","$2,141,830 ","$2,519,110 ","$4,583,457 ","$2,749,905 ","$3,543,074 ","$4,474,423 ","$5,381,746 ","$5,288,564 ","$5,186,027 ","$6,964,224 ","$6,905,112 ","$5,732,541 ","$6,409,621 ","$5,617,095 ","$5,909,401 "
2017,47,47,City of Corvallis(CTS),Active,Full Reporter,Corvallis,OR,2010,"Corvallis, OR",436,21,"62,433",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,921,120 ","$3,331,594 ","$2,318,532 ","$2,506,638 ","$3,324,230 ","$3,793,834 ","$3,047,854 ","$2,911,592 ","$3,789,901 "
2017,48,48,Lewiston Transit System(LTS),Active,Reduced Reporter,Lewiston,ID,2010,"Lewiston, ID-WA",483,28,"51,924",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$556,046 ","$620,584 ","$915,243 ","$1,585,568 ","$1,164,623 ","$884,110 "
2015,49,49,"vRide, Inc. - Anchorage",Inactive,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$417,300 ","$853,842 ","$827,914 ","$833,749 ","$916,936 ","$1,029,997 ","$1,141,088 ","$1,228,068 ","$1,353,439 ","$843,984 ",,
2011,50,50,"City of Bend, Bend Area Transit(BAT)",Inactive,Reduced Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,186,585 ","$2,706,489 ","$2,976,285 ","$2,947,724 ","$2,208,320 ",,,,,,
2017,51,51,Asotin County PTBA(PTBA),Active,Reduced Reporter,Clarkston,WA,2010,"Lewiston, ID-WA",483,28,"51,924",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$942,136 ","$1,153,036 ","$1,431,897 ","$931,832 ","$1,054,354 ","$1,533,384 "
2012,52,52,Metro(Metro),Inactive,Reduced Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$416,042 ","$473,698 ","$369,325 ","$366,604 ",,,,,
2017,53,53,Coeur d'Alene Tribe dba Citylink Transit(Citylink),Active,Reduced Reporter,Worley,ID,2010,"Coeur d'Alene, ID",304,47,"98,378",Existing 2017,,,,,,,,,,,,,,,,,"$293,889 ","$601,866 ",$0 ,"$1,983,157 ","$2,544,062 ",$0 ,$0 ,$0 ,"$938,540 ","$1,365,045 ","$1,500,383 "
2015,54,54,King County Ferry District(KCFD),Inactive,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,440,185 ","$2,340,548 ","$6,933,305 ","$11,032,718 ","$7,479,761 ","$15,982,584 ","$11,606,383 ",,
2017,55,55,Kootenai County(KC),Active,Reduced Reporter,Coeur d'Alene,ID,2010,"Coeur d'Alene, ID",304,47,"98,378",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$1,954,057 ","$2,172,182 ","$2,755,818 ","$1,466,642 ","$1,497,092 ","$837,780 "
2012,56,56,Port of Kingston(POK),Inactive,Full Reporter,,WA,2010,,,,,Pre 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$616,303 ",,,,,
2017,57,57,Central Oregon Intergovernmental Council(Cascades East Transit),Active,Full Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",Existing 2017,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$163,292 ","$1,520,245 ","$2,348,499 ","$2,165,998 ","$6,606,997 ","$5,028,296 ","$4,086,138 ","$4,852,867 ","$7,628,591 ","$6,600,737 "
