Last Report Year,NTD ID,AgencyID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,MB,DO,Operating,"$16,459,738 ","$20,040,902 ","$21,065,138 ","$21,731,478 ","$23,886,907 ","$24,334,268 ","$25,242,351 ","$25,411,561 ","$25,939,566 ","$24,931,229 ","$25,600,378 ","$27,078,807 ","$26,796,773 ","$27,336,673 ","$31,604,725 ","$35,215,046 ","$37,305,903 ","$43,194,327 ","$41,537,202 ","$43,709,912 ","$43,296,209 ","$43,292,761 ","$44,182,679 ","$45,605,199 ","$46,841,435 ","$45,917,132 ","$49,460,108 "
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,VP,DO,Operating,"$71,954 ","$102,273 ","$128,740 ","$142,676 ","$135,218 ","$113,485 ","$112,612 ","$120,240 ","$110,550 ","$138,216 ","$148,733 ","$201,213 ","$182,050 ","$220,890 ","$285,405 ","$449,168 ","$485,341 ","$633,398 ","$598,008 ","$649,500 ","$730,312 ","$816,351 ","$821,151 ","$868,355 ","$700,643 ","$654,275 ","$611,768 "
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,DO,Operating,"$3,044,667 ","$3,806,904 ","$4,092,096 ","$4,777,820 ","$5,111,750 ","$5,654,743 ","$5,616,586 ","$5,542,067 ","$6,006,219 ","$3,834,140 ","$3,861,907 ","$4,444,827 ","$4,327,889 ","$4,689,446 ","$4,864,946 ","$4,945,342 ","$5,418,818 ","$6,402,645 ","$6,666,343 ","$6,086,477 ","$6,290,850 ","$5,971,093 ","$5,995,486 ","$6,363,005 ","$6,278,666 ","$6,753,090 ","$7,092,689 "
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,PT,Operating,"$2,847,543 ","$2,777,433 ","$3,926,269 ","$4,872,388 ","$5,226,271 ","$4,382,437 ","$4,770,572 ","$5,389,348 ","$5,953,953 ","$7,244,634 ","$6,784,201 ","$6,739,634 ","$6,836,841 ","$8,057,307 ","$7,463,182 ","$8,938,581 ","$10,388,687 ","$11,234,591 ","$11,140,209 ","$11,511,162 ","$12,223,083 ","$11,258,286 ","$10,614,230 ","$11,192,289 ","$11,069,043 ","$11,169,146 ","$11,520,226 "
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"$26,058,862 ","$26,261,834 ","$26,570,959 ","$30,286,363 ","$31,627,742 ","$31,961,565 ","$35,003,984 ","$37,408,000 ","$41,492,536 ","$39,825,674 ","$43,950,764 ","$49,109,629 ","$54,658,105 ","$59,821,695 ","$50,352,443 ","$54,366,276 ","$61,082,330 ","$69,340,588 ","$67,983,187 ","$70,530,435 ","$67,255,139 ","$57,089,544 ","$49,166,871 ","$53,565,963 ","$56,495,424 ","$63,778,532 ","$68,179,163 "
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,PT,Discontinued,"$1,773,087 ","$2,160,361 ","$2,262,045 ","$1,426,942 ",,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,,,
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,VP,DO,Operating,"$133,204 ","$205,086 ","$286,868 ","$539,843 ","$620,207 ","$776,878 ","$856,232 ","$1,704,990 ","$2,035,823 ","$1,799,402 ","$1,794,139 ","$2,168,332 ","$2,562,112 ","$2,919,760 ","$2,807,307 ","$3,026,575 ","$3,608,617 ","$4,289,260 ","$4,097,790 ","$4,315,981 ","$4,634,786 ","$4,297,219 ","$4,139,555 ","$4,315,559 ","$4,182,296 ","$4,355,729 ","$4,599,679 "
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$785,689 ","$584,633 ","$591,421 "
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$116,678 ","$206,947 ","$289,000 "
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,OT,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,DO,Operating,"$502,387 ","$733,204 ","$921,224 ","$806,136 ","$842,570 ","$921,687 ","$1,029,590 ","$1,155,828 ","$1,320,163 ","$1,390,318 ","$1,424,473 ","$1,531,173 ","$2,282,577 ","$2,613,527 ","$2,678,049 ","$2,447,434 ","$3,598,548 ","$3,894,273 ","$3,772,835 ","$3,845,806 ","$4,531,836 ","$4,821,971 ","$5,144,959 ","$5,550,632 ","$5,653,551 ","$6,151,501 ","$6,670,682 "
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"$4,420,662 ","$5,142,012 ","$6,390,931 ","$6,339,895 ","$6,056,134 ","$6,147,295 ","$5,693,046 ","$5,987,372 ","$6,200,786 ","$6,422,004 ","$6,878,240 ","$8,904,885 ","$8,434,417 ","$8,501,933 ","$9,472,685 ","$11,043,240 ","$12,277,276 ","$12,858,718 ","$13,340,826 ","$14,240,792 ","$13,798,009 ","$13,771,289 ","$13,427,819 ","$14,020,388 ","$13,359,119 ","$13,844,938 ","$15,167,684 "
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,"$288,845 ","$546,822 ","$508,116 ","$475,578 "
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,DR,PT,Operating,"$346,842 ","$392,294 ","$496,328 ","$710,910 ","$950,120 ","$1,002,384 ","$630,099 ","$776,649 ","$709,263 ","$683,454 ","$768,518 ","$761,015 ","$823,520 ","$889,220 ","$1,072,484 ","$1,118,430 ","$1,148,338 ","$1,555,807 ","$1,309,235 ","$1,330,026 ","$1,305,389 ","$1,377,516 ","$1,276,618 ","$1,201,972 ","$1,365,181 ","$1,181,677 ","$1,181,925 "
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,MB,DO,Operating,"$2,758,740 ","$3,066,849 ","$3,476,620 ","$3,511,278 ","$3,121,699 ","$3,178,835 ","$3,271,971 ","$3,307,122 ","$3,461,189 ","$3,340,598 ","$3,427,379 ","$3,768,008 ","$3,957,559 ","$4,285,977 ","$4,582,787 ","$4,960,124 ","$5,165,839 ","$5,636,754 ","$5,543,089 ","$5,760,027 ","$5,829,541 ","$6,052,247 ","$6,175,199 ","$6,226,865 ","$6,014,388 ","$5,914,174 ","$6,179,667 "
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,VP,DO,Operating,,,,,,,,,,,,"$36,084 ","$64,869 ","$78,531 ","$111,862 ","$136,032 ","$197,476 ","$295,255 ","$280,570 ","$330,517 ","$397,464 ","$403,342 ","$322,558 ","$210,961 ","$231,493 ","$206,839 ","$210,583 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,DR,PT,Operating,"$442,521 ","$733,465 ","$822,637 ","$886,798 ","$786,408 ","$883,986 ","$997,425 ","$1,043,350 ","$1,113,212 ","$1,244,050 ","$1,579,574 ","$1,930,674 ","$2,125,281 ","$2,126,289 ","$2,326,441 ","$2,636,441 ","$3,133,939 ","$3,432,854 ","$3,682,680 ","$4,324,563 ","$4,818,502 ","$5,181,209 ","$5,428,616 ","$5,453,926 ","$5,775,542 ","$6,219,894 ","$5,879,943 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"$3,508,410 ","$3,776,453 ","$3,988,256 ","$4,305,354 ","$5,620,593 ","$7,927,276 ","$9,132,083 ","$7,803,055 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,MB,DO,Operating,"$9,684,896 ","$10,432,547 ","$11,254,153 ","$12,024,017 ","$13,464,295 ","$14,310,975 ","$15,310,262 ","$16,866,583 ","$18,649,899 ","$20,097,039 ","$21,406,695 ","$22,367,336 ","$22,162,443 ","$23,305,977 ","$25,247,343 ","$26,868,693 ","$29,461,278 ","$31,939,788 ","$33,097,049 ","$33,191,426 ","$28,992,484 ","$29,010,513 ","$29,195,808 ","$30,073,442 ","$31,411,344 ","$31,641,487 ","$37,772,178 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,"$135,391 ","$125,632 ","$133,131 ","$162,583 ","$174,103 ","$172,498 ","$165,302 ","$223,335 ","$234,419 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,RB,DO,Operating,,,,,,,,,,,,,,,,,,,,,"$4,028,978 ","$5,533,908 ","$5,583,993 ","$5,641,027 ","$5,413,562 ","$4,717,777 ","$6,463,202 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,"$16,068 ","$38,347 ","$40,873 ","$88,059 ","$97,631 ","$134,778 ","$137,945 ","$135,738 ","$189,187 ","$207,965 ","$327,771 ","$386,577 ","$334,487 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,CR,PT,Discontinued,,,,,,,,,,,,,,,,,,,"$3,165,285 ","$6,245,998 ",$0 ,$0 ,,$0 ,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DR,DO,Discontinued,,,,,"$187,000 ","$599,919 ","$721,059 ","$817,460 ","$646,155 ",,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DR,PT,Operating,"$5,927,852 ","$5,311,236 ","$5,690,843 ","$6,629,682 ","$11,178,334 ","$13,192,851 ","$14,941,457 ","$10,916,064 ","$12,611,230 ","$16,039,333 ","$15,559,002 ","$17,082,690 ","$18,421,275 ","$22,047,636 ","$24,879,279 ","$27,025,361 ","$28,982,675 ","$30,754,404 ","$34,973,480 ","$29,854,742 ","$30,002,642 ","$31,193,678 ","$32,176,213 ","$32,761,113 ","$32,550,155 ","$33,364,427 ","$35,839,809 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"$3,459,956 ","$3,576,367 ","$3,702,389 ","$3,409,839 ","$3,702,637 ","$4,123,042 ","$4,938,111 ","$5,072,747 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,LR,DO,Operating,"$7,557,140 ","$11,440,988 ","$11,675,773 ","$14,450,117 ","$16,397,499 ","$18,406,745 ","$20,021,756 ","$22,255,163 ","$34,435,225 ","$41,340,661 ","$40,035,484 ","$56,257,767 ","$55,295,890 ","$56,965,750 ","$67,590,404 ","$69,990,063 ","$73,656,174 ","$84,120,139 ","$96,777,187 ","$106,374,746 ","$93,399,347 ","$99,710,015 ","$99,326,676 ","$108,121,769 ","$111,472,031 ","$128,642,637 ","$138,797,386 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,MB,DO,Operating,"$65,462,933 ","$84,992,620 ","$96,047,449 ","$100,614,986 ","$111,504,650 ","$112,595,218 ","$118,527,989 ","$120,935,926 ","$136,289,240 ","$146,744,971 ","$153,860,651 ","$170,037,154 ","$171,402,358 ","$183,577,437 ","$200,999,113 ","$203,266,221 ","$207,701,265 ","$223,177,624 ","$230,412,162 ","$239,080,000 ","$222,887,559 ","$230,726,059 ","$239,125,561 ","$240,939,589 ","$236,793,871 ","$251,249,183 ","$261,867,139 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,MB,PT,Discontinued,"$149,310 ","$482,637 ","$480,801 ","$471,521 ","$369,822 ",,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,SR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,"$7,695,125 ",$0 ,,$0 ,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,SR,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,$0 
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,YR,PT,Operating,,,,,,,,,,,,,,,,,,,,,"$6,256,607 ","$6,486,920 ","$7,036,033 ","$6,813,294 ","$6,668,314 ","$7,898,519 ","$7,152,572 "
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$37,416 ","$158,398 ","$132,639 "
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$345,789 ","$272,032 ","$537,086 "
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$235,693 ","$211,848 ","$270,499 "
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$162,931 ","$205,515 ","$194,280 "
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,DR,DO,Operating,"$66,375 ","$78,289 ","$141,298 ","$272,072 ","$312,533 ","$367,402 ","$367,247 ","$449,315 ","$287,253 ","$543,543 ","$549,655 ","$673,827 ","$885,910 ","$892,807 ","$838,552 ","$865,847 ","$1,136,493 ","$1,235,811 ","$1,081,664 ","$1,043,735 ","$1,242,547 ","$1,250,133 ","$1,289,329 ","$1,370,564 ","$1,450,881 ","$1,854,330 ","$2,249,922 "
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,DR,PT,Discontinued,,,,,,,,,,,,,"$18,088 ","$120,426 ","$111,331 ","$100,198 ","$129,260 ","$133,510 ","$92,975 ","$93,148 ",$0 ,$0 ,,$0 ,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,MB,DO,Operating,"$1,792,147 ","$1,920,920 ","$2,279,057 ","$2,683,167 ","$2,730,214 ","$2,891,678 ","$3,011,482 ","$3,457,720 ","$3,524,809 ","$3,892,649 ","$4,393,511 ","$4,595,980 ","$5,353,046 ","$5,577,881 ","$5,477,158 ","$5,158,247 ","$5,560,363 ","$5,856,756 ","$5,363,752 ","$5,890,974 ","$6,963,567 ","$6,870,580 ","$7,233,541 ","$8,187,561 ","$8,281,091 ","$9,571,214 ","$10,571,737 "
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,"$306,511 ","$749,872 ","$1,201,386 ","$1,156,359 ","$1,194,443 ","$1,602,283 ","$1,413,958 ","$1,181,496 ",$0 ,$0 ,,$0 ,,,
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,DR,PT,Operating,"$465,649 ","$475,060 ","$560,238 ","$606,118 ","$809,050 ","$1,017,945 ","$1,186,434 ","$1,953,439 ","$2,046,070 ","$2,096,253 ","$2,689,109 ","$3,237,580 ","$3,425,188 ","$3,625,753 ","$3,885,526 ","$4,697,388 ","$5,089,787 ","$5,235,681 ","$5,389,233 ","$5,586,875 ","$6,131,038 ","$6,715,640 ","$6,216,617 ","$6,117,572 ","$6,057,011 ","$6,072,582 ","$5,703,984 "
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,MB,DO,Operating,"$10,389,114 ","$10,355,779 ","$10,093,929 ","$9,913,965 ","$10,022,398 ","$10,039,845 ","$10,092,857 ","$10,511,109 ","$10,608,455 ","$10,587,160 ","$11,719,129 ","$12,681,744 ","$13,564,209 ","$15,826,686 ","$17,584,120 ","$17,595,005 ","$19,956,753 ","$21,719,335 ","$20,567,584 ","$20,675,789 ","$22,247,133 ","$23,685,839 ","$23,530,609 ","$23,349,065 ","$23,475,710 ","$23,154,945 ","$22,261,016 "
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",New in 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,"$819,377 "
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,VP,PT,Operating,,,,,,"$144,147 ","$169,994 ","$175,753 ","$205,437 ","$228,219 ","$265,591 ","$301,409 ","$393,434 ","$437,113 ","$500,354 ","$68,583 ","$58,698 ","$85,060 ","$64,831 ","$74,008 ","$84,572 ","$125,003 ","$320,591 ","$301,620 ","$180,820 ","$1,175,723 ","$1,011,167 "
