5 digit NTDID,AgencyID,Reporter Name,Reporter Type,Mode,TOS,Bio Diesel,Bunker Fuel,C Nat Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquefied Nat Gas,Liquefied Petroleum Gas,Other Fuel,Other Energy Desc
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,LR,DO,,,,,,,"52,611,944",,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,MB,DO,"5,433,541",,,,0,,,,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,YR,PT,"113,814",,,,0,,,,,,,,,,
11,11,Valley Regional Transit,Full Reporter: Operating,DR,DO,0,,"43,979",,"8,170",,,,"5,485",,,,,,
11,11,Valley Regional Transit,Full Reporter: Operating,MB,DO,0,,"455,620",,"10,049",,,,"10,626",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter: Operating,DR,PT,,,,,,,,,"163,332",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter: Operating,MB,DO,0,,,,"581,881",,,,,,,,,,
16,16,RiverCities Transit,Full Reporter: Operating,DR,PT,"5,258",,,,0,,,,"28,779",,,,,,
16,16,RiverCities Transit,Full Reporter: Operating,MB,DO,,,,,"76,383",,,,,,,,,,
18,18,Ben Franklin Transit,Full Reporter: Operating,DR,DO,0,,,,"10,113",,,,"347,261",,,,,,
18,18,Ben Franklin Transit,Full Reporter: Operating,DR,PT,0,,,,0,,,,0,,,,,,
18,18,Ben Franklin Transit,Full Reporter: Operating,MB,DO,0,,,,"467,586",0,,,,,,,,,
18,18,Ben Franklin Transit,Full Reporter: Operating,VP,DO,0,,,,"6,153",,,,"322,217",,,,,,
19,19,Intercity Transit,Full Reporter: Operating,CB,DO,"104,733",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter: Operating,DR,DO,"96,375",,,,0,,,,"4,852",,,,,,
19,19,Intercity Transit,Full Reporter: Operating,MB,DO,"513,189",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter: Operating,VP,DO,,,,,,,,,"233,863",,,,,,
20,20,Kitsap Transit,Full Reporter: Operating,DR,DO,0,,,,"142,848",,,,"1,562",,,,,,
20,20,Kitsap Transit,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
20,20,Kitsap Transit,Full Reporter: Operating,FB,PT,0,,,,"41,063",,,,"5,649",,,,,,
20,20,Kitsap Transit,Full Reporter: Operating,MB,DO,0,,,,"438,102",,,,,,,,,,
20,20,Kitsap Transit,Full Reporter: Operating,VP,DO,0,,,,"1,040",,,,"4,640",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"136,673",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
21,21,Whatcom Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"382,083",,,,,,,,,,
21,21,Whatcom Transportation Authority,Full Reporter: Operating,VP,DO,,,,,,,,,"40,866",,,,,,
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter: Operating,MG,PT,,,,,,,"629,442",,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,CB,DO,0,,,,"167,679",,,,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,0,,,,"166,294",,,,"9,183",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,0,,,,"783,159",,,,"8,243",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,,,,,,,,,"21,651",,,,,,
25,25,Salem Area Mass Transit District,Full Reporter: Operating,DR,PT,0,,,,0,,,0,0,,,,,,
25,25,Salem Area Mass Transit District,Full Reporter: Operating,MB,DO,0,,"341,353",,"230,551",,,,,,,,,,
25,25,Salem Area Mass Transit District,Full Reporter: Operating,VP,PT,,,,,,,,,0,,,,,,
28,28,Pierce County Ferry Operations,Full Reporter: Operating,FB,PT,0,,,,0,,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,CB,DO,0,,,,"369,910",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,CB,PT,0,,,,"472,858",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,DR,PT,0,,,,"84,121",,,,"136,631",,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,MB,DO,0,,,,"1,211,709",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,VP,DO,,,,,,,,,"276,684",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter: Operating,DR,PT,,,,,,,,,"47,135",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter: Operating,MB,DO,0,,"172,149",,"41,666",,,,,,,,,,
35,35,Washington State Ferries,Full Reporter: Operating,FB,DO,"740,837",,,,"16,660,027",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CB,DO,0,,"199,269",,"2,455,525",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CB,PT,0,,,,"861,295",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CR,PT,0,,,,"1,310,021",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,LR,DO,,,,,,,"12,110,200",,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,SR,DO,,,,,,,"412,506",,,,,,,,
41,41,Alaska Railroad Corporation,Full Reporter: Operating,AR,DO,0,,,,"777,236",,,,,,,,,,
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
43,43,Link Transit,Full Reporter: Operating,DR,DO,0,,,,340,,,,"14,719",,,,"10,785",,
43,43,Link Transit,Full Reporter: Operating,DR,PT,,,,,,,,,955,,,,,,
43,43,Link Transit,Full Reporter: Operating,MB,DO,0,,,,"236,481","26,099",,,,,,,"45,167",,
44,44,Skagit Transit,Full Reporter: Operating,CB,DO,0,,,,"52,384",,,,,,,,,,
44,44,Skagit Transit,Full Reporter: Operating,DR,DO,0,,,,"35,135",,,,,,,,,,
44,44,Skagit Transit,Full Reporter: Operating,MB,DO,0,,,,"156,314",,,,,,,,,,
44,44,Skagit Transit,Full Reporter: Operating,VP,DO,,,,,,,,,"65,430",,,,,,
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
46,46,South Metro Area Regional Transit,Small Systems Reporter,DR,DO,0,,0,,0,,,,0,,,,,,
46,46,South Metro Area Regional Transit,Small Systems Reporter,MB,DO,0,,0,,0,,,,0,,,,,,
47,47,City of Corvallis,Full Reporter: Operating,MB,PT,"94,951",,,,0,,,,,,,,,,
48,48,Lewiston Transit System,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
48,48,Lewiston Transit System,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
49,49,"vRide, Inc. - Anchorage",Full Reporter: Operating,VP,DO,,,,,,,,,"120,001",,,,,,
51,51,Asotin County PTBA,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
51,51,Asotin County PTBA,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
51,51,Asotin County PTBA,Small Systems Reporter,VP,DO,,,,,,,,,0,,,,,,
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
54,54,King County Ferry District,Full Reporter: Operating,FB,DO,0,,,,"173,316",,,,,,,,,,
55,55,Kootenai County,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
55,55,Kootenai County,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,CB,DO,"30,123",,,,0,,,,"4,906",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,DR,DO,,,,,,,,,"24,425",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,DR,PT,,,,,,,,,"27,542",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,MB,PT,"30,273",,,,0,,,,"5,908",,,,,,
58,58,City of Portland,Full Reporter: Operating,SR,PT,,,,,,,"2,101,246",,,,,,,,
58,58,City of Portland,Full Reporter: Operating,TR,PT,,,,,,,"387,000",,,,,,,,
59,59,Josephine County,Small Systems Reporter,CB,DO,,,,,,,,,0,,,,,,
59,59,Josephine County,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
59,59,Josephine County,Small Systems Reporter,MB,DO,,,,,,,,,0,,,,,,
60,60,The Tulalip Tribes of Washington,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
61,61,City of Albany,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
61,61,City of Albany,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
63,63,City of Milton-Freewater,Small Systems Reporter,DT,PT,,,,,,,,,0,,,,,,
63,63,City of Milton-Freewater,Small Systems Reporter,MB,PT,,,,,,,,,0,,,,,,
64,64,Valley Transit,Small Systems Reporter,DR,DO,,,0,,,,,,,,,,,,
64,64,Valley Transit,Small Systems Reporter,MB,DO,0,,0,,0,,,,,,,,,,
64,64,Valley Transit,Small Systems Reporter,VP,DO,,,,,,,,,0,,,,,,
65,65,Benton County,Small Systems Reporter,CB,PT,0,,,,0,,,,,,,,,,
65,65,Benton County,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"350,301",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"74,461",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"1,985,041",,,,,,,,,,
10002,1002,Manchester Transit Authority,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
10002,1002,Manchester Transit Authority,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,CR,PT,0,,,,"14,388,712",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"2,089,182",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,FB,PT,0,,,,"823,832",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,HR,DO,,,,,,,"209,822,770",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,LR,DO,,,,,,,"53,813,607",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,MB,DO,0,,"4,041,844",,"5,486,464",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,MB,PT,0,,,,"77,026",,,,"62,140",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,RB,DO,0,,,,"247,264",,"2,209,158",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,TB,DO,,,,,,,"2,872,531",,,,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"93,136",,,,0,,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"308,457",,,,,,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"27,536",,,,"3,290",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"4,966",,,,"39,237",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,"18,895",,"231,503",,,,"43,383",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"25,928",,,,"33,742",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"360,727",,,,,,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"38,470",,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"100,971",0,,,"42,318",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"393,410",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter: Operating,MB,PT,"968,567",,,,0,,,,"21,224",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,CB,PT,0,,,,"31,876",,,,,,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"67,859",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"348,739",,,,,,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"25,493",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"57,430",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"410,424","52,088",,,"9,268",,,,,,
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,DR,PT,,,,,,,,,0,,,,,,
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,MB,PT,0,,,,0,,,,,,,,,,
10016,1016,Greater Portland Transit District,Full Reporter: Operating,MB,DO,0,,"157,230",,"77,234",,,,,,,,,,
10017,1017,Greater Hartford Transit District,Full Reporter: Operating,DR,PT,0,,"46,088",,"296,653",,,,"47,788",,,,,,
10040,1040,Southeast Area Transit,Full Reporter: Operating,DR,PT,0,,,,"7,873",,,,0,,,,,,
10040,1040,Southeast Area Transit,Full Reporter: Operating,MB,DO,0,,,,"240,520",,,,,,,,,,
10042,1042,Valley Transit District,Full Reporter: Operating,DR,DO,,,,,,,,,"46,787",,,,,,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter: Operating,CB,PT,0,,,,"100,425",,,,,,,,,,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter: Operating,MB,PT,0,,,,"38,729",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter: Operating,MB,DO,0,,,,"1,978,818",,,,,0,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter: Operating,DR,DO,,,,,,,,,"272,172",,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter: Operating,MB,DO,,,,,,,,,"6,199",0,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"57,284",,,,,,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"598,145",,,,,,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter: Operating,DR,DO,0,,,,"54,662",,,,0,,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter: Operating,MB,DO,0,,,,"226,589",,,,"4,316",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter: Operating,DR,PT,0,,,,"7,575",,,,"22,610",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter: Operating,MB,PT,0,,,,"34,706",,,,"5,181",,,,,,
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter: Operating,MB,DO,0,,,,"1,140,831",,,,,,,,,,
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter: Operating,MB,DO,0,,,,"480,724",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter: Operating,DR,DO,0,,,,"43,270",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter: Operating,DR,PT,0,,,,"4,417",,,,"41,038",,,,,,
10057,1057,Norwalk Transit District,Full Reporter: Operating,MB,DO,0,,,,"296,972",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter: Operating,MB,PT,0,,,,"9,820",,,,"1,121",,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"25,727",,,,"279,552",,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"117,557",,,,,,,,,,
10063,1063,Middletown Transit District,Full Reporter: Operating,DR,DO,0,,,,"12,453",,,,,,,,,,
10063,1063,Middletown Transit District,Full Reporter: Operating,MB,DO,0,,,,"92,183",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,CB,PT,0,,,,"58,708",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"4,259",,,,"173,525",,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"179,742",,,,"68,065",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,CB,DO,0,,,,"97,352",,,,,,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"45,445",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"288,005",,,,,,,,,,
10069,1069,"Regional Transportation Program, Inc.",Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,DR,DO,,,,,,,,,0,,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
10087,1087,Nashua Transit System,Full Reporter: Operating,DR,PT,"15,833",,,,0,,,,,,,,,,
10087,1087,Nashua Transit System,Full Reporter: Operating,MB,PT,"79,493",,,,0,,,,,,,,,,
10088,1088,Casco Bay Island Transit District,Full Reporter: Operating,FB,DO,0,,,,"247,473",,,,,,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,MB,DO,0,,,,0,,,,0,,,,,,
10099,1099,York County Community Action Corporation,Small Systems Reporter,DR,DO,0,,,,0,,,,0,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter: Operating,CB,PT,0,,,,"111,529",,,,,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter: Operating,CR,PT,0,,,,"1,572,136",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,CB,PT,0,,,,"23,643",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,0,,,,"250,842",,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"140,750",,,,"56,842",,,,,,
10107,1107,Milford Transit District,Full Reporter: Operating,DR,DO,,,,,,,,,"52,214",,,,,,
10107,1107,Milford Transit District,Full Reporter: Operating,MB,DO,0,,,,"80,443",,,,,,,,,,
10108,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Full Reporter: Operating,VP,DO,,,,,,,,,"293,746",,,,,,
10112,1112,South Portland Bus Service,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
10114,1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Small Systems Reporter,MB,DO,0,,,,0,,,,,,,,,,
10115,1115,Northern New England Passenger Rail Authority,Full Reporter: Operating,CR,PT,0,,,,"1,012,581",,,,,,,,,,
10117,1117,Plymouth & Brockton Street Railway Company,Full Reporter: Operating,CB,DO,0,,,,"241,364",,,,,,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter: Operating,DR,PT,0,,,,0,,,,"64,410",,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter: Operating,MB,PT,0,,,,"17,783",,,,"93,538",,,,,,
10119,1119,University Of New Hampshire - University Transportation Services,Full Reporter: Operating,MB,DO,"70,650",,"46,320",,"20,963",,,,,,,,,,
10122,1122,"Jalbert Leasing, Inc. dba C&J",Small Systems Reporter,CB,DO,0,,,,0,,,,,,,,,,
10123,1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
10123,1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Small Systems Reporter,MB,PT,,,,,,,,,0,,,,,,
10125,1125,Berkshire Regional Transit Authority Council on Aging,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
10126,1126,Worcester Regional Transit Authority COA,Full Reporter: Operating,DR,PT,,,,,,,,,"32,488",,,,,,
10126,1126,Worcester Regional Transit Authority COA,Full Reporter: Operating,MB,PT,,,,,,,,,734,,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter: Operating,DR,PT,0,,,,"67,914",,,,"25,270",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter: Operating,MB,PT,0,,,,"274,369",,,,"4,350",,,,,,
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter: Operating,MB,PT,0,,,,"168,185",,,,,,,,,,
10132,1132,State of Connecticut - CTTransit - Nason - Torrington-Winsted,Small Systems Reporter,CB,PT,0,,,,0,,,,,,,,,,
10133,1133,"Boston Express Bus, Inc.",Small Systems Reporter,CB,DO,0,,,,0,,,,,,,,,,
11154,1135,"Flight Line, Inc.",Full Reporter: Operating,CB,DO,0,,,,"57,380",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter: Operating,CB,PT,0,,,,"96,249",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter: Operating,DR,DO,"48,092",,,,"273,737",,,,"100,756",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter: Operating,MB,DO,"234,803",,,,"1,336,479",,,,"3,359",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter: Operating,VP,PT,,,,,,,,,"4,662",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter: Operating,DR,DO,0,,,,"14,352",,,,"15,277",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter: Operating,DR,PT,0,,,,"1,146",,,,"53,371",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter: Operating,MB,DO,0,,,,"323,910",,,,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter: Operating,DR,DO,0,,,,"132,337",,,,"121,887",,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter: Operating,LR,DO,,,,,,,"9,062,692",,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter: Operating,MB,DO,0,,,,"2,131,713",,,,,,,,,,
20005,2005,C-TRAN,Small Systems Reporter,DR,PT,0,,,,0,,,,0,,,,,,
20005,2005,C-TRAN,Small Systems Reporter,MB,PT,0,,,,0,,,,0,,,,,,
20006,2006,City of Long Beach,Full Reporter: Operating,DR,DO,,,,,,,,,"12,067",,,,,,
