NTD ID,AgencyID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
10040,1040,Southeast Area Transit,Full Reporter,Urban,DR,PT,0,,,,0,,,,"11,643",,,,,,
10040,1040,Southeast Area Transit,Full Reporter,Urban,MB,DO,0,,,,"234,720",,,,"6,272",,,,,,
10042,1042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"4,996",,,,"57,460",,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,0,,,,"228,169",,,,,,,,,,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,0,,,,"58,511",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,0,,,,"2,261,142",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,0,,,,"251,017",,,,,,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"271,212",,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"64,581",,,,,,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"565,383",,,,,,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,0,,,,"21,620",,,,"33,501",,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,0,,,,"171,893",,,,"43,649",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"22,480",,,,,,
10053,1053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,0,,,,"25,950",,,,"6,040",,,,,,
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,0,,,,"1,173,823",,,,,,,,,,
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,0,,,,"366,156",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,,,,"41,046",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,DR,PT,0,,,,"2,151",,,,"44,168",,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,MB,DO,0,,,,"274,547",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Urban,MB,PT,0,,,,"9,217",,,,60,,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"9,106",,,,"318,659",,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"110,926",,,,"3,835",,,,,,
10063,1063,Middletown Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"22,498",,,,,,
10063,1063,Middletown Transit District,Full Reporter,Urban,MB,DO,0,,,,"85,246",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"205,265",,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"181,563",,,,"78,089",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,CB,DO,0,,,,"125,749",,,,,,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"36,182",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Urban,MB,DO,0,,,,"298,472",,,,,,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,,"23,981",,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,"8,002",,,,"133,539",,,,"1,667",,,,,,
10087,1087,Nashua Transit System,Full Reporter,Urban,DR,PT,"15,635",,,,0,,,,,,,,,,
10087,1087,Nashua Transit System,Full Reporter,Urban,MB,PT,"77,201",,"8,924",,0,,,,,,,,,,
10088,1088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,"42,947",,,,"229,739",,,,,,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,0,,,,"4,739",,,,"37,021",,,,,,
10098,1098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,0,,,,"17,780",,,,"13,512",,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,0,,,,"112,478",,,,,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,0,,,,"1,473,998",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"253,389",,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,"100,238",,,,"74,697",,,,"68,212",,,,,,
10107,1107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,"40,047",,,,,,
10107,1107,Milford Transit District,Full Reporter,Urban,MB,DO,"81,100",,,,0,,,,,,,,,,
10115,1115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,0,,,,"892,759",,,,,,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"116,256",,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,,,,,,"164,859",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,0,,,,"36,049",,,,"80,261",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,0,,,,"281,424",,,,"4,050",,,,,,
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,0,,,,"221,443",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,0,,,,"3,069,945",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,0,,,,"58,816",,,,,,,,,,
11147,,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,0,,,,"129,914",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,0,,,,"94,735",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,0,,,,"338,355",,,,"132,661",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,0,,,,"1,681,913",,,,"4,422",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,"9,239",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,DR,DO,0,,,,"5,101",,,,"22,031",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,DR,PT,0,,,,"3,586",,,,"54,334",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Urban,MB,DO,0,,,,"287,222",,,,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,0,,"33,287",,"81,806",,,,"135,148",,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,,"9,361,196",,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,0,,"403,221",,"1,827,096",,,,,,,,,,
20006,2006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,,"9,444",,,,,,
20006,2006,City of Long Beach,Full Reporter,Urban,MB,DO,0,,,,"63,605",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,CB,DO,0,,,,"3,759,168",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,DR,PT,0,,,,"2,768,571",,,,"2,988,706",,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,,"1,624,428,000",,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,MB,DO,0,,"5,566,816",,"28,432,940",831,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Urban,RB,DO,0,,,,"1,461,540",,,,,,,,,,
20010,2010,"Dutchess County Department of Public Works, Division of Public Transit",Full Reporter,Urban,DR,DO,0,,,,"43,417",,,,,,,,,,
20010,2010,"Dutchess County Department of Public Works, Division of Public Transit",Full Reporter,Urban,MB,DO,0,,,,"169,342",,,,,,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,0,,,,"66,232",,,,"44,885",,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"67,910",,,,,,
20018,2018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,"858,717",,"624,101",,,,,,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Urban,DR,DO,0,,,,"2,677",,,,"41,519",,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Urban,MB,DO,0,,,,"52,250",,,,,,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Urban,DR,PT,0,,,,"204,547",,,,"967,713",,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Urban,MB,PT,0,,,,"1,739,992",,,,"31,895",,,,,,
20075,2075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,,"42,549,129",,,,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Urban,DR,PT,0,,,,345,,,,"310,237",,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Urban,MB,PT,0,,,,"3,107,245",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,0,,,,"6,962,313",,"480,357,432",,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,,,,"220,571",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,0,,,,"53,275",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,0,,,,"13,972,747",,"390,092,073",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,0,,,,"151,556",,,,"1,913,747",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,,"6,401,145",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,,"25,027,249",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,0,,"1,572,628",,"21,684,287",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,0,,,,"1,903,966",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,,"221,209",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,0,,,,"705,900",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,0,,,,"246,634",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,0,,,,"4,671,115",,,,,,,,,,
20084,2084,Transport of Rockland,Full Reporter,Urban,DR,DO,0,,,,775,,,,"66,810",,,,,,
20084,2084,Transport of Rockland,Full Reporter,Urban,MB,PT,0,,,,"563,793",,,,"36,049",,,,,,
20096,2096,Putnam County Transit,Full Reporter,Urban,DR,PT,,,,,,,,,"23,459",,,,,,
20096,2096,Putnam County Transit,Full Reporter,Urban,MB,PT,0,,,,"16,052",,,,"42,414",,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,0,,,,"607,488",,,,,,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,,"100,714,919",,,,,,,,
20099,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Full Reporter,Urban,HR,DO,,,,,,,"25,209,983",,,,,,,,
20100,2100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,0,,,,"7,204,309",,"519,755,600",,,,,,,,
20113,2113,RTS - Monroe County,Full Reporter,Urban,DR,DO,0,,,,"23,575",,,,"210,136",,,,,,
20113,2113,RTS - Monroe County,Full Reporter,Urban,MB,DO,0,,,,"1,460,007",,,,,,,,,,
