5 Digit NTD ID,AgencyID,Agency Name,Reporter Type,Form Module Type,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
5,5,Everett Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"308,083",,,,,,,,,,
6,6,Yakima Transit,Full Reporter,Full Reporter,CB,PT,0,,,,"20,429",,,,"3,691",,,,,,
6,6,Yakima Transit,Full Reporter,Full Reporter,DR,PT,0,,,,"3,111",,,,"41,321",,,,,,
6,6,Yakima Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"166,358",,,,,,,,,,
6,6,Yakima Transit,Full Reporter,Full Reporter,VP,DO,0,,,,"1,147",,,,"23,722",,,,,,
7,7,Lane Transit District,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"181,990",,,,,,
7,7,Lane Transit District,Full Reporter,Full Reporter,MB,DO,0,,,,"702,375",,,,,,,,,,
7,7,Lane Transit District,Full Reporter,Full Reporter,MB,PT,"9,739",,,,0,,,,418,,,,,,
7,7,Lane Transit District,Full Reporter,Full Reporter,RB,DO,,,,,"148,424",,,,,,,,,,
7,7,Lane Transit District,Full Reporter,Full Reporter,VP,PT,,,,,,,,,"26,099",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,DR,PT,"751,047",,,,0,,,,"35,619",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,LR,DO,,,,,,,"52,187,092",,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,MB,DO,"5,320,323",,,,0,,,,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,YR,PT,"110,027",,,,0,,,,,,,,,,
11,11,Valley Regional Transit,Full Reporter,Full Reporter,DR,DO,0,,"56,371",,"14,004",,,,"5,417",,,,,,
11,11,Valley Regional Transit,Full Reporter,Full Reporter,MB,DO,0,,"457,466",,"8,644",,,,"15,244",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"164,938",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Full Reporter,MB,DO,0,,,,"534,436",,,,,,,,,,
16,16,RiverCities Transit,Full Reporter,Full Reporter,DR,PT,"2,717",,,,0,,,,"30,755",,,,,,
16,16,RiverCities Transit,Full Reporter,Full Reporter,MB,DO,"74,987",,,,0,,,,,,,,,,
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,DR,DO,0,,,,"310,994",,,,"2,461",,,,,,
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,DR,PT,0,,,,572,,,,"18,099",,,,,,
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"468,019",0,,,,,,,,,
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,VP,DO,0,,,,0,,,,"279,669",,,,,,
19,19,Intercity Transit,Full Reporter,Full Reporter,CB,DO,"106,187",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter,Full Reporter,DR,DO,"101,151",,,,0,,,,"3,850",,,,,,
19,19,Intercity Transit,Full Reporter,Full Reporter,MB,DO,"499,564",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"217,246",,,,,,
20,20,Kitsap Transit,Full Reporter,Full Reporter,DR,DO,0,,,,"132,905",,,,386,,,,,"18,902",Propane
20,20,Kitsap Transit,Full Reporter,Full Reporter,FB,PT,0,,,,"47,898",,,,646,,,,,,
20,20,Kitsap Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"460,736",,,,,,,,,,
20,20,Kitsap Transit,Full Reporter,Full Reporter,VP,DO,0,,,,"9,982",,,,"50,867",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"139,248",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"390,327",,,,,,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"33,298",,,,,,
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Full Reporter,MG,PT,,,,,,,"669,680",,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,CB,DO,0,,,,"166,784",,,,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,DO,0,,,,"176,782",,,,"9,545",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"779,812",,,,"8,295",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"21,135",,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,DR,PT,"38,563",,,,0,,,0,"304,212",,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,MB,DO,"232,909",,"329,471",,"7,490",,,,,,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,VP,PT,,,,,,,,,"31,968",,,,,,
28,28,Pierce County Ferry Operations,Full Reporter,Full Reporter,FB,PT,0,,,,"192,400",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,CB,DO,0,,,,"388,922",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,CB,PT,0,,,,"479,210",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,DR,PT,0,,,,"32,680",,,,"200,965",,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,MB,DO,0,,,,"1,348,805",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"268,993",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"44,121",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter,Full Reporter,MB,DO,0,,"165,836",,"39,147",,,,,,,,,,
35,35,Washington State Ferries,Full Reporter,Full Reporter,FB,DO,"669,996",,,,"16,613,793",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CB,DO,0,,"180,792",,"2,380,445",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CB,PT,0,,,,"836,598",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CR,PT,0,,,,"1,194,166",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,LR,DO,,,,,,,"12,700,800",,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,SR,DO,,,,,,,"400,130",,,,,,,,
41,41,Alaska Railroad Corporation,Full Reporter,Full Reporter,AR,DO,0,,,,"804,604",,,,,,,,,,
43,43,Link Transit,Full Reporter,Full Reporter,DR,DO,0,,,,318,,,,"13,643",,,,"12,182",,
43,43,Link Transit,Full Reporter,Full Reporter,DR,PT,,,,,,,,,692,,,,,,
43,43,Link Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"233,785","71,804",,,,,,,"46,950","7,460",Bifuel Gasoline
44,44,Skagit Transit,Full Reporter,Full Reporter,CB,DO,0,,,,"51,075",,,,,,,,,,
44,44,Skagit Transit,Full Reporter,Full Reporter,DR,DO,0,,,,"36,115",,,,,,,,,,
44,44,Skagit Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"155,381",,,,,,,,,,
44,44,Skagit Transit,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"63,006",,,,,,
47,47,City of Corvallis,Full Reporter,Full Reporter,MB,PT,0,,,,"96,423",,,,,,,,,,
49,49,"vRide, Inc. - Anchorage",Full Reporter,Full Reporter,VP,DO,,,,,,,,,"117,093",,,,,,
54,54,King County Ferry District,Full Reporter,Full Reporter,FB,DO,"93,655",,,,"110,260",,,,,,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Full Reporter,CB,DO,"26,481",,,,0,,,,"9,427",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"22,330",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"24,725",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Full Reporter,MB,PT,"25,894",,,,0,,,,"12,545",,,,,,
58,58,City of Portland,Full Reporter,Full Reporter,SR,PT,,,,,,,"2,133,830",,,,,,,,
58,58,City of Portland,Full Reporter,Full Reporter,TR,PT,,,,,,,"375,600",,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Full Reporter,DR,DO,0,,,,"357,551",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"47,365",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"2,026,125",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,CR,PT,0,,,,"14,134,769",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"2,050,956",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,FB,PT,0,,,,"948,275",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,HR,DO,,,,,,,"188,015,701",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,LR,DO,,,,,,,"60,570,256",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,MB,DO,0,,"4,035,185",,"5,371,125",,0,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"64,906",,,,"21,224",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,RB,DO,0,,0,,"203,600",,"9,788,210",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Full Reporter,TB,DO,,,,,,,"1,856,839",,,,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"49,772",,,,"43,550",,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"305,278",,,,,,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Full Reporter,DR,DO,0,,,,"2,736",,,,"24,934",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"3,747",,,,"50,698",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,"16,549",,"255,805",,,,"98,440",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"12,675",,,,"50,123",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"354,935",,,,,,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"35,400",,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"91,144",,,,"48,368",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"396,147",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"1,205,400",,,,"20,770",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Full Reporter,CB,PT,0,,,,"36,280",,,,,,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"79,916",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"387,600",,,,,,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"35,527",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"58,169",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"383,233","319,040",,,"16,383",,,,,,
10016,1016,Greater Portland Transit District,Full Reporter,Full Reporter,MB,DO,0,,"157,515",,"91,039",,,,,,,,,,
10017,1017,Greater Hartford Transit District,Full Reporter,Full Reporter,DR,PT,0,,"101,112",,"300,473",,,,"10,681",,,,,,
10040,1040,Southeast Area Transit,Full Reporter,Full Reporter,DR,PT,0,,,,"6,143",,,,"2,249",,,,,,
10040,1040,Southeast Area Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"237,161",,,,"2,249",,,,,,
10042,1042,Valley Transit District,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"40,021",,,,"8,737",,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Full Reporter,CB,PT,0,,,,"126,602",,,,,,,,,,
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Full Reporter,MB,PT,0,,,,"38,129",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Full Reporter,MB,DO,0,,,,"2,053,602",,,,,,,,,,
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Full Reporter,RB,DO,,,,,"64,740",,,,,,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"284,628",,,,,,
10049,1049,The Greater New Haven Transit District,Full Reporter,Full Reporter,MB,DO,,,,,,,,,"7,036",0,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"65,400",,,,,,,,,,
10050,1050,Greater Bridgeport Transit Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"598,903",,,,,,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter,Full Reporter,DR,DO,0,,,,"48,785",,,,"28,777",,,,,,
10051,1051,Housatonic Area Regional Transit ,Full Reporter,Full Reporter,MB,DO,0,,,,"214,410",,,,"21,996",,,,,,
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Full Reporter,MB,DO,0,,,,"1,147,260",,,,,,,,,,
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Full Reporter,MB,DO,0,,,,"407,037",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Full Reporter,DR,DO,0,,,,"67,901",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Full Reporter,DR,PT,0,,,,"3,354",,,,"40,959",,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Full Reporter,MB,DO,0,,,,"271,605",,,,,,,,,,
10057,1057,Norwalk Transit District,Full Reporter,Full Reporter,MB,PT,0,,,,"10,261",,,,503,,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"40,191",,,,"322,798",,,,,,
10061,1061,Montachusett Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"118,545",,,,,,,,,,
10063,1063,Middletown Transit District,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"33,521",,,,,,
10063,1063,Middletown Transit District,Full Reporter,Full Reporter,MB,DO,0,,,,"87,329",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Full Reporter,CB,PT,0,,,,"42,868",,,,,,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"189,560",,,,,,
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"187,151",,,,"62,743",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Full Reporter,CB,DO,0,,,,"116,792",,,,,,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"43,049",,,,,,
10066,1066,Chittenden County Transportation Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"300,132",,,,,,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"18,954",,,,,,
10086,1086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Full Reporter,MB,DO,"149,225",,,,531,,,,"1,823",,,,,,
10087,1087,Nashua Transit System,Full Reporter,Full Reporter,DR,PT,"15,995",,,,0,,,,,,,,,,
10087,1087,Nashua Transit System,Full Reporter,Full Reporter,MB,PT,"77,570",,"5,465",,0,,,,,,,,,,
10088,1088,Casco Bay Island Transit District,Full Reporter,Full Reporter,FB,DO,"8,391",,,,"235,535",,,,,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Full Reporter,CB,PT,0,,,,"111,766",,,,,,,,,,
10102,1102,Connecticut Department of Transportation,Full Reporter,Full Reporter,CR,PT,0,,,,"1,542,530",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Full Reporter,CB,PT,0,,,,"21,862",,,,,,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"216,204",,,,,,
10105,1105,Cape Cod Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,"97,195",,,,"76,367",,,,"44,977",,,,,,
10107,1107,Milford Transit District,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"36,430",,,,,,
10107,1107,Milford Transit District,Full Reporter,Full Reporter,MB,DO,"69,379",,,,0,,,,,,,,,,
10108,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"48,958",,,,,,
10115,1115,Northern New England Passenger Rail Authority,Full Reporter,Full Reporter,CR,PT,0,,,,"943,732",,,,,,,,,,
10117,1117,Plymouth & Brockton Street Railway Company,Full Reporter,Full Reporter,CB,DO,0,,,,"251,219",,,,,,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,0,,,,"57,942",,,,,,
10118,1118,MetroWest Regional Transit Authority,Full Reporter,Full Reporter,MB,PT,0,,,,"4,124",,,,"134,604",,,,,,
10119,1119,University Of New Hampshire - University Transportation Services,Full Reporter,Full Reporter,MB,DO,"70,650",,"49,996",,"20,963",,,,,,,,,,
10126,1126,Worcester Regional Transit Authority COA,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"31,279",,,,,,
10126,1126,Worcester Regional Transit Authority COA,Full Reporter,Full Reporter,MB,PT,,,,,,,,,"1,071",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Full Reporter,DR,PT,0,,,,"68,340",,,,"25,956",,,,,,
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Full Reporter,MB,PT,0,,,,"273,307",,,,"3,058",,,,,,
10129,1129,Massachusetts Department of Transportation,Full Reporter,Full Reporter,VP,PT,,,,,,,,,"82,429",,,,,,
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Full Reporter,MB,PT,0,,,,"185,565",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Full Reporter,FB,DO,0,,,,"2,858,734",,,,,,,,,,
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Full Reporter,MB,DO,0,,,,"46,809",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Full Reporter,CB,PT,0,,,,"97,834",,,,,,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Full Reporter,DR,DO,"23,438",,,,"311,385",,,,"109,882",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Full Reporter,MB,DO,"114,430",,,,"1,520,289",,,,"3,663",,,,,,
20002,2002,Capital District Transportation Authority,Full Reporter,Full Reporter,VP,PT,,,,,,,,,"5,526",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Full Reporter,DR,DO,0,,,,"2,902",,,,"21,260",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Full Reporter,DR,PT,0,,,,"1,421",,,,"53,052",,,,,,
20003,2003,Broome County Department of Public Transportation,Full Reporter,Full Reporter,MB,DO,0,,,,"319,834",,,,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Full Reporter,DR,DO,0,,,,"126,450",,,,"126,209",,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Full Reporter,LR,DO,,,,,,,"8,298,961",,,,,,,,
20004,2004,Niagara Frontier Transportation Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"2,122,865",,,,,,,,,,
20006,2006,City of Long Beach,Full Reporter,Full Reporter,DR,DO,,,,,,,,,"11,082",,,,,,
20006,2006,City of Long Beach,Full Reporter,Full Reporter,MB,DO,0,,,,"47,700",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Full Reporter,CB,DO,0,,,,"4,041,661",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Full Reporter,DR,PT,0,,,,"3,596,257",,,,"3,360,930",,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Full Reporter,HR,DO,,,,,,,"1,653,630,000",,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Full Reporter,MB,DO,0,,"5,559,599",,"30,706,905",,,,,,,,,,
20008,2008,MTA New York City Transit,Full Reporter,Full Reporter,RB,DO,0,,,,"904,068",,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter,Full Reporter,DR,DO,0,,,,"51,934",,,,,,,,,,
20010,2010,Dutchess County Division of Mass Transportation,Full Reporter,Full Reporter,MB,DO,0,,,,"133,546",,,,,,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter,Full Reporter,DR,DO,0,,,,"61,535",,,,"10,999",,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter,Full Reporter,DR,PT,,,,,,,,,0,,,,,,
20018,2018,"CNY Centro, Inc. ",Full Reporter,Full Reporter,MB,DO,0,,"971,625",,"144,951",,,,,,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Full Reporter,DR,DO,0,,,,"29,253",,,,"6,485",,,,,,
20071,2071,Huntington Area Rapid Transit,Full Reporter,Full Reporter,MB,DO,0,,,,"57,293",,,,,,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Full Reporter,DR,PT,0,,,,"400,130",,,,"618,381",,,,,,
20072,2072,Suffolk County Department of Public Works - Transportation Division,Full Reporter,Full Reporter,MB,PT,0,,,,"2,124,730",,,,,,,,,,
20075,2075,Port Authority Transit Corporation,Full Reporter,Full Reporter,HR,DO,,,,,,,"42,393,382",,,,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Full Reporter,DR,PT,0,,,,"75,652",,,,"183,843",,,,,,
20076,2076,Westchester County Bee-Line System,Full Reporter,Full Reporter,MB,PT,0,,,,"3,138,280",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Full Reporter,CR,DO,,,,,,,"514,261,035",,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Full Reporter,FB,PT,0,,,,"186,707",,,,,,,,,,
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Full Reporter,MB,PT,0,,,,"46,253",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,CR,DO,0,,,,"15,003,297",,"392,877,516",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,DR,PT,0,,,,"927,895",,,,"702,034",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,LR,DO,,,,,,,"6,450,612",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,LR,PT,,,,,,,"23,502,801",,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,MB,DO,0,,"832,805",,"22,049,004",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,MB,PT,0,,,,"1,903,251",,,,,,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,VP,PT,,,,,,,,,"230,765",,,,,,
20080,2080,New Jersey Transit Corporation,Full Reporter,Full Reporter,YR,PT,0,,,,"689,142",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Full Reporter,FB,DO,0,,,,"4,519,459",,,,,,,,,,
20082,2082,New York City Department of Transportation,Full Reporter,Full Reporter,MB,PT,0,,,,"285,895",,,,,,,,,,
20084,2084,Transport of Rockland,Full Reporter,Full Reporter,DR,DO,0,,,,"28,030",,,,"37,226",,,,,,
20084,2084,Transport of Rockland,Full Reporter,Full Reporter,MB,PT,0,,,,"598,935",,,,"29,108",,,,,,
20096,2096,Putnam County Transit,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"24,912",,,,,,
