AgencyID,Agency,SSW,Mode,TOS,Battery Charging,Propulsion power,Diesel fuel,Bio-diesel,Gasoline,Liquefied petroleum gas,Liquefied natural gas,Methanol,Ethanol,Compressed natural gas,Bunker fuel,Kerosene,Hydrogen,Other Fuel,Other Description
1008,Pioneer Valley Transit Authority,N,DR,PT,,,,,"391,462",,,,,,,,,,
1008,Pioneer Valley Transit Authority,N,MB,PT,,,"1,029,858",,"21,981",,,,,,,,,,
1013,Merrimack Valley Regional Transit Authority,N,CB,PT,,,"31,164",,,,,,,,,,,,
1013,Merrimack Valley Regional Transit Authority,N,DR,PT,,,,,"65,729",,,,,,,,,,
1013,Merrimack Valley Regional Transit Authority,N,MB,PT,,,"331,407",,,,,,,,,,,,
1014,Worcester Regional Transit Authority,N,DR,DO,,,,,"31,512",,,,,,,,,,
1014,Worcester Regional Transit Authority,N,DR,PT,,,,,"58,336",,,,,,,,,,
1014,Worcester Regional Transit Authority,N,MB,DO,,,"421,008",,,,,,,,,,,,
1016,Greater Portland Transit District,N,MB,DO,,,"113,237",,,,,,,"116,674",,,,,
1017,Greater Hartford Transit District,N,DR,PT,,,"284,019",,"102,592",,,,,399,,,,,
1040,Southeast Area Transit,N,DR,PT,,,"6,702",,0,,,,,,,,,,
1040,Southeast Area Transit,N,MB,DO,,,"233,606",,,,,,,,,,,,
1042,Valley Transit District,N,DR,DO,,,,,"50,183",,,,,,,,,,
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,N,CB,PT,,,"77,699",,,,,,,,,,,,
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,N,MB,PT,,,"43,237",,,,,,,,,,,,
1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,N,MB,DO,,,,"1,984,145",,,,,,,,,"4,877",,
1049,The Greater New Haven Transit District,N,DR,DO,,,,,"297,858",,,,,,,,134,,
1049,The Greater New Haven Transit District,N,MB,DO,,,,,"6,453",,,,,,,,173,,Hydrogen
1050,Greater Bridgeport Transit Authority,N,DR,PT,,,"58,381",,,,,,,,,,,,
1050,Greater Bridgeport Transit Authority,N,MB,DO,,,"605,300",,,,,,,,,,,,
1051,Housatonic Area Regional Transit ,N,DR,DO,,,"51,548",,,,,,,,,,,,
1051,Housatonic Area Regional Transit ,N,MB,DO,,,"218,977",,,,,,,,,,,,
1053,Cape Ann Transportation Authority,N,DR,PT,,,"11,722",,"19,814",,,,,,,,,,
1053,Cape Ann Transportation Authority,N,MB,PT,,,"39,922",,,,,,,,,,,,
1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,N,MB,DO,,,,"1,138,578",,,,,,,,,,,
1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,N,MB,DO,,,,"485,441",,,,,,,,,,,
1057,Norwalk Transit District,N,DR,DO,,,"43,500",,,,,,,,,,,,
1057,Norwalk Transit District,N,DR,PT,,,"2,466",,"45,258",,,,,,,,,,
1057,Norwalk Transit District,N,MB,DO,,,"290,035",,,,,,,,,,,,
1057,Norwalk Transit District,N,MB,PT,,,"9,618",,"1,118",,,,,,,,,,
1061,Montachusett Regional Transit Authority,N,DR,PT,,,"28,358",,"249,165",,,,,,,,,,
1061,Montachusett Regional Transit Authority,N,MB,PT,,,"124,992",,0,,,,,,,,,,
1063,Middletown Transit District,N,DR,DO,,,"22,551",,,,,,,,,,,,
1063,Middletown Transit District,N,MB,DO,,,"92,229",,,,,,,,,,,,
1064,Greater Attleboro-Taunton Regional Transit Authority,N,CB,PT,,,"62,212",,,,,,,,,,,,
1064,Greater Attleboro-Taunton Regional Transit Authority,N,DR,PT,,,"4,384",,"170,430",,,,,,,,,,
1064,Greater Attleboro-Taunton Regional Transit Authority,N,MB,PT,,,"190,341",,"53,947",,,,,,,,,,
1066,Chittenden County Transportation Authority,N,CB,DO,,,"78,646",,,,,,,,,,,,
1066,Chittenden County Transportation Authority,N,DR,PT,,,,,"51,995",,,,,,,,,,
1066,Chittenden County Transportation Authority,N,MB,DO,,,"318,257",,,,,,,,,,,,
1069,"Regional Transportation Program, Inc.",N,DR,DO,,,"14,250",,"78,708",,,,,,,,,,
1087,Nashua Transit System,N,DR,PT,,,,"15,839",,,,,,,,,,,
1087,Nashua Transit System,N,MB,PT,,,,"79,043",,,,,,,,,,,
1088,Casco Bay Island Transit District,N,FB,DO,,,"244,901",,,,,,,,,,,,
1102,Connecticut Department of Transportation,N,CB,PT,,,"102,498",,,,,,,,,,,,
1102,Connecticut Department of Transportation,N,CR,PT,,,"2,110,754",,,,,,,,,,,,
1105,Cape Cod Regional Transit Authority,N,CB,PT,,,"16,234",,,,,,,,,,,,
1105,Cape Cod Regional Transit Authority,N,DR,PT,,,,,"250,842",,,,,,,,,,
1105,Cape Cod Regional Transit Authority,N,MB,PT,,,,"137,600","50,842",,,,,,,,,,
1107,Milford Transit District,N,DR,DO,,,,,"51,204",,,,,,,,,,
1107,Milford Transit District,N,MB,DO,,,"78,646",,,,,,,,,,,,
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,N,VP,DO,,,,,"333,693",,,,,,,,,,
1115,Northern New England Passenger Rail Authority,N,CR,PT,,,"870,480",,,,,,,,,,,,
1117,Plymouth & Brockton Street Railway Company,N,CB,DO,,,"219,316",,,,,,,,,,,,
1118,MetroWest Regional Transit Authority,N,DR,PT,,,,,"64,410",,,,,,,,,,
1118,MetroWest Regional Transit Authority,N,MB,PT,,,"17,783",,"90,352",,,,,,,,,,
1119,University Of New Hampshire - University Transportation Services,N,MB,DO,,,"1,001","81,775",,,,,,"37,825",,,,,
1126,Worcester Regional Transit Authority COA,N,DR,PT,,,,,"30,303",,,,,,,,,,
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,N,DR,PT,,,"70,612",,"24,530",,,,,,,,,,
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,N,MB,PT,,,"264,497",,"4,051",,,,,,,,,,
1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,N,MB,PT,,,"165,125",,,,,,,,,,,,
2002,Capital District Transportation Authority,N,CB,PT,,,"96,038",,,,,,,,,,,,
2002,Capital District Transportation Authority,N,DR,DO,,,"220,011","17,977","93,686",,,,,,,"18,832",,,
2002,Capital District Transportation Authority,N,MB,DO,,,"1,485,503","121,383","3,123",,,,,,,"127,153",,,
2002,Capital District Transportation Authority,N,VP,PT,,,,,"3,125",,,,,,,,,,
2003,Broome County Department of Public Transportation,N,DR,DO,,,"24,698",,0,,,,,,,,,,
2003,Broome County Department of Public Transportation,N,DR,PT,,,"8,444",,"48,639",,,,,,,,,,
2003,Broome County Department of Public Transportation,N,MB,DO,,,"323,062",,,,,,,,,,,,
2004,Niagara Frontier Transportation Authority,N,DR,DO,,,"185,341",,"38,357",,,,,,,,,,
2004,Niagara Frontier Transportation Authority,N,LR,DO,,"9,585,310",,,,,,,,,,,,,
2004,Niagara Frontier Transportation Authority,N,MB,DO,,,"2,161,810",,,,,,,,,,,,
2006,City of Long Beach,N,DR,DO,,,,,"12,050",,,,,,,,,,
2006,City of Long Beach,N,MB,DO,,,"49,972",,,,,,,,,,,,
2008,MTA New York City Transit,N,CB,DO,,,"4,031,927",,,,,,,,,,,,
2008,MTA New York City Transit,N,DR,PT,,,"3,703,033",,"2,314,788",,,,,,,,,,
2008,MTA New York City Transit,N,HR,DO,,"1,710,258,000",,,,,,,,,,,,,
2008,MTA New York City Transit,N,MB,DO,,,"31,620,639",,,,,,,"6,334,020",,,,,
2008,MTA New York City Transit,N,RB,DO,,,"750,362",,,,,,,,,,,,
2009,City of Poughkeepsie,N,MB,DO,,,"41,151",,,,,,,,,,,,
2010,Dutchess County Division of Mass Transportation,N,DR,DO,,,"43,205",,,,,,,,,"3,976",,,
2010,Dutchess County Division of Mass Transportation,N,MB,DO,,,"111,097",,,,,,,,,"10,224",,,
2018,"CNY Centro, Inc. ",N,DR,DO,,,"85,143",,,,,,,,,,,,
2018,"CNY Centro, Inc. ",N,DR,PT,,,,,"64,198",,,,,,,,,,
2018,"CNY Centro, Inc. ",N,MB,DO,,,"250,895",,,,,,,"817,546",,,,,
2071,Huntington Area Rapid Transit,N,DR,DO,,,"23,345",,"7,262",,,,,,,,,,
2071,Huntington Area Rapid Transit,N,MB,DO,,,"75,534",,,,,,,,,,,,
2072,Suffolk County Department of Public Works - Transportation Division,N,DR,PT,,,"647,601",,"210,254",,,,,,,,,,
2072,Suffolk County Department of Public Works - Transportation Division,N,MB,PT,,,"1,969,758",,,,,,,,,,,,
2075,Port Authority Transit Corporation,N,HR,DO,,"43,770,692",,,,,,,,,,,,,
2076,Westchester County Bee-Line System,N,DR,PT,,,"106,924",,"148,843",,,,,,,,,,
2076,Westchester County Bee-Line System,N,MB,PT,,,"3,191,092",,,,,,,,,,,,
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,CR,DO,,"493,460,630","7,211,420",,,,,,,,,,,,
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,FB,PT,,,"276,381",,,,,,,,,,,,
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,MB,PT,,,"41,004",,,,,,,,,,,,
2080,New Jersey Transit Corporation,N,CR,DO,,"400,574,023","13,558,447",,,,,,,,,,,,
2080,New Jersey Transit Corporation,N,DR,PT,,,"1,059,864",,"251,740",,,,,,,,,,
2080,New Jersey Transit Corporation,N,LR,DO,,"6,120,677",,,,,,,,,,,,,
2080,New Jersey Transit Corporation,N,LR,PT,,"22,407,041",,,,,,,,,,,,,
2080,New Jersey Transit Corporation,N,MB,DO,,,"21,780,639",,,,,,,"679,887",,,,,
2080,New Jersey Transit Corporation,N,MB,PT,,,"1,987,652",,,,,,,,,,,,
2080,New Jersey Transit Corporation,N,VP,PT,,,,,"264,338",,,,,,,,,,
2080,New Jersey Transit Corporation,N,YR,PT,,,"633,967",,,,,,,,,,,,
2082,New York City Department of Transportation,N,FB,DO,,,"4,597,603",,,,,,,,,,,,
2082,New York City Department of Transportation,N,MB,PT,,,"279,710",,,,,,,,,,,,
2084,Transport of Rockland,N,MB,PT,,,"621,788",,,,,,,,,,,,
2096,Putnam County Transit,N,DR,PT,,,"1,928",,"28,572",,,,,,,,,,
2096,Putnam County Transit,N,MB,PT,,,"39,998",,"4,843",,,,,,,,,,
2098,Port Authority Trans-Hudson Corporation,N,FB,PT,,,"581,768",,,,,,,,,,,,
2098,Port Authority Trans-Hudson Corporation,N,HR,DO,,"97,257,192",,,,,,,,,,,,,
2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",N,HR,DO,,"27,710,487",0,0,,0,0,,,,,,,0,
2100,MTA Long Island Rail Road,N,CR,DO,,"529,925,320","7,386,254",,,,,,,,,,,,
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",N,DR,DO,,,"146,994",,"18,938",,,,,,,,,,
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",N,MB,DO,,,"1,679,885",,,,,,,,,,,,
2116,"Centro of Cayuga, Inc.",N,MB,DO,,,"127,619",,,,,,,,,,,,
2122,"Academy Lines, Inc.",N,CB,DO,,,"2,249,954",,,,,,,,,,,,
2126,"Hudson Transit Lines, Inc.",N,CB,DO,,,"2,261,767",,,,,,,,,,,,
2128,Suburban Transit Corporation,N,CB,DO,,,"1,591,240",,,,,,,,,,,,
2132,New Jersey Transit Corporation-45,N,MB,DO,,,"415,988",,,,,,,,,,,,
2135,Monsey New Square Trails Corporation,N,CB,DO,,,"366,715",,,,,,,,,,,,
2137,Monroe Bus Corporation,N,CB,DO,,,"153,763",,,,,,,,,,,,
2145,Tompkins Consolidated Area Transit,N,DR,PT,,,,,"73,914",,,,,,,,,,
2145,Tompkins Consolidated Area Transit,N,MB,DO,,,"407,358",,"18,125",,,,,,,,,,
2145,Tompkins Consolidated Area Transit,N,VP,PT,,,,,"1,542",,,,,,,,,,
2149,"Rockland Coaches, Inc.",N,CB,DO,,,"1,072,453",,,,,,,,,,,,
2160,"Community Transit, Inc. ",N,CB,DO,,,"283,632",,,,,,,,,,,,
2161,DeCamp Bus Lines,N,CB,DO,,,"628,671",,,,,,,,,,,,
2163,"Lakeland Bus Lines, Inc.",N,CB,DO,,,"726,131",,,,,,,,,,,,
2165,"Olympia Trails Bus Company, Inc.",N,CB,DO,,,"168,702",,,,,,,,,,,,
2166,"Orange-Newark-Elizabeth, Inc.",N,MB,DO,,,"661,887",,,,,,,,,,,,
2169,"Trans-Bridge Lines, Inc. ",N,CB,DO,,,"771,991",,,,,,,,,,,,
2172,"Centro of Oswego, Inc.",N,MB,DO,,,"118,554",,,,,,,,,,,,
2175,Private Transportation Corporation,N,MB,PT,,,"87,121",,,,,,,,,,,,
2177,"Adirondack Transit Lines, Inc,",N,CB,DO,,,"410,788",,,,,,,,,,,,
2178,Ulster County Area Transit,N,DR,DO,,,"12,841",,"3,940",,,,,,,,,,
2178,Ulster County Area Transit,N,MB,DO,,,"134,636",,"3,917",,,,,,,,,,
2185,"Centro of Oneida, Inc.",N,DR,DO,,,"26,473",,,,,,,,,,,,
2185,"Centro of Oneida, Inc.",N,MB,DO,,,"238,460",,,,,,,,,,,,
2188,MTA Bus Company,N,MB,DO,,,"10,109,305",,,,,,,"2,747,094",,,,,
2189,"BillyBey Ferry Company, LLC",N,FB,DO,,,"608,662",,,,,,,,,,,,
2190,Port Imperial Ferry Corporation dba NY Waterway,N,FB,DO,,,"2,396,280",,,,,,,,,,,,
2190,Port Imperial Ferry Corporation dba NY Waterway,N,MB,DO,,,"187,967",,,,,,,,,,,,
2192,Bergen County Community Transportation,N,DR,DO,,,,,"142,282",,,,,,,,,,
2192,Bergen County Community Transportation,N,MB,DO,,,"1,737",,"9,783",,,,,,,,,,
2193,Cumberland Area Transit System,N,DR,DO,,,"30,970",,"33,547",,,,,,,,,,
2196,Middlesex County Area Transit,N,DR,DO,,,"51,592","1,396","36,792",,,,,,,,,,
2196,Middlesex County Area Transit,N,MB,DO,,,"37,869",,"54,591",,,,,,,,,,
2199,County of Atlantic,N,DR,DO,,,"31,398",,"64,904",,,,,,,,,,
2203,Cape May County Fare Free Transportation,N,DR,DO,,,"25,751","27,961","39,481",,,,,,,,,,
2206,Nassau Inter County Express,N,DR,PT,0,,"373,776",0,"3,169",0,0,0,0,0,0,0,0,0,
2206,Nassau Inter County Express,N,MB,PT,0,,0,0,0,0,0,0,0,"5,412,178",0,0,0,0,
2209,Somerset County Transportation,N,DR,DO,,,"42,207",,"88,915",,,,,,,,,,
2209,Somerset County Transportation,N,MB,DO,,,"27,488",,"9,295",,,,,,,,,,
2212,County of Hunterdon,N,DR,PT,,,"52,618",,"32,548",,,,,,,,,,
2212,County of Hunterdon,N,MB,PT,,,"4,771",,"2,951",,,,,,,,,,
3001,Kanawha Valley Regional Transportation Authority,N,DR,DO,,,,,"39,103",,,,,,,,,,
3001,Kanawha Valley Regional Transportation Authority,N,MB,DO,,,"474,237",,"56,013",,,,,,,,,,
3002,The Tri-State Transit Authority,N,DR,DO,,,,,"50,708",,,,,,,,,,
3002,The Tri-State Transit Authority,N,MB,DO,,,"208,966",,,,,,,,,,,,
3006,Greater Richmond Transit Company,N,DR,PT,,,"266,076",,"21,842",,,,,"36,272",,,,,
3006,Greater Richmond Transit Company,N,MB,DO,,,"1,434,548",,,,,,,,,,,,
3006,Greater Richmond Transit Company,N,VP,PT,,,,,"258,117",,,,,,,,,,
3007,Greater Roanoke Transit Company,N,CB,DO,,,"18,344",,,,,,,,,,,,
3007,Greater Roanoke Transit Company,N,DR,PT,,,789,,"44,781",,,,,,,,,,
3007,Greater Roanoke Transit Company,N,MB,DO,,,"414,502",,"13,798",,,,,,,,,,
3008,Greater Lynchburg Transit Company,N,DR,DO,,,"2,097",,"35,663",,,,,,,,,,
3008,Greater Lynchburg Transit Company,N,MB,DO,,,"210,757",,,,,,,,,,,,
3010,Lehigh and Northampton Transportation Authority,N,DR,PT,,,"410,602",,,,,,,,,,,,
3010,Lehigh and Northampton Transportation Authority,N,MB,DO,,,"759,733",,,,,,,,,,,,
3011,Altoona Metro Transit,N,DR,DO,,,496,,,,,,,,,,,,
3011,Altoona Metro Transit,N,DR,PT,,,,,"8,395",,,,,,,,,,
3011,Altoona Metro Transit,N,MB,DO,,,"140,196",,,,,,,,,,,,
3012,Cambria County Transit Authority,N,DR,DO,,,"1,663",,"20,575",,,,,,,,,,
3012,Cambria County Transit Authority,N,DR,PT,,,"8,955",,"15,672",,,,,,,,,,
3012,Cambria County Transit Authority,N,IP,DO,,"104,400",,,,,,,,,,,,,
3012,Cambria County Transit Authority,N,MB,DO,,,"3,107",,"243,982",,,,,,,,,,
3013,Erie Metropolitan Transit Authority,N,DR,DO,,,"24,831",,"203,334",,,,,,,,,,
3013,Erie Metropolitan Transit Authority,N,MB,DO,,,"432,737",,,,,,,"21,384",,,,,
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,DR,DO,,,0,0,"145,245",,,,,,,,,,
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,DR,PT,,,0,0,"93,524",,,,,,,,,,
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,MB,DO,,,"456,808","9,323",0,,,,,,,,,,
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,MB,PT,,,"7,017",143,850,,,,,,,,,,
3015,Luzerne County Transportation Authority,N,DR,DO,,,,,"167,734",,,,,,,,,,
3015,Luzerne County Transportation Authority,N,DR,PT,,,,,"3,040",,,,,,,,,,
3015,Luzerne County Transportation Authority,N,MB,DO,,,"242,652",,,,,,,,,,,,
